セクション,項目,银河M9 2025款 100km 两驱启航版,银河M9 2025款 100km 两驱智航版,银河M9 2025款 230km 两驱远航版,银河M9 2025款 230km 两驱智航版,银河M9 2025款 230km 两驱探索版,银河M9 2025款 210km 四驱领航版
,厂商指导价(元),18.38万 计算器,19.28万 计算器,19.88万 计算器,20.78万 计算器,22.68万 计算器,24.88万 计算器
,经销商报价,17.38万起,18.28万起,18.88万起,19.78万起,21.68万起,23.88万起
基本参数,厂商,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车
基本参数,级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
基本参数,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09
基本参数,WLTC纯电续航里程(km),85,85,185,185,185,170
基本参数,CLTC纯电续航里程(km),100,100,230,230,230,210
基本参数,电池快充时间(小时),0.33,0.33,0.25,0.25,0.25,0.25
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),300,300,300,300,300,640
基本参数,最大扭矩(N·m),605,605,605,605,605,1165
基本参数,变速箱,3挡DHT,3挡DHT,3挡DHT,3挡DHT,3挡DHT,3挡DHT
基本参数,车身结构,5门6座SUV,5门6座SUV,5门6座SUV,5门6座SUV,5门6座SUV,5门6座SUV
基本参数,发动机,1.5T 163马力 L4,1.5T 163马力 L4,1.5T 163马力 L4,1.5T 163马力 L4,1.5T 163马力 L4,1.5T 163马力 L4
基本参数,电动机(Ps),245,245,245,245,245,707
基本参数,长*宽*高(mm),5205*1999*1800,5205*1999*1800,5205*1999*1800,5205*1999*1800,5205*1999*1800,5205*1999*1800
基本参数,官方0-100km/h加速(s),7.7,7.7,7.3,7.3,7.3,4.5
基本参数,最高车速(km/h),200,200,200,200,200,210
基本参数,WLTC综合油耗(L/100km),1.49,1.49,0.5,0.5,0.5,0.63
基本参数,最低荷电状态油耗(L/100km)WLTC,5.7,5.7,5.6,5.6,5.6,6.25
基本参数,最低荷电状态油耗(L/100km)CLTC,4.9,4.9,4.8,4.8,4.8,5.5
基本参数,油电综合燃料消耗量(L/100km),3.5,3.5,2.97,2.97,2.97,3.29
基本参数,整车质保,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里
基本参数,整备质量(kg),2180,2180,2400,2400,2400,2530
基本参数,最大满载质量(kg),2680,2680,2900,2900,2900,3030
车身,长度(mm),5205,5205,5205,5205,5205,5205
车身,宽度(mm),1999,1999,1999,1999,1999,1999
车身,高度(mm),1800,1800,1800,1800,1800,1800
车身,轴距(mm),3030,3030,3030,3030,3030,3030
车身,前轮距(mm),1704,1704,1704,1704,1704,1704
车身,后轮距(mm),1706,1706,1706,1706,1706,1706
车身,接近角(°),19,19,19,19,19,19
车身,离去角(°),17,17,17,17,17,17
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 6,● 6,● 6,● 6,● 6,● 6
车身,油箱容积(L),60,60,60,60,60,60
车身,后备厢容积(L),359-1025,359-1025,359-1025,359-1025,359-2171,328-2171
车身,风阻系数(Cd),0.285,0.285,0.285,0.285,0.285,0.285
发动机,发动机型号,BHE15-CFZ,BHE15-CFZ,BHE15-CFZ,BHE15-CFZ,BHE15-CFZ,BHE15-CFZ
发动机,排量(mL),1499,1499,1499,1499,1499,1499
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,1.5
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),163,163,163,163,163,163
发动机,最大功率(kW),120,120,120,120,120,120
发动机,最大功率转速(rpm),5000,5000,5000,5000,5000,5000
发动机,最大扭矩(N·m),255,255,255,255,255,255
发动机,最大扭矩转速(rpm),2500-3500,2500-3500,2500-3500,2500-3500,2500-3500,2500-3500
发动机,最大净功率(kW),115,115,115,115,115,115
发动机,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
发动机,燃油标号,92号,92号,92号,92号,92号,92号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),180,180,180,180,180,520
电动机,电动机总马力(Ps),245,245,245,245,245,707
电动机,电动机总扭矩(N·m),350,350,350,350,350,910
电动机,前电动机最大功率(kW),180,180,180,180,180,180
电动机,前电动机最大扭矩(N·m),350,350,350,350,350,350
电动机,后电动机最大功率(kW),-,-,-,-,-,340
电动机,后电动机最大扭矩(N·m),-,-,-,-,-,560
电动机,系统综合功率(kW),300,300,300,300,300,640
电动机,系统综合功率(Ps),408,408,408,408,408,870
电动机,系统综合扭矩(N·m),605,605,605,605,605,1165
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,三电机
电动机,电机布局,前置,前置,前置,前置,前置,前置+后置
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代
电池/充电,电池特有技术,神盾电池,神盾电池,神盾电池,神盾电池,神盾电池,神盾电池
电池/充电,电池冷却方式,直冷,直冷,直冷,直冷,直冷,直冷
