セクション,項目,赛图斯 2026款 1.5L IVT时尚版,赛图斯 2026款 1.5L IVT舒适版,赛图斯 2026款 1.5L IVT豪华版,赛图斯 2026款 1.5L IVT豪华舒享版,赛图斯 2026款 1.5L IVT尊贵版,赛图斯 2026款 1.4T DCT豪华版,赛图斯 2026款 1.4T DCT尊贵版,赛图斯 2026款 1.4T DCT尊贵奢享版
,厂商指导价(元),10.99万 计算器,11.99万 计算器,12.99万 计算器,12.99万 计算器,13.99万 计算器,14.19万 计算器,15.19万 计算器,15.99万 计算器
,经销商报价,6.39万起 询底价,7.39万起 询底价,8.39万起 询底价,8.39万起 询底价,9.39万起 询底价,9.59万起 询底价,10.59万起 询底价,11.39万起 询底价
基本参数,厂商,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.07,2025.07,2025.07,2025.07,2025.07,2025.07,2025.07,2025.07
基本参数,最大功率(kW),84.4,84.4,84.4,84.4,84.4,103,103,103
基本参数,最大扭矩(N·m),143.8,143.8,143.8,143.8,143.8,242,242,242
基本参数,变速箱,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,7挡干式双离合,7挡干式双离合,7挡干式双离合
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,1.5L 115马力 L4,1.5L 115马力 L4,1.5L 115马力 L4,1.5L 115马力 L4,1.5L 115马力 L4,1.4T 140马力 L4,1.4T 140马力 L4,1.4T 140马力 L4
基本参数,长*宽*高(mm),4385*1800*1650,4385*1800*1650,4385*1800*1650,4385*1800*1650,4385*1800*1650,4385*1800*1650,4385*1800*1650,4385*1800*1650
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),172,172,172,172,172,190,190,190
基本参数,WLTC综合油耗(L/100km),6.05,6.05,6.05,6.05,6.05,6.26,6.26,6.26
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1255,1255,1255,1255,1255,1285,1285,1285
基本参数,最大满载质量(kg),1670,1670,1670,1670,1670,1700,1700,1700
车身,长度(mm),4385,4385,4385,4385,4385,4385,4385,4385
车身,宽度(mm),1800,1800,1800,1800,1800,1800,1800,1800
车身,高度(mm),1650,1650,1650,1650,1650,1650,1650,1650
车身,轴距(mm),2630,2630,2630,2630,2630,2630,2630,2630
车身,前轮距(mm),-,-,-,-,-,-,-,-
车身,后轮距(mm),-,-,-,-,-,-,-,-
车身,最小离地间隙(mm),163,163,163,163,163,163,163,163
车身,接近角(°),17,17,17,17,17,17,17,17
车身,离去角(°),15,15,15,15,15,15,15,15
车身,最小转弯半径(m),5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),50,50,50,50,50,50,50,50
车身,后备厢容积(L),-,-,-,-,-,-,-,-
车身,风阻系数(Cd),-,-,-,-,-,-,-,-
发动机,发动机型号,G4FL,G4FL,G4FL,G4FL,G4FL,G4LD,G4LD,G4LD
发动机,排量(mL),1497,1497,1497,1497,1497,1353,1353,1353
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,1.4,1.4,1.4
发动机,进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),115,115,115,115,115,140,140,140
发动机,最大功率(kW),84.4,84.4,84.4,84.4,84.4,103,103,103
发动机,最大功率转速(rpm),6300,6300,6300,6300,6300,6000,6000,6000
发动机,最大扭矩(N·m),143.8,143.8,143.8,143.8,143.8,242,242,242
发动机,最大扭矩转速(rpm),4500,4500,4500,4500,4500,1500-3200,1500-3200,1500-3200
发动机,最大净功率(kW),84.4,84.4,84.4,84.4,84.4,103,103,103
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,7挡干式双离合,7挡干式双离合,7挡干式双离合
变速箱,挡位个数,无级变速,无级变速,无级变速,无级变速,无级变速,7,7,7
变速箱,变速箱类型,无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 手刹,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 205/65 R16,● 205/65 R16,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 215/60 R17
车轮制动,后轮胎规格,● 205/65 R16,● 205/65 R16,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 215/60 R17
车轮制动,备胎规格,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸
车轮制动,备胎放置方式,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-
被动安全,前/后排头部气囊(气帘),-,-,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
主动安全,ABS防抱死,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●
