セクション,項目,问界M9 2025款 增程 Max版 52kWh 6座版,问界M9 2025款 增程 Ultra版 52kWh 6座版,问界M9 2025款 纯电 Max版 100kWh 6座版,问界M9 2025款 纯电 Ultra版 100kWh 6座版,问界M9 2025款 增程 Max版 52kWh 5座版,问界M9 2025款 增程 Ultra版 52kWh 5座版,问界M9 2025款 纯电 Ultra版 100kWh 5座版,问界M9 2025款 增程 Ultra版 52kWh 4座版,问界M9 2025款 纯电 Ultra版 100kWh 4座版
,厂商指导价(元),47.98万 计算器,53.98万 计算器,50.98万 计算器,56.98万 计算器,46.98万 计算器,51.98万 计算器,54.98万 计算器,55.98万 计算器,58.98万 计算器
,经销商报价,47.98万起 询底价,53.98万起 询底价,50.98万起 询底价,56.98万起 询底价,46.98万起 询底价,51.98万起 询底价,54.98万起 询底价,55.98万起 询底价,58.98万起 询底价
基本参数,厂商,AITO 问界,AITO 问界,AITO 问界,AITO 问界,AITO 问界,AITO 问界,AITO 问界,AITO 问界,AITO 问界
基本参数,级别,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV
基本参数,能源类型,增程式,增程式,纯电动,纯电动,增程式,增程式,纯电动,增程式,纯电动
基本参数,环保标准,国VI,国VI,-,-,国VI,国VI,-,国VI,-
基本参数,上市时间,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2025.09,2025.09
基本参数,WLTC纯电续航里程(km),235,226,-,-,235,226,-,226,-
基本参数,CLTC纯电续航里程(km),290,266,630,605,290,266,605,266,605
基本参数,电池快充时间(小时),0.5,0.5,0.25,0.25,0.5,0.5,0.25,0.5,0.25
基本参数,电池慢充时间(小时),6,6,11.7,11.7,6,6,11.7,6,11.7
基本参数,电池快充电量范围(%),20-80,20-80,30-80,30-80,20-80,20-80,30-80,20-80,30-80
基本参数,电池慢充电量范围(%),20-90,20-90,20-90,20-90,20-90,20-90,20-90,20-90,20-90
基本参数,最大功率(kW),365,365,390,390,365,365,390,365,390
基本参数,最大扭矩(N·m),675,675,673,673,675,675,673,675,673
基本参数,变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
基本参数,车身结构,5门6座SUV,5门6座SUV,5门6座SUV,5门6座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门4座SUV,5门4座SUV
基本参数,发动机,增程器 160马力,增程器 160马力,-,-,增程器 160马力,增程器 160马力,-,增程器 160马力,-
基本参数,电动机(Ps),496,496,530,530,496,496,530,496,530
基本参数,长*宽*高(mm),5230*1999*1800,5230*1999*1800,5230*1999*1800,5230*1999*1800,5230*1999*1800,5230*1999*1800,5230*1999*1800,5230*1999*1800,5230*1999*1800
基本参数,官方0-100km/h加速(s),4.9,5.1,4.5,4.7,4.9,5.1,4.7,5.1,4.7
基本参数,最高车速(km/h),200,200,200,200,200,200,200,200,200
基本参数,WLTC综合油耗(L/100km),0.62,0.64,-,-,0.62,0.64,-,0.64,-
基本参数,最低荷电状态油耗(L/100km),6.9,7.3,-,-,6.9,7.3,-,7.3,-
基本参数,电能当量燃料消耗量(L/100km),-,-,2.02,2.10,-,-,2.10,-,2.10
基本参数,油电综合燃料消耗量(L/100km),3.33,3.53,-,-,3.33,3.53,-,3.53,-
基本参数,整车质保,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里
基本参数,整备质量(kg),2650,2690,2610,2655,2650,2690,2655,2690,2655
基本参数,最大满载质量(kg),3165,3165,3130,3130,3165,3165,3130,3165,3130
基本参数,准拖挂车总质量(kg),1500,1500,1500,1500,1500,1500,1500,1500,1500
车身,长度(mm),5230,5230,5230,5230,5230,5230,5230,5230,5230
车身,宽度(mm),1999,1999,1999,1999,1999,1999,1999,1999,1999
车身,高度(mm),1800,1800,1800,1800,1800,1800,1800,1800,1800
车身,轴距(mm),3110,3110,3110,3110,3110,3110,3110,3110,3110
车身,前轮距(mm),1707,1707,1707,1707,1707,1707,1707,1707,1707
车身,后轮距(mm),1713,1713,1713,1713,1713,1713,1713,1713,1713
车身,接近角(°),18,18,18,18,18,18,18,18,18
车身,离去角(°),20,20,20,20,20,20,20,20,20
车身,最小转弯半径(m),5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8
