セクション,セクション_ja,項目,項目_ja,2025年モデル 増程 Max版 52kWh 6人乗り,2025年モデル 増程 Ultra版 52kWh 6人乗り,2025年モデル 純電 Max版 100kWh 6人乗り,2025年モデル 純電 Ultra版 100kWh 6人乗り,2025年モデル 増程 Max版 52kWh 5人乗り,2025年モデル 増程 Ultra版 52kWh 5人乗り,2025年モデル 純電 Ultra版 100kWh 5人乗り,2025年モデル 増程 Ultra版 52kWh 4人乗り,2025年モデル 純電 Ultra版 100kWh 4人乗り
,nan,厂商指导价(元),メーカー希望小売価格(元),"47.98万元（日本円 約10,075,800円）","53.98万元（日本円 約11,335,800円）","50.98万元（日本円 約10,705,800円）","56.98万元（日本円 約11,965,800円）","46.98万元（日本円 約9,865,800円）","51.98万元（日本円 約10,915,800円）","54.98万元（日本円 約11,545,800円）","55.98万元（日本円 約11,755,800円）","58.98万元（日本円 約12,385,800円）"
,nan,经销商报价,ディーラー販売価格（元）,"47.98万元（日本円 約10,075,800円）","53.98万元（日本円 約11,335,800円）","50.98万元（日本円 約10,705,800円）","56.98万元（日本円 約11,965,800円）","46.98万元（日本円 約9,865,800円）","51.98万元（日本円 約10,915,800円）","54.98万元（日本円 約11,545,800円）","55.98万元（日本円 約11,755,800円）","58.98万元（日本円 約12,385,800円）"
基本参数,基本仕様,厂商,メーカー,AITO ウェンジエ,AITO ウェンジエ,AITO ウェンジエ,AITO ウェンジエ,AITO ウェンジエ,AITO ウェンジエ,AITO ウェンジエ,AITO ウェンジエ,AITO ウェンジエ
基本参数,基本仕様,级别,クラス,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV
基本参数,基本仕様,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,純電動,純電動,レンジエクステンダー式,レンジエクステンダー式,純電動,レンジエクステンダー式,純電動
基本参数,基本仕様,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,-,-,国VI排ガス基準,国VI排ガス基準,-,国VI排ガス基準,-
基本参数,基本仕様,上市时间,発売時期,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2025.09,2025.09
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),235,226,-,-,235,226,-,226,-
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),290,266,630,605,290,266,605,266,605
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.5,0.5,0.25,0.25,0.5,0.5,0.25,0.5,0.25
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),6,6,11.7,11.7,6,6,11.7,6,11.7
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電容量範囲(%),20-80,20-80,30-80,30-80,20-80,20-80,30-80,20-80,30-80
基本参数,基本仕様,电池慢充电量范围(%),バッテリー普通充電容量範囲(%),20-90,20-90,20-90,20-90,20-90,20-90,20-90,20-90,20-90
基本参数,基本仕様,最大功率(kW),最大出力(kW),365,365,390,390,365,365,390,365,390
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),675,675,673,673,675,675,673,675,673
基本参数,基本仕様,变速箱,トランスミッション,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
基本参数,基本仕様,车身结构,ボディ構造,5ドア6人乗りSUV,5ドア6人乗りSUV,5ドア6人乗りSUV,5ドア6人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア4人乗りSUV,5ドア4人乗りSUV
基本参数,基本仕様,发动机,エンジン,レンジエクステンダー 160馬力,レンジエクステンダー 160馬力,-,-,レンジエクステンダー 160馬力,レンジエクステンダー 160馬力,-,レンジエクステンダー 160馬力,-
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),496,496,530,530,496,496,530,496,530
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),5230×1999×1800,5230×1999×1800,5230×1999×1800,5230×1999×1800,5230×1999×1800,5230×1999×1800,5230×1999×1800,5230×1999×1800,5230×1999×1800
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),4.9,5.1,4.5,4.7,4.9,5.1,4.7,5.1,4.7
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),200,200,200,200,200,200,200,200,200
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),0.62,0.64,-,-,0.62,0.64,-,0.64,-
基本参数,基本仕様,最低荷电状态油耗(L/100km),最低荷電状態燃費(L/100km),6.9,7.3,-,-,6.9,7.3,-,7.3,-
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),-,-,2.02,2.10,-,-,2.10,-,2.10
基本参数,基本仕様,油电综合燃料消耗量(L/100km),ガソリン・電力複合燃費(L/100km),3.33,3.53,-,-,3.33,3.53,-,3.53,-
基本参数,基本仕様,整车质保,車両保証,● 4年または10万km,● 4年または10万km,● 4年または10万km,● 4年または10万km,● 4年または10万km,● 4年または10万km,● 4年または10万km,● 4年または10万km,● 4年または10万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),2650,2690,2610,2655,2650,2690,2655,2690,2655
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),3165,3165,3130,3130,3165,3165,3130,3165,3130
