セクション,項目,宝马iX1 2025款 eDrive25L X设计套装,宝马iX1 2025款 eDrive25L M运动套装,宝马iX1 2025款 xDrive30L X设计套装,宝马iX1 2025款 xDrive30L M运动曜夜套装,宝马iX1 2023款 eDrive25L X设计套装,宝马iX1 2023款 eDrive25L M运动套装,宝马iX1 2023款 xDrive30L X设计套装,宝马iX1 2023款 xDrive30L M运动套装
,厂商指导价(元),29.99万 计算器,29.99万 计算器,33.99万 计算器,33.99万 计算器,29.99万 计算器,29.99万 计算器,33.99万 计算器,33.99万 计算器
,经销商报价,16.34万起 询底价,16.34万起 询底价,19.00万起 询底价,19.00万起 询底价,16.34万起 询底价,16.34万起 询底价,19.00万起 询底价,19.00万起 询底价
基本参数,厂商,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2025.08,2025.08,2025.08,2025.08,2023.08,2023.08,2023.08,2023.08
基本参数,CLTC纯电续航里程(km),510,510,450,450,510,510,450,450
基本参数,电池快充时间(小时),0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
基本参数,电池慢充时间(小时),10.5,10.5,10.5,10.5,10.5,10.5,7,7
基本参数,电池快充电量范围(%),10-80,10-80,10-80,10-80,10-80,10-80,10-80,10-80
基本参数,电池慢充电量范围(%),0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100
基本参数,最大功率(kW),150,150,230,230,150,150,230,230
基本参数,最大扭矩(N·m),250,250,494,494,250,250,494,494
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,电动机(Ps),204,204,313,313,204,204,313,313
基本参数,长*宽*高(mm),4616*1845*1641,4616*1845*1641,4616*1845*1641,4616*1845*1641,4616*1845*1641,4616*1845*1641,4616*1845*1641,4616*1845*1641
基本参数,官方0-100km/h加速(s),8.6,8.6,5.7,5.7,8.6,8.6,5.7,5.7
基本参数,最高车速(km/h),170,170,180,180,170,170,180,180
基本参数,电能当量燃料消耗量(L/100km),1.65,1.65,1.89,1.89,1.6,1.6,1.84,1.84
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1948,1948,2087,2087,1948,1948,2087,2087
基本参数,最大满载质量(kg),2435,2435,2575,2575,2435,2435,2575,2575
车身,长度(mm),4616,4616,4616,4616,4616,4616,4616,4616
车身,宽度(mm),1845,1845,1845,1845,1845,1845,1845,1845
车身,高度(mm),1641,1641,1641,1641,1641,1641,1641,1641
车身,轴距(mm),2802,2802,2802,2802,2802,2802,2802,2802
车身,前轮距(mm),1577,1577,1585,1585,1577,1577,1585,1585
车身,后轮距(mm),1579,1579,1587,1587,1579,1579,1587,1587
车身,接近角(°),21,21,21,21,21,21,21,21
车身,离去角(°),27,27,27,27,27,27,27,27
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,后备厢容积(L),490-1600,490-1600,490-1600,490-1600,490-1600,490-1600,490-1600,490-1600
车身,风阻系数(Cd),-,-,-,-,-,-,-,-
电动机,前电动机品牌,采埃孚,采埃孚,采埃孚,采埃孚,采埃孚电驱动科技,采埃孚电驱动科技,-,-
电动机,后电动机品牌,-,-,采埃孚,采埃孚,-,-,-,-
电动机,前电动机型号,HB0003N0,HB0003N0,HB0001N0,HB0001N0,HB0003N0,HB0003N0,-,-
电动机,后电动机型号,-,-,HB0002N0,HB0002N0,-,-,-,-
电动机,电机类型,励磁/同步,励磁/同步,励磁/同步,励磁/同步,励磁/同步,励磁/同步,励磁/同步,励磁/同步
电动机,电动机总功率(kW),150,150,230,230,150,150,230,230
电动机,电动机总马力(Ps),204,204,313,313,204,204,313,313
电动机,电动机总扭矩(N·m),250,250,494,494,250,250,494,494
电动机,前电动机最大功率(kW),150,150,150,150,150,150,-,-
电动机,前电动机最大扭矩(N·m),250,250,-,-,250,250,-,-
电动机,后电动机最大功率(kW),-,-,150,150,-,-,-,-
电动机,驱动电机数,单电机,单电机,双电机,双电机,单电机,单电机,双电机,双电机
电动机,电机布局,前置,前置,前置+后置,前置+后置,前置,前置,前置+后置,前置+后置
电池/充电,电池类型,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池
电池/充电,电芯品牌,● 亿纬动力,● 亿纬动力,● 亿纬动力,● 亿纬动力,● 亿纬动力,● 亿纬动力,● 亿纬动力,● 亿纬动力
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,CLTC纯电续航里程(km),510,510,450,450,510,510,450,450
电池/充电,电池能量(kWh),66.45,66.45,66.45,66.45,66.45,66.45,66.45,66.45
电池/充电,百公里耗电量(kWh/100km),14.2,14.2,16.3,16.3,14.2,14.2,16.3,16.3
电池/充电,电池组质保,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持,支持
