セクション,セクション_ja,項目,項目_ja,2025年モデル eDrive25L Xデザインパッケージ,2025年モデル eDrive25L Mスポーツパッケージ,2025年モデル xDrive30L Xデザインパッケージ,2025年モデル xDrive30L Mスポーツ曜夜パッケージ,2023年モデル eDrive25L Xデザインパッケージ,2023年モデル eDrive25L Mスポーツパッケージ,2023年モデル xDrive30L Xデザインパッケージ,2023年モデル xDrive30L Mスポーツパッケージ
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"29.99万元（日本円 約6,297,900円）","29.99万元（日本円 約6,297,900円）","33.99万元（日本円 約7,137,900円）","33.99万元（日本円 約7,137,900円）","29.99万元（日本円 約6,297,900円）","29.99万元（日本円 約6,297,900円）","33.99万元（日本円 約7,137,900円）","33.99万元（日本円 約7,137,900円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"16.34万元（日本円 約3,431,400円）","16.34万元（日本円 約3,431,400円）","19.00万元（日本円 約3,990,000円）","19.00万元（日本円 約3,990,000円）","16.34万元（日本円 約3,431,400円）","16.34万元（日本円 約3,431,400円）","19.00万元（日本円 約3,990,000円）","19.00万元（日本円 約3,990,000円）"
基本参数,基本仕様,厂商,メーカー,華晨BMW,華晨BMW,華晨BMW,華晨BMW,華晨BMW,華晨BMW,華晨BMW,華晨BMW
基本参数,基本仕様,级别,クラス,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2025.08,2025.08,2025.08,2025.08,2023.08,2023.08,2023.08,2023.08
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),510,510,450,450,510,510,450,450
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),10.5,10.5,10.5,10.5,10.5,10.5,7,7
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),10-80,10-80,10-80,10-80,10-80,10-80,10-80,10-80
基本参数,基本仕様,电池慢充电量范围(%),バッテリー普通充電量範囲(%),0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100
基本参数,基本仕様,最大功率(kW),最大出力(kW),150,150,230,230,150,150,230,230
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),250,250,494,494,250,250,494,494
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),204,204,313,313,204,204,313,313
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4616*1845*1641,4616*1845*1641,4616*1845*1641,4616*1845*1641,4616*1845*1641,4616*1845*1641,4616*1845*1641,4616*1845*1641
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),8.6,8.6,5.7,5.7,8.6,8.6,5.7,5.7
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),170,170,180,180,170,170,180,180
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.65,1.65,1.89,1.89,1.6,1.6,1.84,1.84
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1948,1948,2087,2087,1948,1948,2087,2087
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2435,2435,2575,2575,2435,2435,2575,2575
车身,車体,长度(mm),全長(mm),4616,4616,4616,4616,4616,4616,4616,4616
车身,車体,宽度(mm),全幅(mm),1845,1845,1845,1845,1845,1845,1845,1845
车身,車体,高度(mm),全高(mm),1641,1641,1641,1641,1641,1641,1641,1641
车身,車体,轴距(mm),ホイールベース(mm),2802,2802,2802,2802,2802,2802,2802,2802
车身,車体,前轮距(mm),前トレッド(mm),1577,1577,1585,1585,1577,1577,1585,1585
车身,車体,后轮距(mm),後トレッド(mm),1579,1579,1587,1587,1579,1579,1587,1587
车身,車体,接近角(°),アプローチアングル(°),21,21,21,21,21,21,21,21
车身,車体,离去角(°),デパーチャーアングル(°),27,27,27,27,27,27,27,27
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸
车身,車体,车门数(个),ドア数(枚),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,后备厢容积(L),トランク容量(L),490-1600,490-1600,490-1600,490-1600,490-1600,490-1600,490-1600,490-1600
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-
电动机,モーター,前电动机品牌,前モーターブランド,ZF,ZF,ZF,ZF,ZF電動駆動技術,ZF電動駆動技術,-,-
电动机,モーター,后电动机品牌,後モーターブランド,-,-,ZF,ZF,-,-,-,-
电动机,モーター,前电动机型号,前モーター型式,HB0003N0,HB0003N0,HB0001N0,HB0001N0,HB0003N0,HB0003N0,-,-
电动机,モーター,后电动机型号,後モーター型式,-,-,HB0002N0,HB0002N0,-,-,-,-
电动机,モーター,电机类型,モーター種類,励磁式/同期式,励磁式/同期式,励磁式/同期式,励磁式/同期式,励磁式/同期式,励磁式/同期式,励磁式/同期式,励磁式/同期式
电动机,モーター,电动机总功率(kW),モーター総出力(kW),150,150,230,230,150,150,230,230
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),204,204,313,313,204,204,313,313
