セクション,項目,风云A9L 2025款 260超长续航豪华版,风云A9L 2025款 260超长续航尊贵版,风云A9L 2025款 260伯牙奢享版,风云A9L 2025款 四驱高能巅峰版,风云A9L 2025款 公务尊享版,风云A9L 2025款 公务致享版
,厂商指导价(元),14.99万 计算器,16.29万 计算器,18.29万 计算器,20.79万 计算器,17.99万 计算器,18.99万 计算器
,经销商报价,暂无报价 询底价,暂无报价 询底价,暂无报价 询底价,暂无报价 询底价,暂无报价 询底价,暂无报价 询底价
基本参数,厂商,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车
基本参数,级别,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车
基本参数,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.07,2025.07,2025.07,2025.07,2025.10,2025.10
基本参数,WLTC纯电续航里程(km),193,193,193,151,193,193
基本参数,CLTC纯电续航里程(km),260,260,260,200,260,260
基本参数,电池快充时间(小时),0.25,0.25,0.25,0.25,0.24,0.24
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),275,275,275,470,275,275
基本参数,最大扭矩(N·m),530,530,530,854,530,530
基本参数,变速箱,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,发动机,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4
基本参数,电动机(Ps),217,217,217,483,217,217
基本参数,长*宽*高(mm),5018*1965*1500,5018*1965*1500,5018*1965*1500,5018*1965*1500,5018*1965*1500,5018*1965*1500
基本参数,官方0-100km/h加速(s),7.9,7.9,7.9,4.9,7.9,7.9
基本参数,最高车速(km/h),180,180,180,180,180,180
基本参数,WLTC综合油耗(L/100km),0.52,0.52,0.52,0.8,0.52,0.52
基本参数,最低荷电状态油耗(L/100km),3.7,3.7,3.7,4.8,3.7,3.7
基本参数,最低荷电状态油耗(L/100km)WLTC,4.85,4.85,4.85,5.98,4.85,4.85
基本参数,油电综合燃料消耗量(L/100km),2.49,2.49,2.49,3.19,2.49,2.49
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
基本参数,整备质量(kg),2085,2085,2085,2230,2085,2085
基本参数,最大满载质量(kg),2540,2540,2540,2650,2540,2540
车身,长度(mm),5018,5018,5018,5018,5018,5018
车身,宽度(mm),1965,1965,1965,1965,1965,1965
车身,高度(mm),1500,1500,1500,1500,1500,1500
车身,轴距(mm),3000,3000,3000,3000,3000,3000
车身,前轮距(mm),1694,1694,1694,1694,1694,1694
车身,后轮距(mm),1699,1699,1699,1699,1699,1699
车身,接近角(°),13,13,13,13,13,13
车身,离去角(°),15,15,15,15,15,15
车身,最小转弯半径(m),5.95,5.95,5.95,5.95,5.95,5.95
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),67,67,67,67,67,67
车身,后备厢容积(L),405,405,405,405,405,405
车身,风阻系数(Cd),0.23,0.23,0.23,0.23,0.23,0.23
发动机,发动机型号,SQRH4J15,SQRH4J15,SQRH4J15,SQRH4J15,SQRH4J15,SQRH4J15
发动机,排量(mL),1499,1499,1499,1499,1499,1499
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,1.5
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4
发动机,压缩比,15,15,15,15,15,15
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),156,156,156,156,156,156
发动机,最大功率(kW),115,115,115,115,115,115
发动机,最大功率转速(rpm),5200,5200,5200,5200,5200,5200
发动机,最大扭矩(N·m),220,220,220,220,220,220
发动机,最大扭矩转速(rpm),2500,2500,2500,2500,2500,2500
发动机,最大净功率(kW),105,105,105,105,105,105
发动机,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
发动机,燃油标号,92号,92号,92号,92号,92号,92号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),160,160,160,355,160,160
电动机,电动机总马力(Ps),217,217,217,483,217,217
电动机,电动机总扭矩(N·m),310,310,310,634,310,310
电动机,前电动机最大功率(kW),160,160,160,160,160,160
电动机,前电动机最大扭矩(N·m),310,310,310,310,310,310
电动机,后电动机最大功率(kW),-,-,-,195,-,-
电动机,后电动机最大扭矩(N·m),-,-,-,324,-,-
电动机,系统综合功率(kW),275,275,275,470,275,275
电动机,系统综合功率(Ps),374,374,374,639,374,374
电动机,系统综合扭矩(N·m),530,530,530,854,530,530
电动机,驱动电机数,单电机,单电机,单电机,双电机,单电机,单电机
电动机,电机布局,前置,前置,前置,前置+后置,前置,前置
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 国轩高科,● 国轩高科,● 国轩高科,● 国轩高科,● 国轩高科,● 国轩高科
