セクション,セクション_ja,項目,項目_ja,2025年モデル 260 超長航続 豪華版,2025年モデル 260 超長航続 尊貴版,2025年モデル 260 伯牙 ラグジュアリー版,2025年モデル 4WD 高性能 ピーク版,2025年モデル 公務用 尊享版,2025年モデル 公務用 致享版
,nan,厂商指导价(元),メーカー希望小売価格(元),"14.99万元（日本円 約3,147,900円）","16.29万元（日本円 約3,420,900円）","18.29万元（日本円 約3,840,900円）","20.79万元（日本円 約4,365,900円）","17.99万元（日本円 約3,777,900円）","18.99万元（日本円 約3,987,900円）"
,nan,经销商报价,ディーラー販売価格（元）,"13.99万元（日本円 約2,937,900円）","15.29万元（日本円 約3,210,900円）","17.29万元（日本円 約3,630,900円）","19.79万元（日本円 約4,155,900円）","16.99万元（日本円 約3,567,900円）","17.99万元（日本円 約3,777,900円）"
基本参数,基本仕様,厂商,メーカー,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車
基本参数,基本仕様,级别,クラス,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車
基本参数,基本仕様,能源类型,エネルギータイプ,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド
基本参数,基本仕様,环保标准,環境基準,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,基本仕様,上市时间,発売時期,2025.07,2025.07,2025.07,2025.07,2025.10,2025.10
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),193,193,193,151,193,193
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),260,260,260,200,260,260
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.25,0.25,0.25,0.25,0.24,0.24
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80,30-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),275,275,275,470,275,275
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),530,530,530,854,530,530
基本参数,基本仕様,变速箱,トランスミッション,1速DHT,1速DHT,1速DHT,1速DHT,1速DHT,1速DHT
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン
基本参数,基本仕様,发动机,エンジン,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4
基本参数,基本仕様,电动机(Ps),電動機出力(Ps),217,217,217,483,217,217
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),5018×1965×1500,5018×1965×1500,5018×1965×1500,5018×1965×1500,5018×1965×1500,5018×1965×1500
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),7.9,7.9,7.9,4.9,7.9,7.9
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),180,180,180,180,180,180
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),0.52,0.52,0.52,0.8,0.52,0.52
基本参数,基本仕様,最低荷电状态油耗(L/100km),最低荷電状態燃費(L/100km),3.7,3.7,3.7,4.8,3.7,3.7
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低荷電状態燃費(L/100km)WLTC,4.85,4.85,4.85,5.98,4.85,4.85
基本参数,基本仕様,油电综合燃料消耗量(L/100km),ハイブリッド総合燃料消費量(L/100km),2.49,2.49,2.49,3.19,2.49,2.49
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km
基本参数,基本仕様,首任车主质保政策,初回オーナー保証方針,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）
基本参数,基本仕様,整备质量(kg),車両重量(kg),2085,2085,2085,2230,2085,2085
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2540,2540,2540,2650,2540,2540
车身,車体,长度(mm),全長(mm),5018,5018,5018,5018,5018,5018
车身,車体,宽度(mm),全幅(mm),1965,1965,1965,1965,1965,1965
车身,車体,高度(mm),全高(mm),1500,1500,1500,1500,1500,1500
车身,車体,轴距(mm),ホイールベース(mm),3000,3000,3000,3000,3000,3000
车身,車体,前轮距(mm),前トレッド(mm),1694,1694,1694,1694,1694,1694
车身,車体,后轮距(mm),後トレッド(mm),1699,1699,1699,1699,1699,1699
车身,車体,接近角(°),アプローチアングル(°),13,13,13,13,13,13
车身,車体,离去角(°),デパーチャーアングル(°),15,15,15,15,15,15
车身,車体,最小转弯半径(m),最小回転半径(m),5.95,5.95,5.95,5.95,5.95,5.95
车身,車体,车身结构,ボディ構造,セダン,セダン,セダン,セダン,セダン,セダン
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 4,● 4,● 4,● 4,● 4,● 4
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,油箱容积(L),燃料タンク容量(L),67,67,67,67,67,67
车身,車体,后备厢容积(L),トランク容量(L),405,405,405,405,405,405
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),0.23,0.23,0.23,0.23,0.23,0.23
发动机,エンジン,发动机型号,エンジン型式,SQRH4J15,SQRH4J15,SQRH4J15,SQRH4J15,SQRH4J15,SQRH4J15
发动机,エンジン,排量(mL),排気量(mL),1499,1499,1499,1499,1499,1499
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,1.5,1.5,1.5
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,横置,横置,横置,横置,横置,横置
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4
发动机,エンジン,压缩比,圧縮比,15,15,15,15,15,15
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),156,156,156,156,156,156
发动机,エンジン,最大功率(kW),最大出力(kW),115,115,115,115,115,115
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),5200,5200,5200,5200,5200,5200
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),220,220,220,220,220,220
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),2500,2500,2500,2500,2500,2500
发动机,エンジン,最大净功率(kW),最大正味出力(kW),105,105,105,105,105,105
发动机,エンジン,能源类型,エネルギータイプ,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド
发动机,エンジン,燃油标号,燃料オクタン価,92号,92号,92号,92号,92号,92号
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国VI,国VI,国VI,国VI,国VI,国VI
电动机,モーター,电机类型,モーター種類,永久磁石／同期,永久磁石／同期,永久磁石／同期,永久磁石／同期,永久磁石／同期,永久磁石／同期
电动机,モーター,电动机总功率(kW),モーター総出力(kW),160,160,160,355,160,160
电动机,モーター,电动机总马力(Ps),電動機総馬力(Ps),217,217,217,483,217,217
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),310,310,310,634,310,310
电动机,モーター,前电动机最大功率(kW),前電動機最大出力(kW),160,160,160,160,160,160
