セクション,セクション_ja,項目,項目_ja,2026年モデル 222km モエキュウマ,2026年モデル 222km モエキュウマ Plus,2026年モデル 222km センサイマ,2026年モデル 222km センヨウマ,2026年モデル 222km レイリマ,2026年モデル 222km レイロウマ,2025年モデル 222km レイドウマ,2025年モデル 222km センデンマ,2025年モデル 222km レイリマ,2025年モデル 222km レイロウマ,2025年モデル 222km レイインマ,2025年モデル 222km レイサイマ,2024年モデル 122km カワイイマ,2024年モデル 122km モエキュウマ,2024年モデル 170km ゲンキマ,2024年モデル 170km カツリョクマ
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"3.49万元（日本円 約732,900円）","3.69万元（日本円 約774,900円）","3.89万元（日本円 約816,900円）","4.19万元（日本円 約879,900円）","4.29万元（日本円 約900,900円）","4.59万元（日本円 約963,900円）","3.69万元（日本円 約774,900円）","3.99万元（日本円 約837,900円）","4.09万元（日本円 約858,900円）","4.39万元（日本円 約921,900円）","5.09万元（日本円 約1,068,900円）","5.39万元（日本円 約1,131,900円）","2.49万元（日本円 約522,900円）","2.69万元（日本円 約564,900円）","2.99万元（日本円 約627,900円）","3.19万元（日本円 約669,900円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"2.99万元（日本円 約627,900円）","3.19万元（日本円 約669,900円）","3.39万元（日本円 約711,900円）","3.69万元（日本円 約774,900円）","3.79万元（日本円 約795,900円）","4.09万元（日本円 約858,900円）","3.19万元（日本円 約669,900円）","3.49万元（日本円 約732,900円）","3.39万元（日本円 約711,900円）","3.69万元（日本円 約774,900円）","4.59万元（日本円 約963,900円）","4.89万元（日本円 約1,026,900円）","1.99万元（日本円 約417,900円）","2.19万元（日本円 約459,900円）","2.49万元（日本円 約522,900円）","2.69万元（日本円 約564,900円）"
基本参数,基本仕様,厂商,メーカー,一汽奔腾,一汽奔腾,一汽奔腾,一汽奔腾,一汽奔腾,一汽奔腾,一汽奔腾,一汽奔腾,一汽奔腾,一汽奔腾,一汽奔腾,一汽奔腾,一汽奔腾,一汽奔腾,一汽奔腾,一汽奔腾
基本参数,基本仕様,级别,クラス,軽自動車,軽自動車,軽自動車,軽自動車,軽自動車,軽自動車,軽自動車,軽自動車,軽自動車,軽自動車,軽自動車,軽自動車,軽自動車,軽自動車,軽自動車,軽自動車
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2025.07,2025.08,2025.07,2025.07,2025.07,2025.07,2024.10,2024.10,2025.02,2025.02,2025.02,2025.02,2024.08,2024.05,2024.05,2024.05
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),222,222,222,222,222,222,222,222,222,222,222,222,122,122,170,170
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),-,-,-,1.08,-,1.08,-,1.08,-,1.08,-,1.08,-,-,-,-
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),6,6,6,6,6,6,6,6,6,6,6,6,5.2,5.2,6.5,6.5
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電可能範囲(%),-,-,-,30-80,-,30-80,-,30-80,-,30-80,-,30-80,-,-,-,-
基本参数,基本仕様,最大功率(kW),最大出力(kW),30,30,30,30,30,30,30,30,30,30,30,30,20,20,20,20
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),90,90,90,90,90,90,90,90,90,90,90,90,85,85,85,85
基本参数,基本仕様,车身结构,ボディ構造,3ドア4人乗りハッチバック,3ドア4人乗りハッチバック,3ドア4人乗りハッチバック,3ドア4人乗りハッチバック,3ドア4人乗りハッチバック,3ドア4人乗りハッチバック,3ドア4人乗りハッチバック,3ドア4人乗りハッチバック,3ドア4人乗りハッチバック,3ドア4人乗りハッチバック,3ドア4人乗りハッチバック,3ドア4人乗りハッチバック,3ドア4人乗りハッチバック,3ドア4人乗りハッチバック,3ドア4人乗りハッチバック,3ドア4人乗りハッチバック
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),41,41,41,41,41,41,41,41,41,41,41,41,27,27,27,27
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),3000×1510×1630,3000×1510×1630,3000×1510×1630,3000×1510×1630,3000×1510×1630,3000×1510×1630,3000×1510×1630,3000×1510×1630,3000×1510×1630,3000×1510×1630,3000×1510×1630,3000×1510×1630,3000×1510×1630,3000×1510×1630,3000×1510×1630,3000×1510×1630
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.00,1.00,1.04,1.04
基本参数,基本仕様,整车质保,車両保証,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,首任车主质保政策,初回オーナー保証方針,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）
基本参数,基本仕様,整备质量(kg),車両重量(kg),750,750,750,750,750,750,750,750,750,750,750,750,685,685,715,715
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1000,1000,1030,1030
车身,車体,长度(mm),全長(mm),3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
车身,車体,宽度(mm),全幅(mm),1510,1510,1510,1510,1510,1510,1510,1510,1510,1510,1510,1510,1510,1510,1510,1510
车身,車体,高度(mm),全高(mm),1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630
车身,車体,轴距(mm),ホイールベース(mm),1953,1953,1953,1953,1953,1953,1953,1953,1953,1953,1953,1953,1953,1953,1953,1953
车身,車体,前轮距(mm),前トレッド(mm),1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290
车身,車体,后轮距(mm),後トレッド(mm),1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290
车身,車体,满载最小离地间隙(mm),満載時最低地上高(mm),130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
车身,車体,空载最小离地间隙(mm),無負荷時最低地上高(mm),160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
