セクション,セクション_ja,項目,項目_ja,2026年モデル Hi4 105 Pro,2026年モデル Hi4 150 Pro,2026年モデル Hi4 150 Ultra,2026年モデル Hi4 200 Ultra,2026年モデル Hi4 150 Ultra リーダーエディション,2026年モデル Hi4 200 Ultra リーダーエディション,2024年モデル Hi4 102 Air,2024年モデル Hi4 102 Pro,2024年モデル Hi4 145 Pro,2024年モデル Hi4 145 クロスオーバーエディション
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"17.38万元（日本円 約3,649,800円）","18.38万元（日本円 約3,859,800円）","19.28万元（日本円 約4,048,800円）","19.98万元（日本円 約4,195,800円）","20.18万元（日本円 約4,237,800円）","20.88万元（日本円 約4,384,800円）","16.58万元（日本円 約3,481,800円）","17.38万元（日本円 約3,649,800円）","18.38万元（日本円 約3,859,800円）","19.28万元（日本円 約4,048,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"15.38万元（日本円 約3,229,800円）","16.38万元（日本円 約3,439,800円）","17.28万元（日本円 約3,628,800円）","17.98万元（日本円 約3,775,800円）","18.18万元（日本円 約3,817,800円）","18.88万元（日本円 約3,964,800円）","14.58万元（日本円 約3,061,800円）","15.38万元（日本円 約3,229,800円）","16.38万元（日本円 約3,439,800円）","17.28万元（日本円 約3,628,800円）"
基本参数,基本仕様,厂商,メーカー,長城汽車,長城汽車,長城汽車,長城汽車,長城汽車,長城汽車,長城汽車,長城汽車,長城汽車,長城汽車
基本参数,基本仕様,级别,クラス,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV
基本参数,基本仕様,能源类型,エネルギータイプ,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド
基本参数,基本仕様,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
基本参数,基本仕様,上市时间,発売時期,2025.08,2025.08,2025.08,2025.08,2025.08,2025.08,2024.04,2024.04,2024.04,2024.04
基本参数,基本仕様,NEDC纯电续航里程(km),NEDC純電航続距離(km),-,-,-,-,-,-,102,102,145,145
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),81,115,115,151,115,151,81,81,115,115
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),105,150,150,200,150,200,-,-,-,-
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),-,-,-,-,-,-,0.47,0.47,0.47,0.47
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),-,-,-,-,-,-,30-80,30-80,30-80,30-80
基本参数,基本仕様,电池慢充电量范围(%),バッテリー普通充電量範囲(%),-,-,-,-,-,-,15-100,15-100,15-100,15-100
基本参数,基本仕様,最大功率(kW),最大出力(kW),268,272,272,330,272,330,278,278,282,282
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),750,750,750,750,750,750,750,750,750,750
基本参数,基本仕様,变速箱,トランスミッション,2速DHT,2速DHT,2速DHT,2速DHT,2速DHT,2速DHT,2速DHT,2速DHT,2速DHT,2速DHT
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
