セクション,項目,智己LS6 2026款 增程 52 Pro,智己LS6 2026款 增程 52 Max,智己LS6 2026款 增程 52 Max+,智己LS6 2026款 增程 66 Max,智己LS6 2026款 增程 66 Max+,智己LS6 2026款 纯电 Pro,智己LS6 2026款 纯电 Max,智己LS6 2026款 纯电 Max+,智己LS6 2026款 纯电 Pro Max,智己LS6 2026款 纯电 Ultra
,厂商指导价(元),21.79万 计算器,22.99万 计算器,24.49万 计算器,24.49万 计算器,26.49万 计算器,21.29万 计算器,22.49万 计算器,24.49万 计算器,24.49万 计算器,28.49万 计算器
,经销商报价,20.29万起,21.49万起,22.99万起,22.99万起,24.99万起,19.79万起,20.99万起,22.99万起,22.99万起,26.99万起
基本参数,厂商,智己汽车,智己汽车,智己汽车,智己汽车,智己汽车,智己汽车,智己汽车,智己汽车,智己汽车,智己汽车
基本参数,级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
基本参数,能源类型,增程式,增程式,增程式,增程式,增程式,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,-,-,-,-,-
基本参数,上市时间,2025.09,2025.09,2025.10,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09
基本参数,WLTC纯电续航里程(km),290,290,290,360,360,-,-,-,-,-
基本参数,CLTC纯电续航里程(km),370,370,370,450,450,650,650,650,802,750
基本参数,电池快充时间(小时),0.32,0.32,0.32,0.27,0.27,0.3,0.3,0.2,0.28,0.28
基本参数,电池快充电量范围(%),10-80,10-80,10-80,10-80,10-80,10-80,10-80,10-80,10-80,10-80
基本参数,最大功率(kW),230,230,230,230,230,245,245,245,300,500
基本参数,最大扭矩(N·m),430,430,430,430,430,430,430,430,500,800
基本参数,变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,增程器 155马力,增程器 155马力,增程器 155马力,增程器 155马力,增程器 155马力,-,-,-,-,-
基本参数,电动机(Ps),313,313,313,313,313,333,333,333,408,680
基本参数,长*宽*高(mm),4937*1988*1673,4937*1988*1673,4937*1988*1673,4937*1988*1673,4937*1988*1673,4937*1988*1671,4937*1988*1671,4937*1988*1671,4937*1988*1671,4937*1988*1671
基本参数,官方0-100km/h加速(s),6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,5.4,3.48
基本参数,最高车速(km/h),200,200,200,200,200,200,200,200,235,252
基本参数,WLTC综合油耗(L/100km),0.23,0.23,0.23,0.06,0.06,-,-,-,-,-
基本参数,最低荷电状态油耗(L/100km)WLTC,5.43,5.43,5.43,5.32,5.32,-,-,-,-,-
基本参数,电能当量燃料消耗量(L/100km),-,-,-,-,-,1.47,1.47,1.47,1.51,1.74
基本参数,油电综合燃料消耗量(L/100km),2.24,2.24,2.24,2.07,2.07,-,-,-,-,-
基本参数,整车质保,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里,● 五年或15万公里
基本参数,整备质量(kg),2350,2350,2350,2345,2345,2255,2255,2255,2285,2370
基本参数,最大满载质量(kg),2800,2800,2800,2795,2795,2705,2705,2705,2735,2820
车身,长度(mm),4937,4937,4937,4937,4937,4937,4937,4937,4937,4937
车身,宽度(mm),1988,1988,1988,1988,1988,1988,1988,1988,1988,1988
车身,高度(mm),1673,1673,1673,1673,1673,1671,1671,1671,1671,1671
车身,轴距(mm),2960,2960,2960,2960,2960,2960,2960,2960,2960,2960
车身,前轮距(mm),1702,1702,1702,1702,1702,1702,1702,1702,1702,1702
车身,后轮距(mm),1706,1706,1706,1706,1706,1706,1706,1706,1706,1706
车身,接近角(°),17,17,17,17,17,17,17,17,17,17
车身,离去角(°),21,21,21,21,21,21,21,21,21,21
车身,最小转弯半径(m),5.75,4.79,4.79,4.79,4.79,5.75,4.79,4.79,4.79,4.49
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),50,50,50,50,50,-,-,-,-,-
车身,前备厢容积(L),-,-,-,-,-,105,105,105,105,105
车身,后备厢容积(L),606-1822,606-1822,581-1797,606-1822,581-1797,636-1852,636-1852,617-1833,636-1852,617-1833
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,15FNE,15FNE,15FNE,15FNE,15FNE,-,-,-,-,-
发动机,排量(mL),1496,1496,1496,1496,1496,-,-,-,-,-
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,-,-,-,-,-
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,-,-,-,-,-
发动机,气缸排列形式,L,L,L,L,L,-,-,-,-,-
发动机,气缸数(个),4,4,4,4,4,-,-,-,-,-
发动机,每缸气门数(个),4,4,4,4,4,-,-,-,-,-
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,-,-,-,-,-
发动机,最大马力(Ps),155,155,155,155,155,-,-,-,-,-
发动机,最大功率(kW),114,114,114,114,114,-,-,-,-,-
发动机,最大功率转速(rpm),-,-,-,-,-,-,-,-,-,-
发动机,最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-
发动机,最大扭矩转速(rpm),-,-,-,-,-,-,-,-,-,-
发动机,最大净功率(kW),112,112,112,112,112,-,-,-,-,-
发动机,能源类型,增程式,增程式,增程式,增程式,增程式,纯电动,纯电动,纯电动,纯电动,纯电动
发动机,燃油标号,92号,92号,92号,92号,92号,-,-,-,-,-
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,-,-,-,-,-
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,-,-,-,-,-
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,-,-,-,-,-
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,-,-,-,-,-
电动机,前电动机品牌,-,-,-,-,-,-,-,-,-,联合电子
电动机,后电动机品牌,联合电子,联合电子,联合电子,联合电子,联合电子,联合电子,联合电子,联合电子,华域汽车,华域汽车
电动机,前电动机型号,-,-,-,-,-,-,-,-,-,TZ180XS0952
