セクション,セクション_ja,項目,項目_ja,2026年モデル 増程 52 Pro,2026年モデル 増程 52 Max,2026年モデル 増程 52 Max+,2026年モデル 増程 66 Max,2026年モデル 増程 66 Max+,2026年モデル 純電 Pro,2026年モデル 純電 Max,2026年モデル 純電 Max+,2026年モデル 純電 Pro Max,2026年モデル 純電 Ultra
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"21.79万元（日本円 約4,575,900円）","22.99万元（日本円 約4,827,900円）","24.49万元（日本円 約5,142,900円）","24.49万元（日本円 約5,142,900円）","26.49万元（日本円 約5,562,900円）","21.29万元（日本円 約4,470,900円）","22.49万元（日本円 約4,722,900円）","24.49万元（日本円 約5,142,900円）","24.49万元（日本円 約5,142,900円）","28.49万元（日本円 約5,982,900円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"20.29万元（日本円 約4,260,900円）","21.49万元（日本円 約4,512,900円）","22.99万元（日本円 約4,827,900円）","22.99万元（日本円 約4,827,900円）","24.99万元（日本円 約5,247,900円）","19.79万元（日本円 約4,155,900円）","20.99万元（日本円 約4,407,900円）","22.99万元（日本円 約4,827,900円）","22.99万元（日本円 約4,827,900円）","26.99万元（日本円 約5,667,900円）"
基本参数,基本仕様,厂商,メーカー,IM Motors,IM Motors,IM Motors,IM Motors,IM Motors,IM Motors,IM Motors,IM Motors,IM Motors,IM Motors
基本参数,基本仕様,级别,クラス,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
基本参数,基本仕様,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,純電動,純電動,純電動,純電動,純電動
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,-,-,-,-,-
基本参数,基本仕様,上市时间,発売時期,2025.09,2025.09,2025.10,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),290,290,290,360,360,-,-,-,-,-
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),370,370,370,450,450,650,650,650,802,750
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.32,0.32,0.32,0.27,0.27,0.3,0.3,0.2,0.28,0.28
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),10-80,10-80,10-80,10-80,10-80,10-80,10-80,10-80,10-80,10-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),230,230,230,230,230,245,245,245,300,500
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),430,430,430,430,430,430,430,430,500,800
基本参数,基本仕様,变速箱,トランスミッション,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,レンジエクステンダー 155馬力,レンジエクステンダー 155馬力,レンジエクステンダー 155馬力,レンジエクステンダー 155馬力,レンジエクステンダー 155馬力,-,-,-,-,-
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),313,313,313,313,313,333,333,333,408,680
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4937×1988×1673mm,4937×1988×1673mm,4937×1988×1673mm,4937×1988×1673mm,4937×1988×1673mm,4937×1988×1671mm,4937×1988×1671mm,4937×1988×1671mm,4937×1988×1671mm,4937×1988×1671mm
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,5.4,3.48
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),200,200,200,200,200,200,200,200,235,252
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),0.23,0.23,0.23,0.06,0.06,-,-,-,-,-
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低荷電状態燃費(L/100km)WLTC,5.43,5.43,5.43,5.32,5.32,-,-,-,-,-
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),-,-,-,-,-,1.47,1.47,1.47,1.51,1.74
基本参数,基本仕様,油电综合燃料消耗量(L/100km),ハイブリッド総合燃料消費量(L/100km),2.24,2.24,2.24,2.07,2.07,-,-,-,-,-
基本参数,基本仕様,整车质保,車両保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),2350,2350,2350,2345,2345,2255,2255,2255,2285,2370
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2800,2800,2800,2795,2795,2705,2705,2705,2735,2820
车身,車体,长度(mm),全長(mm),4937,4937,4937,4937,4937,4937,4937,4937,4937,4937
车身,車体,宽度(mm),全幅(mm),1988,1988,1988,1988,1988,1988,1988,1988,1988,1988
车身,車体,高度(mm),全高(mm),1673,1673,1673,1673,1673,1671,1671,1671,1671,1671
车身,車体,轴距(mm),ホイールベース(mm),2960,2960,2960,2960,2960,2960,2960,2960,2960,2960
车身,車体,前轮距(mm),前トレッド(mm),1702,1702,1702,1702,1702,1702,1702,1702,1702,1702
车身,車体,后轮距(mm),後トレッド(mm),1706,1706,1706,1706,1706,1706,1706,1706,1706,1706
