セクション,項目,钛3 2025款 501KM 后驱Pro版,钛3 2025款 501KM 后驱Max版,钛3 2025款 501KM 后驱Ultra版,钛3 2025款 501KM 四驱Max版,钛3 2025款 501KM 四驱Ultra版,钛3 2025款 改款 501KM 四驱无人机版
,厂商指导价(元),13.38万 计算器,13.98万 计算器,14.98万 计算器,15.38万 计算器,16.38万 计算器,17.78万 计算器
,经销商报价,13.38万起 询底价,13.98万起 询底价,14.98万起 询底价,15.38万起 询底价,16.38万起 询底价,17.78万起 询底价
基本参数,厂商,方程豹,方程豹,方程豹,方程豹,方程豹,方程豹
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2025.04,2025.04,2025.09,2025.04,2025.04,2025.09
基本参数,CLTC纯电续航里程(km),501,501,501,501,501,501
基本参数,电池快充时间(小时),0.3,0.3,0.3,0.3,0.3,0.3
基本参数,电池慢充时间(小时),9.3,9.3,9.3,10.4,10.4,11.2
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),160,160,160,310,310,310
基本参数,最大扭矩(N·m),310,310,310,510,510,510
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,电动机(Ps),218,218,218,422,422,422
基本参数,长*宽*高(mm),4605*1900*1720,4605*1900*1720,4605*1900*1720,4605*1900*1720,4605*1900*1720,4605*1900*1720
基本参数,官方0-100km/h加速(s),7.9,7.9,7.9,4.9,4.9,5.3
基本参数,最高车速(km/h),201,201,201,201,201,201
基本参数,电能当量燃料消耗量(L/100km),1.65,1.65,1.65,1.92,1.92,2.08
基本参数,整车质保,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里
基本参数,整备质量(kg),1995,1995,1995,2170,2170,2170
基本参数,最大满载质量(kg),2370,2370,2370,2545,2545,2545
车身,长度(mm),4605,4605,4605,4605,4605,4605
车身,宽度(mm),1900,1900,1900,1900,1900,1900
车身,高度(mm),1720,1720,1720,1720,1720,1720
车身,轴距(mm),2745,2745,2745,2745,2745,2745
车身,前轮距(mm),1634,1634,1634,1634,1634,1634
车身,后轮距(mm),1650,1650,1650,1650,1650,1650
车身,接近角(°),25,25,25,25,25,25
车身,离去角(°),28,28,28,28,28,28
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5
车身,前备厢容积(L),151,151,151,151,151,151
车身,后备厢容积(L),-,-,-,-,-,-
车身,风阻系数(Cd),-,-,-,-,-,-
电动机,前电动机品牌,-,-,-,弗迪动力,弗迪动力,弗迪动力
电动机,后电动机品牌,-,-,-,比亚迪,比亚迪,比亚迪
电动机,前电动机型号,-,-,-,YS230XYC,YS230XYC,YS230XYC
电动机,后电动机型号,-,-,-,TZ200XYZ,TZ200XYZ,TZ200XYZ
