セクション,セクション_ja,項目,項目_ja,2025年モデル 501KM 後輪駆動Pro版,2025年モデル 501KM 後輪駆動Max版,2025年モデル 501KM 後輪駆動Ultra版,2025年モデル 501KM 4WD Max版,2025年モデル 501KM 4WD Ultra版,2025年モデル 改良版 501KM 4WD ドローン版
,nan,厂商指导价(元),メーカー希望小売価格(元),"13.38万元（日本円 約2,809,800円）","13.98万元（日本円 約2,935,800円）","14.98万元（日本円 約3,145,800円）","15.38万元（日本円 約3,229,800円）","16.38万元（日本円 約3,439,800円）","17.78万元（日本円 約3,733,800円）"
,nan,经销商报价,ディーラー販売価格（元）,"13.38万元（日本円 約2,809,800円）","13.98万元（日本円 約2,935,800円）","14.98万元（日本円 約3,145,800円）","15.38万元（日本円 約3,229,800円）","16.38万元（日本円 約3,439,800円）","17.78万元（日本円 約3,733,800円）"
基本参数,基本仕様,厂商,メーカー,方程豹,方程豹,方程豹,方程豹,方程豹,方程豹
基本参数,基本仕様,级别,クラス,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2025.04,2025.04,2025.09,2025.04,2025.04,2025.09
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),501,501,501,501,501,501
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.3,0.3,0.3,0.3,0.3,0.3
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),9.3,9.3,9.3,10.4,10.4,11.2
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電可能範囲(%),30-80,30-80,30-80,30-80,30-80,30-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),160,160,160,310,310,310
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),310,310,310,510,510,510
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),218,218,218,422,422,422
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4605×1900×1720,4605×1900×1720,4605×1900×1720,4605×1900×1720,4605×1900×1720,4605×1900×1720
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),7.9,7.9,7.9,4.9,4.9,5.3
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),201,201,201,201,201,201
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.65,1.65,1.65,1.92,1.92,2.08
基本参数,基本仕様,整车质保,車両保証,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1995,1995,1995,2170,2170,2170
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2370,2370,2370,2545,2545,2545
车身,車体,长度(mm),全長(mm),4605,4605,4605,4605,4605,4605
车身,車体,宽度(mm),全幅(mm),1900,1900,1900,1900,1900,1900
车身,車体,高度(mm),全高(mm),1720,1720,1720,1720,1720,1720
车身,車体,轴距(mm),ホイールベース(mm),2745,2745,2745,2745,2745,2745
车身,車体,前轮距(mm),前トレッド(mm),1634,1634,1634,1634,1634,1634
车身,車体,后轮距(mm),後トレッド(mm),1650,1650,1650,1650,1650,1650
车身,車体,接近角(°),アプローチアングル(°),25,25,25,25,25,25
