セクション,項目,零跑C10 2026款 210悦享版,零跑C10 2026款 210激光雷达版,零跑C10 2026款 530舒享版,零跑C10 2026款 605悦享版,零跑C10 2026款 605激光雷达版
,厂商指导价(元),12.28万 计算器,13.28万 计算器,12.28万 计算器,13.28万 计算器,14.28万 计算器
,经销商报价,12.08万起 询底价,13.08万起 询底价,12.08万起 询底价,13.08万起 询底价,14.08万起 询底价
基本参数,厂商,零跑汽车,零跑汽车,零跑汽车,零跑汽车,零跑汽车
基本参数,级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
基本参数,能源类型,增程式,增程式,纯电动,纯电动,纯电动
基本参数,环保标准,国VI,国VI,-,-,-
基本参数,上市时间,2025.05,2025.05,2025.05,2025.05,2025.05
基本参数,WLTC纯电续航里程(km),140,140,-,-,-
基本参数,CLTC纯电续航里程(km),210,210,530,605,605
基本参数,电池快充时间(小时),0.3,0.3,0.5,0.27,0.27
基本参数,电池慢充时间(小时),3,3,6.1,7.5,7.5
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80
基本参数,电池慢充电量范围(%),30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),170,170,170,220,220
基本参数,最大扭矩(N·m),320,320,320,360,360
基本参数,变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,1.5L 95马力 L4,1.5L 95马力 L4,-,-,-
基本参数,电动机(Ps),231,231,231,299,299
基本参数,长*宽*高(mm),4739*1900*1680,4739*1900*1680,4739*1900*1680,4739*1900*1680,4739*1900*1680
基本参数,官方0-100km/h加速(s),7.68,7.68,7.29,5.9,5.9
基本参数,最高车速(km/h),170,170,170,190,190
基本参数,WLTC综合油耗(L/100km),0.94,0.94,-,-,-
基本参数,最低荷电状态油耗(L/100km),5.1,5.1,-,-,-
基本参数,最低荷电状态油耗(L/100km)WLTC,5.89,5.89,-,-,-
基本参数,电能当量燃料消耗量(L/100km),-,-,1.68,1.64,1.64
基本参数,油电综合燃料消耗量(L/100km),3.04,3.04,-,-,-
基本参数,整车质保,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里
基本参数,首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
基本参数,整备质量(kg),1925,1925,1940,1995,1995
基本参数,最大满载质量(kg),2300,2300,2315,2370,2370
车身,长度(mm),4739,4739,4739,4739,4739
车身,宽度(mm),1900,1900,1900,1900,1900
车身,高度(mm),1680,1680,1680,1680,1680
车身,轴距(mm),2825,2825,2825,2825,2825
车身,前轮距(mm),1625,1625,1625,1625,1625
车身,后轮距(mm),1620,1620,1620,1620,1620
车身,空载最小离地间隙(mm),180,180,180,180,180
车身,接近角(°),17,17,17,17,17
车身,离去角(°),23,23,23,23,23
车身,车身结构,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),50,50,-,-,-
车身,后备厢容积(L),370-835,370-835,370-835,370-835,370-835
车身,风阻系数(Cd),-,-,-,-,-
发动机,发动机型号,H15R,H15R,-,-,-
发动机,排量(mL),1499,1499,-,-,-
发动机,排量(L),1.5,1.5,-,-,-
发动机,进气形式,自然吸气,自然吸气,-,-,-
发动机,发动机布局,横置,横置,-,-,-
发动机,气缸排列形式,L,L,-,-,-
发动机,气缸数(个),4,4,-,-,-
发动机,每缸气门数(个),4,4,-,-,-
发动机,配气机构,DOHC,DOHC,-,-,-
发动机,最大马力(Ps),95,95,-,-,-
发动机,最大功率(kW),70,70,-,-,-
发动机,最大功率转速(rpm),-,-,-,-,-
发动机,最大扭矩(N·m),-,-,-,-,-
发动机,最大扭矩转速(rpm),-,-,-,-,-
发动机,最大净功率(kW),68,68,-,-,-
发动机,能源类型,增程式,增程式,纯电动,纯电动,纯电动
