セクション,項目,长安UNI-Z新能源 2025款 智慧新蓝鲸 125km 战舰版,长安UNI-Z新能源 2025款 智慧新蓝鲸 125km 战舰+,长安UNI-Z新能源 2025款 智慧新蓝鲸 125km 超能型,长安UNI-Z新能源 2024款 蓝鲸智电iDD 125km 领先型,长安UNI-Z新能源 2024款 蓝鲸智电iDD 125km 卓越型
,厂商指导价(元),12.49万 计算器,12.69万 计算器,13.39万 计算器,11.79万 计算器,13.19万 计算器
,经销商报价,10.99万起 询底价,11.39万起 询底价,12.09万起 询底价,10.29万起 询底价,11.39万起 询底价
基本参数,厂商,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.02,2025.05,2025.05,2024.03,2024.03
基本参数,WLTC纯电续航里程(km),95,95,95,95,95
基本参数,CLTC纯电续航里程(km),125,125,125,125,125
基本参数,电池快充时间(小时),0.5,0.5,0.5,0.5,0.5
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),-,-,-,-,-
基本参数,最大扭矩(N·m),-,-,-,-,-
基本参数,变速箱,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,1.5L 98马力 L4,1.5L 98马力 L4,1.5L 98马力 L4,1.5L 98马力 L4,1.5L 98马力 L4
基本参数,电动机(Ps),215,215,215,215,215
基本参数,长*宽*高(mm),4730*1890*1660,4730*1890*1680,4730*1890*1680,4730*1890*1660,4730*1890*1660
基本参数,官方0-100km/h加速(s),7.4,7.4,7.4,7.4,7.4
基本参数,最高车速(km/h),180,180,180,180,180
基本参数,WLTC综合油耗(L/100km),1.3,1.3,1.3,1.3,1.3
基本参数,最低荷电状态油耗(L/100km),5.15,5.15,5.15,5.15,5.15
基本参数,油电综合燃料消耗量(L/100km),3.18,3.06,3.06,3.18,3.18
基本参数,整车质保,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里
基本参数,整备质量(kg),1720,1720,1720,1720,1720
基本参数,最大满载质量(kg),2150,2150,2150,2150,2150
车身,长度(mm),4730,4730,4730,4730,4730
车身,宽度(mm),1890,1890,1890,1890,1890
车身,高度(mm),1660,1680,1680,1660,1660
车身,轴距(mm),2795,2795,2795,2795,2795
车身,前轮距(mm),1603,1603,1603,1603,1603
车身,后轮距(mm),1603,1603,1603,1603,1603
车身,接近角(°),19,19,19,19,19
车身,离去角(°),25,25,25,25,25
车身,车身结构,SUV,SUV,SUV,SUV,SUV
