セクション,項目,元UP 2025款 301KM 领航型,元UP 2025款 智驾版 401KM 活力版,元UP 2025款 智驾版 401KM 领先型,元UP 2025款 智驾版 401KM 超越型
,厂商指导价(元),7.48万 计算器,9.98万 计算器,10.98万 计算器,11.98万 计算器
,经销商报价,7.48万起,6.98万起,9.48万起,10.48万起
基本参数,厂商,比亚迪,比亚迪,比亚迪,比亚迪
基本参数,级别,小型SUV,小型SUV,小型SUV,小型SUV
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2025.07,2025.02,2025.02,2025.02
基本参数,CLTC纯电续航里程(km),301,401,401,401
基本参数,电池快充时间(小时),0.5,0.5,0.5,0.5
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80
基本参数,最大功率(kW),70,70,130,130
基本参数,最大扭矩(N·m),180,180,290,290
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,电动机(Ps),95,95,177,177
基本参数,长*宽*高(mm),4310*1830*1675,4310*1830*1675,4310*1830*1675,4310*1830*1675
基本参数,官方0-100km/h加速(s),12,12.9,7.9,7.9
基本参数,官方0-50km/h加速(s),4.3,4.6,3.1,3.1
基本参数,最高车速(km/h),150,160,160,160
基本参数,电能当量燃料消耗量(L/100km),1.39,1.38,1.38,1.38
基本参数,整车质保,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里
基本参数,整备质量(kg),1430,1520,1540,1540
基本参数,最大满载质量(kg),1805,1895,1915,1915
车身,长度(mm),4310,4310,4310,4310
车身,宽度(mm),1830,1830,1830,1830
车身,高度(mm),1675,1675,1675,1675
车身,轴距(mm),2620,2620,2620,2620
车身,前轮距(mm),1570,1570,1570,1570
车身,后轮距(mm),1570,1570,1570,1570
车身,接近角(°),18,18,18,18
车身,离去角(°),23,23,23,23
车身,最小转弯半径(m),5.25,5.25,5.25,5.25
车身,车身结构,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5
车身,后备厢容积(L),1320,1320,1320,1320
车身,风阻系数(Cd),-,-,-,-
电动机,前电动机品牌,比亚迪,比亚迪,比亚迪,比亚迪
电动机,前电动机型号,TZ180XSF,TZ180XSF,TZ200XSW,TZ200XSW
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),70,70,130,130
电动机,电动机总马力(Ps),95,95,177,177
电动机,电动机总扭矩(N·m),180,180,290,290
电动机,前电动机最大功率(kW),70,70,130,130
电动机,前电动机最大扭矩(N·m),180,180,290,290
电动机,驱动电机数,单电机,单电机,单电机,单电机
电动机,电机布局,前置,前置,前置,前置
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 弗迪,● 弗迪,● 弗迪,● 弗迪
电池/充电,电池特有技术,刀片电池,刀片电池,刀片电池,刀片电池
电池/充电,电池冷却方式,直冷,直冷,直冷,直冷
电池/充电,CLTC纯电续航里程(km),301,401,401,401
电池/充电,电池能量(kWh),32,45.12,45.12,45.12
电池/充电,百公里耗电量(kWh/100km),12,12.2,12.2,12.2
电池/充电,快充功能,支持,支持,支持,支持
电池/充电,快充功率(kW),45,65,65,65
电池/充电,电池快充时间(小时),0.5,0.5,0.5,0.5
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80
电池/充电,慢充接口位置,车右前侧,车右前侧,车右前侧,车右前侧
电池/充电,快充接口位置,车右前侧,车右前侧,车右前侧,车右前侧
电池/充电,对外交流放电功率(kW),3.3,3.3,3.3,3.3
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
