セクション,セクション_ja,項目,項目_ja,2025年モデル 301KM リーダータイプ,2025年モデル インテリジェントドライブ 401KM アクティブタイプ,2025年モデル インテリジェントドライブ 401KM アドバンスタイプ,2025年モデル インテリジェントドライブ 401KM エクセレントタイプ
,nan,厂商指导价(元),メーカー希望小売価格(元),"7.48万元（日本円 約1,570,800円）","9.98万元（日本円 約2,095,800円）","10.98万元（日本円 約2,305,800円）","11.98万元（日本円 約2,515,800円）"
,nan,经销商报价,ディーラー販売価格（元）,"7.48万元（日本円 約1,570,800円）","6.98万元（日本円 約1,465,800円）","9.48万元（日本円 約1,990,800円）","10.48万元（日本円 約2,200,800円）"
基本参数,基本仕様,厂商,メーカー,ビーワイディー,ビーワイディー,ビーワイディー,ビーワイディー
基本参数,基本仕様,级别,クラス,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2025.07,2025.02,2025.02,2025.02
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),301,401,401,401
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.5,0.5,0.5,0.5
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),70,70,130,130
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),180,180,290,290
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),95,95,177,177
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4310*1830*1675,4310*1830*1675,4310*1830*1675,4310*1830*1675
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),12,12.9,7.9,7.9
基本参数,基本仕様,官方0-50km/h加速(s),公式0-50km/h加速時間(s),4.3,4.6,3.1,3.1
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),150,160,160,160
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.39,1.38,1.38,1.38
基本参数,基本仕様,整车质保,車両保証,● 6年または15万km保証,● 6年または15万km保証,● 6年または15万km保証,● 6年または15万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),1430,1520,1540,1540
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),1805,1895,1915,1915
车身,車体,长度(mm),全長(mm),4310,4310,4310,4310
车身,車体,宽度(mm),全幅(mm),1830,1830,1830,1830
车身,車体,高度(mm),全高(mm),1675,1675,1675,1675
车身,車体,轴距(mm),ホイールベース(mm),2620,2620,2620,2620
车身,車体,前轮距(mm),前トレッド(mm),1570,1570,1570,1570
