セクション,項目,电动MINI COOPER 2025款 改款 466km COOPER E 经典派,电动MINI COOPER 2025款 463km COOPER SE 艺术家,电动MINI COOPER 2024款 452km COOPER SE 艺术家,电动MINI COOPER 2024款 452km COOPER SE 赛车手
,厂商指导价(元),20.98万 计算器,23.98万 计算器,23.98万 计算器,25.98万 计算器
,经销商报价,15.38万起,18.28万起,18.28万起,25.98万起
基本参数,厂商,光束汽车,光束汽车,光束汽车,光束汽车
基本参数,级别,小型车,小型车,小型车,小型车
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2025.10,2025.10,2024.07,2024.07
基本参数,CLTC纯电续航里程(km),466,463,452,452
基本参数,电池快充时间(小时),0.5,0.5,0.5,0.5
基本参数,电池慢充时间(小时),5.5,5.5,5.5,5.5
基本参数,电池快充电量范围(%),10-80,10-80,10-80,10-80
基本参数,电池慢充电量范围(%),0-100,0-100,0-100,0-100
基本参数,最大功率(kW),135,160,160,160
基本参数,最大扭矩(N·m),290,330,330,330
基本参数,车身结构,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车
基本参数,电动机(Ps),184,218,218,218
基本参数,长*宽*高(mm),3858*1756*1458,3858*1756*1458,3858*1756*1458,3858*1756*1458
基本参数,官方0-100km/h加速(s),8.1,7.1,7.1,7.1
基本参数,最高车速(km/h),160,170,170,170
基本参数,电能当量燃料消耗量(L/100km),1.42,1.43,1.44,1.44
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1605,1640,1640,1640
基本参数,最大满载质量(kg),2055,2055,2055,2055
车身,长度(mm),3858,3858,3858,3858
车身,宽度(mm),1756,1756,1756,1756
车身,高度(mm),1458,1458,1458,1458
车身,轴距(mm),2526,2526,2526,2526
车身,前轮距(mm),1618,1618,1618,1618
车身,后轮距(mm),1615,1615,1615,1615
车身,接近角(°),14,14,14,14
车身,离去角(°),29,29,29,29
车身,车身结构,两厢车,两厢车,两厢车,两厢车
车身,车门开启方式,平开门,平开门,平开门,平开门
车身,车门数(个),● 3,● 3,● 3,● 3
车身,座位数(个),● 4,● 4,● 4,● 4
车身,后备厢容积(L),210-800,210-800,210-800,210-800
车身,风阻系数(Cd),-,-,-,-
电动机,前电动机品牌,联合电子,联合电子,联合电子,联合电子
电动机,前电动机型号,HC0001N0,HC0001N0,HC0001N0,HC0001N0
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),135,160,160,160
电动机,电动机总马力(Ps),184,218,218,218
电动机,电动机总扭矩(N·m),290,330,330,330
电动机,前电动机最大功率(kW),135,160,160,160
电动机,前电动机最大扭矩(N·m),290,330,330,330
电动机,驱动电机数,单电机,单电机,单电机,单电机
电动机,电机布局,前置,前置,前置,前置
电池/充电,电池类型,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池
电池/充电,电芯品牌,● 蜂巢能源,● 蜂巢能源,● 蜂巢能源,● 蜂巢能源
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷
电池/充电,CLTC纯电续航里程(km),466,463,452,452
电池/充电,电池能量(kWh),51.5,51.5,51.5,51.5
电池/充电,百公里耗电量(kWh/100km),12.2,12.3,12.7,12.7
电池/充电,电池组质保,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里
电池/充电,快充功能,支持,支持,支持,支持
电池/充电,电池快充时间(小时),0.5,0.5,0.5,0.5
电池/充电,电池慢充时间(小时),5.5,5.5,5.5,5.5
电池/充电,电池快充电量范围(%),10-80,10-80,10-80,10-80
电池/充电,电池慢充电量范围(%),0-100,0-100,0-100,0-100
电池/充电,慢充接口位置,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,快充接口位置,车左后侧,车左后侧,车左后侧,车左后侧
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 205/50 R17,● 225/40 R18,● 225/40 R18,● 225/40 R18
车轮制动,后轮胎规格,● 205/50 R17,● 225/40 R18,● 225/40 R18,● 225/40 R18
车轮制动,备胎规格,● 无,● 无,● 无,● 无
被动安全,主/副驾驶座安全气囊,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
被动安全,前/后排侧气囊,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
被动安全,前/后排头部气囊(气帘),前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
被动安全,前排中间气囊,●,●,●,●
主动安全,ABS防抱死,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 前排
主动安全,ISOFIX儿童座椅接口,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●
主动安全,疲劳驾驶提示,●,●,●,●
主动安全,DOW开门预警,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●
主动安全,后方碰撞预警,●,●,●,●
主动安全,低速行车警告,●,●,●,●
主动安全,内置行车记录仪,-,○,○,○
主动安全,道路救援呼叫,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化"
驾驶操控,能量回收系统,●,●,●,●
驾驶操控,自动驻车,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●
驾驶硬件,前/后驻车雷达,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
驾驶硬件,驾驶辅助影像,● 倒车影像,"● 倒车影像
○ 360度全景影像","● 倒车影像
○ 360度全景影像","● 倒车影像
○ 360度全景影像"
驾驶硬件,前方感知摄像头,● 单目,"● 单目
○ 双目","● 单目
○ 双目","● 单目
○ 双目"
驾驶硬件,摄像头数量,● 2个,"● 2个
○ 6个","● 2个
○ 6个","● 2个
○ 6个"
