セクション,セクション_ja,項目,項目_ja,2026年モデル DM i 128KM 進取型,2026年モデル DM i 128KM 先進型,2025年モデル EV 545KM 雲輦型,2025年モデル EV 470KM 先進型,2025年モデル EV 545KM 超越型,2025年モデル EV 545KM 卓越型,2025年モデル DM i 智駕版 80KM 先進型,2025年モデル DM i 智駕版 80KM 超越型,2025年モデル DM i 智駕版 120KM 先進型,2025年モデル DM i 智駕版 120KM 超越型,2025年モデル DM i 智駕版 120KM 卓越型,2025年モデル DM i 智駕版 120KM 領航版
,nan,厂商指导价(元),メーカー希望小売価格(元),"9.68万元（日本円 約2,032,800円）","10.68万元（日本円 約2,242,800円）","13.98万元（日本円 約2,935,800円）","11.98万元（日本円 約2,515,800円）","12.98万元（日本円 約2,725,800円）","13.98万元（日本円 約2,935,800円）","9.98万元（日本円 約2,095,800円）","10.98万元（日本円 約2,305,800円）","11.98万元（日本円 約2,515,800円）","12.98万元（日本円 約2,725,800円）","13.98万元（日本円 約2,935,800円）","15.38万元（日本円 約3,229,800円）"
,nan,经销商报价,ディーラー販売価格（元）,"9.28万元（日本円 約1,948,800円）","10.28万元（日本円 約2,158,800円）","12.98万元（日本円 約2,725,800円）","10.98万元（日本円 約2,305,800円）","11.98万元（日本円 約2,515,800円）","12.98万元（日本円 約2,725,800円）","8.98万元（日本円 約1,885,800円）","9.98万元（日本円 約2,095,800円）","10.98万元（日本円 約2,305,800円）","11.98万元（日本円 約2,515,800円）","12.98万元（日本円 約2,725,800円）",暂无
基本参数,基本仕様,厂商,メーカー,BYD,BYD,BYD,BYD,BYD,BYD,BYD,BYD,BYD,BYD,BYD,BYD
基本参数,基本仕様,级别,クラス,ミドルサイズカー,ミドルサイズカー,ミドルサイズカー,ミドルサイズカー,ミドルサイズカー,ミドルサイズカー,ミドルサイズカー,ミドルサイズカー,ミドルサイズカー,ミドルサイズカー,ミドルサイズカー,ミドルサイズカー
基本参数,基本仕様,能源类型,エネルギータイプ,プラグインハイブリッド,プラグインハイブリッド,電気自動車（EV）,電気自動車（EV）,電気自動車（EV）,電気自動車（EV）,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,-,-,-,-,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2025.10,2025.10,2025.08,2025.03,2025.03,2025.03,2025.02,2025.02,2025.02,2025.02,2025.02,2025.04
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),100,100,-,-,-,-,60,60,90,90,90,90
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),128,128,545,470,545,545,80,80,120,120,120,120
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.42,0.42,0.4,0.4,0.4,0.4,-,-,0.42,0.42,0.42,0.42
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),2.5,2.5,-,-,-,-,3.42,3.42,2.5,2.5,2.5,2.5
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電可能範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,-,-,30-80,30-80,30-80,30-80
基本参数,基本仕様,电池慢充电量范围(%),バッテリー普通充電可能範囲(%),15-100,15-100,-,-,-,-,15-100,15-100,15-100,15-100,15-100,15-100
基本参数,基本仕様,最大功率(kW),最大出力(kW),-,-,160,110,160,160,-,-,-,-,-,-
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),-,-,330,220,330,330,-,-,-,-,-,-
基本参数,基本仕様,变速箱,トランスミッション,E-CVT無段変速,E-CVT無段変速,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン
基本参数,基本仕様,发动机,エンジン,1.5L 101馬力 直列4気筒,1.5L 101馬力 直列4気筒,電気自動車（EV）,電気自動車（EV）,電気自動車（EV）,電気自動車（EV）,1.5L 101馬力 直列4気筒,1.5L 101馬力 直列4気筒,1.5L 101馬力 直列4気筒,1.5L 101馬力 直列4気筒,1.5L 101馬力 直列4気筒,1.5L 101馬力 直列4気筒
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),163,218,218,150,218,218,163,163,218,218,218,218
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4830×1900×1495（mm）,4830×1900×1495（mm）,4720×1880×1495（mm）,4720×1880×1495（mm）,4720×1880×1495（mm）,4720×1880×1495（mm）,4830×1900×1495（mm）,4830×1900×1495（mm）,4830×1900×1495（mm）,4830×1900×1495（mm）,4830×1900×1495（mm）,4830×1900×1495（mm）
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),7.9,7.5,-,-,-,-,7.9,7.9,7.5,7.5,7.5,7.5
基本参数,基本仕様,官方0-50km/h加速(s),公式0-50km/h加速時間(s),-,-,3.1,4.1,3.1,3.1,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),180,180,180,160,180,180,180,180,180,180,180,180
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),1.11,1.11,-,-,-,-,1.36,1.36,1.11,1.11,1.11,1.11
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低充電状態燃費(L/100km)WLTC,3.8,3.98,-,-,-,-,3.8,3.8,3.98,3.98,3.98,3.98
基本参数,基本仕様,最低荷电状态油耗(L/100km)NEDC,最低充電状態燃費(L/100km)NEDC,2.79,2.79,-,-,-,-,2.9,2.9,3.08,3.08,3.08,3.08
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.54,1.54,1.34,1.25,1.34,1.34,1.26,1.26,1.54,1.54,1.54,1.54
基本参数,基本仕様,油电综合燃料消耗量(L/100km),ハイブリッド総合燃料消費量(L/100km),2.64,2.64,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,整车质保,車両保証,● 6年または15万km保証,● 6年または15万km保証,● 6年または15万km保証,● 6年または15万km保証,● 6年または15万km保証,● 6年または15万km保証,● 6年または15万km保証,● 6年または15万km保証,● 6年または15万km保証,● 6年または15万km保証,● 6年または15万km保証,● 6年または15万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),1660,1775,1800,1670,1800,1800,1660,1660,1775,1775,1775,1775
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2035,2150,2225,2095,2225,2225,2035,2035,2150,2150,2150,2150
车身,車体,长度(mm),全長(mm),4830,4830,4720,4720,4720,4720,4830,4830,4830,4830,4830,4830
车身,車体,宽度(mm),全幅(mm),1900,1900,1880,1880,1880,1880,1900,1900,1900,1900,1900,1900
车身,車体,高度(mm),全高(mm),1495,1495,1495,1495,1495,1495,1495,1495,1495,1495,1495,1495
车身,車体,轴距(mm),ホイールベース(mm),2790,2790,2820,2820,2820,2820,2790,2790,2790,2790,2790,2790
车身,車体,前轮距(mm),前トレッド(mm),1620,1620,1610,1610,1610,1610,1620,1620,1620,1620,1620,1620
车身,車体,后轮距(mm),後トレッド(mm),1620,1620,1610,1610,1610,1610,1620,1620,1620,1620,1620,1620
车身,車体,接近角(°),アプローチアングル(°),13,13,13,13,13,13,13,13,13,13,13,13
车身,車体,离去角(°),デパーチャーアングル(°),14,14,16,16,16,16,14,14,14,14,14,14
车身,車体,最小转弯半径(m),最小回転半径(m),5.6,5.6,5.4,5.4,5.4,5.4,5.6,5.6,5.6,5.6,5.6,5.6
车身,車体,车身结构,ボディ構造,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）
车身,車体,座位数(个),乗車定員(名),● 5（乗車定員）,● 5（乗車定員）,● 5（乗車定員）,● 5（乗車定員）,● 5（乗車定員）,● 5（乗車定員）,● 5（乗車定員）,● 5（乗車定員）,● 5（乗車定員）,● 5（乗車定員）,● 5（乗車定員）,● 5（乗車定員）
车身,車体,油箱容积(L),燃料タンク容量(L),65,65,-,-,-,-,65,65,65,65,65,65
车身,車体,前备厢容积(L),フロントトランク容量(L),-,-,65,65,65,65,-,-,-,-,-,-
车身,車体,后备厢容积(L),リアトランク容量(L),-,-,460,460,460,460,-,-,-,-,-,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),0.26,0.26,-,-,-,-,0.26,0.26,0.26,0.26,0.26,0.26
发动机,エンジン,发动机型号,エンジン型式,BYD472QC（型式）,BYD472QC（型式）,-,-,-,-,BYD472QC（型式）,BYD472QC（型式）,BYD472QC（型式）,BYD472QC（型式）,BYD472QC（型式）,BYD472QC（型式）
发动机,エンジン,排量(mL),排気量(mL),1498,1498,-,-,-,-,1498,1498,1498,1498,1498,1498
发动机,エンジン,排量(L),排気量(L),1.5,1.5,-,-,-,-,1.5,1.5,1.5,1.5,1.5,1.5
发动机,エンジン,进气形式,過給形式,自然吸気,自然吸気,-,-,-,-,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気
发动机,エンジン,发动机布局,エンジン配置,横置エンジン,横置エンジン,-,-,-,-,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,-,-,-,-,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,-,-,-,-,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,-,-,-,-,4,4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,-,-,-,-,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）
发动机,エンジン,最大马力(Ps),最高出力(Ps),101,101,-,-,-,-,101,101,101,101,101,101
发动机,エンジン,最大功率(kW),最大出力(kW),74,74,-,-,-,-,74,74,74,74,74,74
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),126,126,-,-,-,-,126,126,126,126,126,126
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,最大净功率(kW),最大出力(kW),70,70,-,-,-,-,70,70,70,70,70,70
