セクション,項目,海豹06新能源 2025款 DM-i 智驾版 80KM豪华型,海豹06新能源 2025款 DM-i 智驾版 80KM尊贵型,海豹06新能源 2025款 DM-i 智驾版 120KM尊荣型,海豹06新能源 2025款 DM-i 智驾版 120KM尊享型,海豹06新能源 2025款 DM-i 智驾版 120KM旗舰型,海豹06新能源 2025款 EV 470KM尊荣型,海豹06新能源 2025款 EV 545KM尊享型,海豹06新能源 2025款 EV 545KM旗舰型
,厂商指导价(元),9.98万 计算器,10.98万 计算器,11.98万 计算器,12.98万 计算器,13.98万 计算器,10.98万 计算器,11.98万 计算器,12.98万 计算器
,经销商报价,暂无报价 询底价,暂无报价 询底价,暂无报价 询底价,暂无报价 询底价,暂无报价 询底价,暂无报价 询底价,暂无报价 询底价,暂无报价 询底价
基本参数,厂商,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪
基本参数,级别,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车
基本参数,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,纯电动,纯电动,纯电动
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,-,-,-
基本参数,上市时间,2025.02,2025.02,2025.02,2025.02,2025.02,2025.06,2025.06,2025.06
基本参数,WLTC纯电续航里程(km),60,60,90,90,90,-,-,-
基本参数,CLTC纯电续航里程(km),80,80,120,120,120,470,545,545
基本参数,电池快充时间(小时),-,-,0.42,0.42,0.42,0.4,0.4,0.4
基本参数,电池慢充时间(小时),3.42,3.42,2.5,2.5,2.5,-,-,-
基本参数,电池快充电量范围(%),-,-,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,电池慢充电量范围(%),15-100,15-100,15-100,15-100,15-100,-,-,-
基本参数,最大功率(kW),-,-,-,-,-,110,160,160
基本参数,最大扭矩(N·m),-,-,-,-,-,220,330,330
基本参数,变速箱,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,发动机,1.5L 101马力 L4,1.5L 101马力 L4,1.5L 101马力 L4,1.5L 101马力 L4,1.5L 101马力 L4,纯电动,纯电动,纯电动
基本参数,电动机(Ps),163,163,218,218,218,150,218,218
基本参数,长*宽*高(mm),4830*1875*1495,4830*1875*1495,4830*1875*1495,4830*1875*1495,4830*1875*1495,4720*1880*1495,4720*1880*1495,4720*1880*1495
基本参数,官方0-100km/h加速(s),7.9,7.9,7.5,7.5,7.5,-,-,-
基本参数,官方0-50km/h加速(s),-,-,-,-,-,4.1,3.1,3.1
基本参数,最高车速(km/h),180,180,180,180,180,160,180,180
基本参数,WLTC综合油耗(L/100km),1.36,1.36,1.11,1.11,1.11,-,-,-
基本参数,最低荷电状态油耗(L/100km)WLTC,3.80,3.80,3.98,3.98,3.98,-,-,-
基本参数,最低荷电状态油耗(L/100km)NEDC,2.9,2.9,3.08,3.08,3.08,-,-,-
基本参数,电能当量燃料消耗量(L/100km),1.26,1.26,1.54,1.54,1.54,1.25,1.34,1.34
基本参数,油电综合燃料消耗量(L/100km),2.65,2.65,2.69,2.69,2.69,-,-,-
基本参数,整车质保,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里
基本参数,整备质量(kg),1660,1660,1775,1775,1775,1670,1800,1800
基本参数,最大满载质量(kg),2035,2035,2150,2150,2150,2095,2225,2225
车身,长度(mm),4830,4830,4830,4830,4830,4720,4720,4720
车身,宽度(mm),1875,1875,1875,1875,1875,1880,1880,1880
车身,高度(mm),1495,1495,1495,1495,1495,1495,1495,1495
车身,轴距(mm),2790,2790,2790,2790,2790,2820,2820,2820
车身,前轮距(mm),1620,1620,1620,1620,1620,1610,1610,1610
车身,后轮距(mm),1620,1620,1620,1620,1620,1610,1610,1610
车身,接近角(°),13,13,13,13,13,13,13,13
车身,离去角(°),14,14,14,14,14,16,16,16
车身,最小转弯半径(m),5.5,5.5,5.5,5.5,5.5,5.4,5.4,5.4
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),65,65,65,65,65,-,-,-
车身,前备厢容积(L),-,-,-,-,-,65,65,65
车身,后备厢容积(L),-,-,-,-,-,423,423,423
车身,风阻系数(Cd),0.255,0.255,0.255,0.255,0.255,-,-,-
发动机,发动机型号,BYD472QC,BYD472QC,BYD472QC,BYD472QC,BYD472QC,-,-,-
发动机,排量(mL),1498,1498,1498,1498,1498,-,-,-
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,-,-,-
发动机,进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,-,-,-
发动机,发动机布局,横置,横置,横置,横置,横置,-,-,-
发动机,气缸排列形式,L,L,L,L,L,-,-,-
发动机,气缸数(个),4,4,4,4,4,-,-,-
发动机,每缸气门数(个),4,4,4,4,4,-,-,-
发动机,压缩比,16,16,16,16,16,-,-,-
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,-,-,-
发动机,最大马力(Ps),101,101,101,101,101,-,-,-
发动机,最大功率(kW),74,74,74,74,74,-,-,-
发动机,最大功率转速(rpm),-,-,-,-,-,-,-,-
发动机,最大扭矩(N·m),126,126,126,126,126,-,-,-
发动机,最大扭矩转速(rpm),-,-,-,-,-,-,-,-
发动机,最大净功率(kW),70,70,70,70,70,-,-,-
发动机,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,纯电动,纯电动,纯电动
发动机,燃油标号,92号,92号,92号,92号,92号,-,-,-
发动机,供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,-,-,-
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,-,-,-
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,-,-,-
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,-,-,-
电动机,前电动机品牌,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,-,-,-
电动机,后电动机品牌,-,-,-,-,-,比亚迪,比亚迪,比亚迪
电动机,前电动机型号,TZ210XYB,TZ210XYB,TZ210XYC,TZ210XYC,TZ210XYC,-,-,-
电动机,后电动机型号,-,-,-,-,-,TZ180XSR,TZ200XSBE,TZ200XSBE
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),120,120,160,160,160,110,160,160
电动机,电动机总马力(Ps),163,163,218,218,218,150,218,218
电动机,电动机总扭矩(N·m),210,210,260,260,260,220,330,330
电动机,前电动机最大功率(kW),120,120,160,160,160,-,-,-
电动机,前电动机最大扭矩(N·m),210,210,260,260,260,-,-,-
电动机,后电动机最大功率(kW),-,-,-,-,-,110,160,160
电动机,后电动机最大扭矩(N·m),-,-,-,-,-,220,330,330
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,前置,前置,前置,前置,前置,后置,后置,后置
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪
电池/充电,电池特有技术,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池
电池/充电,电池冷却方式,直冷,直冷,直冷,直冷,直冷,直冷,直冷,直冷
电池/充电,WLTC纯电续航里程(km),60,60,90,90,90,-,-,-
电池/充电,CLTC纯电续航里程(km),80,80,120,120,120,470,545,545
电池/充电,电池能量(kWh),10.08,10.08,15.87,15.87,15.87,46.08,56.64,56.64
电池/充电,百公里耗电量(kWh/100km),11.1,11.1,13.6,13.6,13.6,10.8,11.5,11.5
电池/充电,快充功能,-,-,支持,支持,支持,支持,支持,支持
电池/充电,快充功率(kW),-,-,23,23,23,84,103,103
电池/充电,电池快充时间(小时),-,-,0.42,0.42,0.42,0.4,0.4,0.4
电池/充电,电池慢充时间(小时),3.42,3.42,2.5,2.5,2.5,-,-,-
电池/充电,电池快充电量范围(%),-,-,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,电池慢充电量范围(%),15-100,15-100,15-100,15-100,15-100,-,-,-
电池/充电,慢充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,快充接口位置,-,-,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,对外交流放电功率(kW),3.3,3.3,3.3,3.3,3.3,6,6,6
变速箱,简称,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,无级变速,无级变速,无级变速,无级变速,无级变速,1,1,1
变速箱,变速箱类型,电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 后置后驱,● 后置后驱,● 后置后驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 双球节麦弗逊式独立悬架,● 双球节麦弗逊式独立悬架,● 双球节麦弗逊式独立悬架
底盘转向,后悬架类型,● 四连杆式独立悬架,● 四连杆式独立悬架,● 四连杆式独立悬架,● 四连杆式独立悬架,● 四连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 225/60 R16,● 225/55 R17,● 225/55 R17,● 225/55 R17,● 225/50 R18,● 225/55 R17,● 225/55 R17,● 225/50 R18
