セクション,セクション_ja,項目,項目_ja,2026年モデル 4012WD スーパー スポーツ版,2026年モデル 5502WD スーパー スポーツ版,2026年モデル 5502WD サイバー版,2026年モデル V23S 5014WD ピークパフォーマンス版,2026年モデル 5014WD サイバー版,2025年モデル 4012WD アドバンスド版,2025年モデル 4012WD インテリジェントドライブ版
,nan,厂商指导价(元),メーカー希望小売価格(元),"12.28万元（日本円 約2,578,800円）","13.88万元（日本円 約2,914,800円）","15.88万元（日本円 約3,334,800円）","15.48万元（日本円 約3,250,800円）","17.48万元（日本円 約3,670,800円）","10.98万元（日本円 約2,305,800円）","11.98万元（日本円 約2,515,800円）"
,nan,经销商报价,ディーラー販売価格（元）,"12.28万元（日本円 約2,578,800円）","13.88万元（日本円 約2,914,800円）","15.88万元（日本円 約3,334,800円）","15.48万元（日本円 約3,250,800円）","17.48万元（日本円 約3,670,800円）","10.98万元（日本円 約2,305,800円）","11.48万元（日本円 約2,410,800円）"
基本参数,基本仕様,厂商,メーカー,奇瑞新能源,奇瑞新能源,奇瑞新能源,奇瑞新能源,奇瑞新能源,奇瑞新能源,奇瑞新能源
基本参数,基本仕様,级别,クラス,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2025.09,2025.09,2025.09,2025.09,2025.09,2024.12,2025.01
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),401,550,550,501,501,401,401
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.5,0.33,0.33,0.33,0.33,0.5,0.5
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),-,-,-,-,-,10.5,10.5
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電可能範囲(％),30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),185,185,185,335,335,100,100
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),300,300,300,490,490,180,180
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),251,251,251,455,455,136,136
