セクション,項目,银河E5 2026款 530km 启航版,银河E5 2026款 530km 探索版,银河E5 2026款 610km 远航版,银河E5 2026款 610km 探索+版,银河E5 2026款 610km 星舰版,银河E5 2024款 440km 启航版,银河E5 2024款 530km 公务版,银河E5 2024款 440km 探索版,银河E5 2024款 530km 远航版,银河E5 2024款 530km 探索+版,银河E5 2024款 530km 星舰版
,厂商指导价(元),10.98万 计算器,11.98万 计算器,12.58万 计算器,13.58万 计算器,14.58万 计算器,10.78万 计算器,17.98万 计算器,11.78万 计算器,12.38万 计算器,13.38万 计算器,14.38万 计算器
,经销商报价,10.18万起 询底价,11.18万起 询底价,11.78万起 询底价,12.78万起 询底价,13.78万起 询底价,9.28万起 询底价,16.48万起 询底价,10.28万起 询底价,10.88万起 询底价,11.88万起 询底价,12.88万起 询底价
基本参数,厂商,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2025.07,2025.07,2025.07,2025.07,2025.07,2024.08,2025.07,2024.08,2024.08,2024.08,2024.08
基本参数,CLTC纯电续航里程(km),530,530,610,610,610,440,530,440,530,530,530
基本参数,电池快充时间(小时),0.33,0.33,0.33,0.33,0.33,0.33,0.66,0.33,0.33,0.33,0.33
基本参数,电池慢充时间(小时),9,9,11,11,11,7.5,9,7.5,9,9,9
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,电池慢充电量范围(%),10-100,10-100,10-100,10-100,10-100,10-100,10-100,10-100,10-100,10-100,10-100
基本参数,最大功率(kW),160,160,160,160,160,160,160,160,160,160,160
基本参数,最大扭矩(N·m),320,320,320,320,320,320,320,320,320,320,320
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,电动机(Ps),218,218,218,218,218,218,218,218,218,218,218
基本参数,长*宽*高(mm),4615*1901*1670,4615*1901*1670,4615*1901*1670,4615*1901*1670,4615*1901*1670,4615*1901*1670,4615*1901*1670,4615*1901*1670,4615*1901*1670,4615*1901*1670,4615*1901*1670
基本参数,官方0-100km/h加速(s),6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9
基本参数,最高车速(km/h),180,180,180,180,180,180,180,180,180,180,180
基本参数,电能当量燃料消耗量(L/100km),1.4,1.35,1.43,1.43,1.43,1.35,1.37,1.35,1.37,1.37,1.37
基本参数,实测0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,6.91
基本参数,实测100-0km/h制动(m),-,-,-,-,-,-,-,-,-,-,38.41
基本参数,实测平均电耗(kWh/100km),-,-,-,-,-,-,-,-,-,-,14
基本参数,实测续航里程(km),-,-,-,-,-,-,-,-,-,-,469.5
基本参数,实测快充时间(小时),-,-,-,-,-,-,-,-,-,-,0.53
基本参数,实测电池快充电量范围(%),-,-,-,-,-,-,-,-,-,-,30-80
基本参数,整车质保,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 四年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里
基本参数,整备质量(kg),1655,1699,1730,1778,1778,1615,1655,1630,1655,1699,1740
基本参数,最大满载质量(kg),2140,2140,2191,2191,2191,2028,2140,2028,2140,2140,2140
车身,长度(mm),4615,4615,4615,4615,4615,4615,4615,4615,4615,4615,4615
车身,宽度(mm),1901,1901,1901,1901,1901,1901,1901,1901,1901,1901,1901
车身,高度(mm),1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670
车身,轴距(mm),2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750
车身,前轮距(mm),1630,1630,1630,1630,1620,1630,1630,1630,1630,1630,1620
车身,后轮距(mm),1621,1621,1621,1621,1611,1621,1621,1621,1621,1621,1611
车身,接近角(°),16,16,16,16,16,16,16,16,16,16,16
车身,离去角(°),20,20,20,20,20,20,20,20,20,20,20
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,后备厢容积(L),461-1877,461-1877,461-1877,461-1877,461-1877,461-1877,461-1877,461-1877,461-1877,461-1877,461-1877
车身,风阻系数(Cd),0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269
电动机,前电动机品牌,无锡星驱动力,无锡星驱动力,无锡星驱动力,无锡星驱动力,无锡星驱动力,无锡星驱动力,无锡星驱动力,无锡星驱动力,无锡星驱动力,无锡星驱动力,无锡星驱动力
电动机,前电动机型号,TZ184XY101,TZ184XY101,TZ184XY101,TZ184XY101,TZ184XY101,TZ184XY101,TZ184XY101,TZ184XY101,TZ184XY101,TZ184XY101,TZ184XY101
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),160,160,160,160,160,160,160,160,160,160,160
电动机,电动机总马力(Ps),218,218,218,218,218,218,218,218,218,218,218
电动机,电动机总扭矩(N·m),320,320,320,320,320,320,320,320,320,320,320
电动机,前电动机最大功率(kW),160,160,160,160,160,160,160,160,160,160,160
电动机,前电动机最大扭矩(N·m),320,320,320,320,320,320,320,320,320,320,320
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 八年或15万公里（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 蜂巢能源 国轩高科 耀宁新能源,● 蜂巢能源 国轩高科 耀宁新能源,● 蜂巢能源 国轩高科,● 蜂巢能源 国轩高科,● 蜂巢能源 国轩高科,● 蜂巢能源 耀宁新能源,● 蜂巢能源 国轩高科 耀宁新能源,● 蜂巢能源 耀宁新能源,● 蜂巢能源 耀宁新能源,● 蜂巢能源 耀宁新能源,● 蜂巢能源 耀宁新能源
电池/充电,电池特有技术,神盾短刀电池,神盾短刀电池,神盾短刀电池,神盾短刀电池,神盾短刀电池,神盾短刀电池,神盾短刀电池,神盾短刀电池,神盾短刀电池,神盾短刀电池,神盾短刀电池
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,CLTC纯电续航里程(km),530,530,610,610,610,440,530,440,530,530,530
电池/充电,电池能量(kWh),60.22,60.22,68.39,68.39,68.39,49.52,60.22,49.52,60.22,60.22,60.22
电池/充电,百公里耗电量(kWh/100km),12.1,12.1,12.3,12.3,12.3,11.9,12.1,11.9,12.1,12.1,12.1
