セクション,セクション_ja,項目,項目_ja,2026年モデル 530km スタート版,2026年モデル 530km エクスプローラー版,2026年モデル 610km ロングレンジ版,2026年モデル 610km エクスプローラー＋版,2026年モデル 610km スターシップ版,2024年モデル 440km スタート版,2024年モデル 530km ビジネス版,2024年モデル 440km エクスプローラー版,2024年モデル 530km ロングレンジ版,2024年モデル 530km エクスプローラー＋版,2024年モデル 530km スターシップ版
,nan,厂商指导价(元),メーカー希望小売価格(元),"10.98万元（日本円 約2,305,800円）","11.98万元（日本円 約2,515,800円）","12.58万元（日本円 約2,641,800円）","13.58万元（日本円 約2,851,800円）","14.58万元（日本円 約3,061,800円）","10.78万元（日本円 約2,263,800円）","17.98万元（日本円 約3,775,800円）","11.78万元（日本円 約2,473,800円）","12.38万元（日本円 約2,599,800円）","13.38万元（日本円 約2,809,800円）","14.38万元（日本円 約3,019,800円）"
,nan,经销商报价,ディーラー販売価格（元）,"10.18万元（日本円 約2,137,800円）","11.18万元（日本円 約2,347,800円）","11.78万元（日本円 約2,473,800円）","12.78万元（日本円 約2,683,800円）","13.78万元（日本円 約2,893,800円）","9.28万元（日本円 約1,948,800円）","16.48万元（日本円 約3,460,800円）","10.28万元（日本円 約2,158,800円）","10.88万元（日本円 約2,284,800円）","11.88万元（日本円 約2,494,800円）","12.88万元（日本円 約2,704,800円）"
基本参数,基本仕様,厂商,メーカー,ジーリー自動車,ジーリー自動車,ジーリー自動車,ジーリー自動車,ジーリー自動車,ジーリー自動車,ジーリー自動車,ジーリー自動車,ジーリー自動車,ジーリー自動車,ジーリー自動車
基本参数,基本仕様,级别,クラス,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2025.07,2025.07,2025.07,2025.07,2025.07,2024.08,2025.07,2024.08,2024.08,2024.08,2024.08
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),530,530,610,610,610,440,530,440,530,530,530
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.33,0.33,0.33,0.33,0.33,0.33,0.66,0.33,0.33,0.33,0.33
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),9,9,11,11,11,7.5,9,7.5,9,9,9
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,基本仕様,电池慢充电量范围(%),バッテリー普通充電量範囲(%),10-100,10-100,10-100,10-100,10-100,10-100,10-100,10-100,10-100,10-100,10-100
基本参数,基本仕様,最大功率(kW),最大出力(kW),160,160,160,160,160,160,160,160,160,160,160
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),320,320,320,320,320,320,320,320,320,320,320
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),218,218,218,218,218,218,218,218,218,218,218
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4615×1901×1670,4615×1901×1670,4615×1901×1670,4615×1901×1670,4615×1901×1670,4615×1901×1670,4615×1901×1670,4615×1901×1670,4615×1901×1670,4615×1901×1670,4615×1901×1670
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),180,180,180,180,180,180,180,180,180,180,180
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.4,1.35,1.43,1.43,1.43,1.35,1.37,1.35,1.37,1.37,1.37
基本参数,基本仕様,实测0-100km/h加速(s),実測0-100km/h加速時間(s),-,-,-,-,-,-,-,-,-,-,6.91
基本参数,基本仕様,实测100-0km/h制动(m),実測100-0km/h制動距離(m),-,-,-,-,-,-,-,-,-,-,38.41
基本参数,基本仕様,实测平均电耗(kWh/100km),実測平均電費(kWh/100km),-,-,-,-,-,-,-,-,-,-,14
基本参数,基本仕様,实测续航里程(km),実測航続距離(km),-,-,-,-,-,-,-,-,-,-,469.5
基本参数,基本仕様,实测快充时间(小时),実測急速充電時間(時間),-,-,-,-,-,-,-,-,-,-,0.53
基本参数,基本仕様,实测电池快充电量范围(%),実測バッテリー急速充電量範囲(%),-,-,-,-,-,-,-,-,-,-,30-80
基本参数,基本仕様,整车质保,車両保証,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 4年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1655,1699,1730,1778,1778,1615,1655,1630,1655,1699,1740
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2140,2140,2191,2191,2191,2028,2140,2028,2140,2140,2140
车身,車体,长度(mm),全長(mm),4615,4615,4615,4615,4615,4615,4615,4615,4615,4615,4615
车身,車体,宽度(mm),全幅(mm),1901,1901,1901,1901,1901,1901,1901,1901,1901,1901,1901
车身,車体,高度(mm),全高(mm),1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670
车身,車体,轴距(mm),ホイールベース(mm),2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750
车身,車体,前轮距(mm),前トレッド(mm),1630,1630,1630,1630,1620,1630,1630,1630,1630,1630,1620
车身,車体,后轮距(mm),後トレッド(mm),1621,1621,1621,1621,1611,1621,1621,1621,1621,1621,1611
车身,車体,接近角(°),アプローチアングル(°),16,16,16,16,16,16,16,16,16,16,16
车身,車体,离去角(°),デパーチャーアングル(°),20,20,20,20,20,20,20,20,20,20,20
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア
车身,車体,车门数(个),ドア数(枚),● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）
车身,車体,座位数(个),乗車定員(名),● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）
车身,車体,后备厢容积(L),トランク容量(L),461-1877,461-1877,461-1877,461-1877,461-1877,461-1877,461-1877,461-1877,461-1877,461-1877,461-1877
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269
电动机,モーター,前电动机品牌,前モーター ブランド,無錫スター駆動力,無錫スター駆動力,無錫スター駆動力,無錫スター駆動力,無錫スター駆動力,無錫スター駆動力,無錫スター駆動力,無錫スター駆動力,無錫スター駆動力,無錫スター駆動力,無錫スター駆動力
电动机,モーター,前电动机型号,前モーター 型番,TZ184XY101,TZ184XY101,TZ184XY101,TZ184XY101,TZ184XY101,TZ184XY101,TZ184XY101,TZ184XY101,TZ184XY101,TZ184XY101,TZ184XY101
电动机,モーター,电机类型,モーター種類,永久磁石/同期モーター,永久磁石/同期モーター,永久磁石/同期モーター,永久磁石/同期モーター,永久磁石/同期モーター,永久磁石/同期モーター,永久磁石/同期モーター,永久磁石/同期モーター,永久磁石/同期モーター,永久磁石/同期モーター,永久磁石/同期モーター
电动机,モーター,电动机总功率(kW),モーター総出力(kW),160,160,160,160,160,160,160,160,160,160,160
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),218,218,218,218,218,218,218,218,218,218,218
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),320,320,320,320,320,320,320,320,320,320,320
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),160,160,160,160,160,160,160,160,160,160,160
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),320,320,320,320,320,320,320,320,320,320,320
电动机,モーター,驱动电机数,駆動モーター数,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター
电动机,モーター,电机布局,モーター配置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置
电动机,モーター,三电首任车主质保政策,三電初回オーナー保証方針,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 8年または15万km（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● ハニカムエナジー、国軒高科、耀寧新能源,● ハニカムエナジー、国軒高科、耀寧新能源,● ハニカムエナジー、国軒高科,● ハニカムエナジー、国軒高科,● ハニカムエナジー、国軒高科,● ハニカムエナジー、耀寧新能源,● ハニカムエナジー、国軒高科、耀寧新能源,● ハニカムエナジー、耀寧新能源,● ハニカムエナジー、耀寧新能源,● ハニカムエナジー、耀寧新能源,● ハニカムエナジー、耀寧新能源
电池/充电,バッテリー/充電,电池特有技术,バッテリー独自技術,シールドショートブレード電池,シールドショートブレード電池,シールドショートブレード電池,シールドショートブレード電池,シールドショートブレード電池,シールドショートブレード電池,シールドショートブレード電池,シールドショートブレード電池,シールドショートブレード電池,シールドショートブレード電池,シールドショートブレード電池
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷却,液冷却,液冷却,液冷却,液冷却,液冷却,液冷却,液冷却,液冷却,液冷却,液冷却
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),530,530,610,610,610,440,530,440,530,530,530
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),60.22,60.22,68.39,68.39,68.39,49.52,60.22,49.52,60.22,60.22,60.22
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり電力消費量(kWh/100km),12.1,12.1,12.3,12.3,12.3,11.9,12.1,11.9,12.1,12.1,12.1
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.33,0.33,0.33,0.33,0.33,0.33,0.66,0.33,0.33,0.33,0.33
电池/充电,バッテリー/充電,电池慢充时间(小时),バッテリー普通充電時間(時間),9,9,11,11,11,7.5,9,7.5,9,9,9
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
