セクション,項目,阿维塔07 2026款 Elite 增程版,阿维塔07 2026款 Elite 增程版 52.01kWh,阿维塔07 2026款 Max+ 增程版,阿维塔07 2026款 Max+ 增程版 52.01kWh,阿维塔07 2026款 Ultra 增程版,阿维塔07 2026款 Ultra 增程版四驱,阿维塔07 2026款 Elite 纯电版,阿维塔07 2026款 Max+ 纯电版,阿维塔07 2026款 Ultra 纯电版四驱,阿维塔07 2024款 改款 Pro+纯电版,阿维塔07 2024款 Pro+纯电版,阿维塔07 2024款 Max纯电版,阿维塔07 2024款 Max纯电探索版,阿维塔07 2024款 改款 Pro+增程版,阿维塔07 2024款 Pro+增程版,阿维塔07 2024款 Max增程版,阿维塔07 2024款 Max增程版四驱,阿维塔07 2024款 Ultra增程版四驱,阿维塔07 2024款 Max增程探索版,阿维塔07 2024款 Max纯电版四驱,阿维塔07 2024款 Ultra纯电版四驱
,厂商指导价(元),21.99万 计算器,23.99万 计算器,23.99万 计算器,25.99万 计算器,26.99万 计算器,28.99万 计算器,22.99万 计算器,24.99万 计算器,27.99万 计算器,22.99万 计算器,22.99万 计算器,24.99万 计算器,26.99万 计算器,21.99万 计算器,21.99万 计算器,23.99万 计算器,25.99万 计算器,27.99万 计算器,25.99万 计算器,26.99万 计算器,28.99万 计算器
,经销商报价,21.99万起,23.99万起,23.99万起,25.99万起,26.99万起,28.99万起,22.99万起,24.99万起,27.99万起,22.99万起,22.99万起,24.99万起,26.99万起,21.99万起,21.99万起,23.99万起,25.99万起,27.99万起,25.99万起,26.99万起,28.99万起
基本参数,厂商,阿维塔科技,阿维塔科技,阿维塔科技,阿维塔科技,阿维塔科技,阿维塔科技,阿维塔科技,阿维塔科技,阿维塔科技,阿维塔科技,阿维塔科技,阿维塔科技,阿维塔科技,阿维塔科技,阿维塔科技,阿维塔科技,阿维塔科技,阿维塔科技,阿维塔科技,阿维塔科技,阿维塔科技
基本参数,级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
基本参数,能源类型,增程式,增程式,增程式,增程式,增程式,增程式,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,增程式,增程式,增程式,增程式,增程式,增程式,纯电动,纯电动
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,-,-,-,-,-,-,-,国VI,国VI,国VI,国VI,国VI,国VI,-,-
基本参数,上市时间,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.02,2024.09,2025.04,2025.09,2025.02,2024.09,2024.09,2024.09,2025.04,2024.09,2024.09
基本参数,WLTC纯电续航里程(km),195,265,195,265,265,245,-,-,-,-,-,-,-,195,188,188,178,178,188,-,-
基本参数,CLTC纯电续航里程(km),245,333,245,333,333,-,650,650,610,650,650,650,650,245,230,230,220,220,230,610,610
基本参数,电池快充时间(小时),0.25,0.17,0.25,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.25,0.25,0.25,0.25,0.25,0.25,0.17,0.17
基本参数,电池慢充时间(小时),7,9,7,9,9,9,14.2,14.2,14.2,14.2,14.5,14.5,14.5,7,7,7,7,7,7,14.5,14.5
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,电池慢充电量范围(%),0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100
基本参数,最大功率(kW),231,231,231,231,231,362,252,252,440,252,252,252,252,231,231,231,362,362,231,440,440
基本参数,最大扭矩(N·m),333,333,333,333,333,-,365,365,645,365,365,365,365,333,367,367,629,629,367,645,645
基本参数,变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,-,-,-,-,-,-,-,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,-,-
基本参数,电动机(Ps),314,314,314,314,314,492,343,343,598,343,343,343,343,314,314,314,492,492,314,598,598
基本参数,长*宽*高(mm),4825*1980*1605,4825*1980*1605,4825*1980*1605,4825*1980*1605,4825*1980*1605,4825*1980*1605,4825*1980*1620,4825*1980*1610,4825*1980*1610,4825*1980*1620,4825*1980*1620,4825*1980*1620,4825*1980*1635,4825*1980*1620,4825*1980*1620,4825*1980*1620,4825*1980*1620,4825*1980*1610,4825*1980*1635,4825*1980*1620,4825*1980*1610
基本参数,官方0-100km/h加速(s),6.6,7,6.6,7,7,-,6.3,6.3,3.9,6.3,6.3,6.3,6.3,6.6,6.6,6.6,4.9,4.9,6.6,3.9,3.9
基本参数,最高车速(km/h),190,190,190,190,190,190,200,200,200,200,200,200,200,190,190,190,190,190,190,200,200
基本参数,WLTC综合油耗(L/100km),0.67,0.45,0.67,0.45,0.45,0.5,-,-,-,-,-,-,-,0.67,0.66,0.66,0.77,0.77,0.66,-,-
基本参数,最低荷电状态油耗(L/100km)WLTC,6.15,6.26,6.15,6.26,6.26,6.59,-,-,-,-,-,-,-,6.15,6.08,6.08,6.37,6.37,6.08,-,-
基本参数,电能当量燃料消耗量(L/100km),-,-,-,-,-,-,1.68,1.68,1.8,1.68,1.68,1.68,1.68,-,-,-,-,-,-,1.8,1.8
基本参数,油电综合燃料消耗量(L/100km),2.93,2.86,2.93,2.86,2.86,3.03,-,-,-,-,-,-,-,2.93,2.9,2.9,3.09,3.09,2.9,-,-
基本参数,整车质保,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里
基本参数,整备质量(kg),2225,2285,2225,2285,2285,2378,2315,2315,2434,2315,2315,2315,2315,2225,2240,2240,2326,2326,2240,2434,2434
基本参数,最大满载质量(kg),2600,2660,2600,2660,2660,2753,2690,2690,2809,2690,2690,2690,2690,2600,2615,2615,2701,2701,2615,2809,2809
基本参数,准拖挂车总质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,750,-,-,-,-,-,750,-,-
车身,长度(mm),4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825
车身,宽度(mm),1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980
车身,高度(mm),1605,1605,1605,1605,1605,1605,1620,1610,1610,1620,1620,1620,1635,1620,1620,1620,1620,1610,1635,1620,1610
车身,轴距(mm),2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940
车身,前轮距(mm),1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680
车身,后轮距(mm),1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690
车身,接近角(°),17,17,17,17,17,17,17,17,17,17,17,17,18,17,17,17,17,17,18,17,17
车身,离去角(°),21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),45,45,45,45,45,45,-,-,-,-,-,-,-,45,45,45,45,45,45,-,-
车身,前备厢容积(L),-,-,-,-,-,-,90,90,90,90,90,90,90,-,-,-,-,-,-,90,90
车身,后备厢容积(L),500-1325,500-1325,500-1325,500-1325,500-1325,500-1325,500-1325,500-1325,500-1325,500-1325,500-1325,500-1325,500-1325,500-1325,500-1325,500-1325,500-1325,500-1325,500-1325,500-1325,500-1325
车身,风阻系数(Cd),0.259,0.259,0.259,0.259,0.259,0.259,0.259,0.259,0.259,0.259,0.259,0.259,0.259,0.259,0.259,0.259,0.259,0.259,0.259,0.259,0.259
