セクション,セクション_ja,項目,項目_ja,2026年モデル Elite 増程版,2026年モデル Elite 増程版 52.01kWh,2026年モデル Max+ 増程版,2026年モデル Max+ 増程版 52.01kWh,2026年モデル Ultra 増程版,2026年モデル Ultra 増程版 4WD,2026年モデル Elite 純電版,2026年モデル Max+ 純電版,2026年モデル Ultra 純電版 4WD,2024年モデル 改良版 Pro+ 純電版,2024年モデル Pro+ 純電版,2024年モデル Max 純電版,2024年モデル Max 純電探索版,2024年モデル 改良版 Pro+ 増程版,2024年モデル Pro+ 増程版,2024年モデル Max 増程版,2024年モデル Max 増程版 4WD,2024年モデル Ultra 増程版 4WD,2024年モデル Max 増程探索版,2024年モデル Max 純電版 4WD,2024年モデル Ultra 純電版 4WD
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"21.99万元（日本円 約4,617,900円）","23.99万元（日本円 約5,037,900円）","23.99万元（日本円 約5,037,900円）","25.99万元（日本円 約5,457,900円）","26.99万元（日本円 約5,667,900円）","28.99万元（日本円 約6,087,900円）","22.99万元（日本円 約4,827,900円）","24.99万元（日本円 約5,247,900円）","27.99万元（日本円 約5,877,900円）","22.99万元（日本円 約4,827,900円）","22.99万元（日本円 約4,827,900円）","24.99万元（日本円 約5,247,900円）","26.99万元（日本円 約5,667,900円）","21.99万元（日本円 約4,617,900円）","21.99万元（日本円 約4,617,900円）","23.99万元（日本円 約5,037,900円）","25.99万元（日本円 約5,457,900円）","27.99万元（日本円 約5,877,900円）","25.99万元（日本円 約5,457,900円）","26.99万元（日本円 約5,667,900円）","28.99万元（日本円 約6,087,900円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"21.99万元（日本円 約4,617,900円）","23.99万元（日本円 約5,037,900円）","23.99万元（日本円 約5,037,900円）","25.99万元（日本円 約5,457,900円）","26.99万元（日本円 約5,667,900円）","28.99万元（日本円 約6,087,900円）","22.99万元（日本円 約4,827,900円）","24.99万元（日本円 約5,247,900円）","27.99万元（日本円 約5,877,900円）","22.99万元（日本円 約4,827,900円）","22.99万元（日本円 約4,827,900円）","24.99万元（日本円 約5,247,900円）","26.99万元（日本円 約5,667,900円）","21.99万元（日本円 約4,617,900円）","21.99万元（日本円 約4,617,900円）","23.99万元（日本円 約5,037,900円）","25.99万元（日本円 約5,457,900円）","27.99万元（日本円 約5,877,900円）","25.99万元（日本円 約5,457,900円）","26.99万元（日本円 約5,667,900円）","28.99万元（日本円 約6,087,900円）"
基本参数,基本仕様,厂商,メーカー,アヴィータテクノロジー,アヴィータテクノロジー,アヴィータテクノロジー,アヴィータテクノロジー,アヴィータテクノロジー,アヴィータテクノロジー,アヴィータテクノロジー,アヴィータテクノロジー,アヴィータテクノロジー,アヴィータテクノロジー,アヴィータテクノロジー,アヴィータテクノロジー,アヴィータテクノロジー,アヴィータテクノロジー,アヴィータテクノロジー,アヴィータテクノロジー,アヴィータテクノロジー,アヴィータテクノロジー,アヴィータテクノロジー,アヴィータテクノロジー,アヴィータテクノロジー
基本参数,基本仕様,级别,クラス,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV
基本参数,基本仕様,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,純電動,純電動,純電動,純電動,純電動,純電動,純電動,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,純電動,純電動
基本参数,基本仕様,环保标准,環境基準,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,-,-,-,-,-,-,-,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,-,-
基本参数,基本仕様,上市时间,発売時期,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.02,2024.09,2025.04,2025.09,2025.02,2024.09,2024.09,2024.09,2025.04,2024.09,2024.09
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),195,265,195,265,265,245,-,-,-,-,-,-,-,195,188,188,178,178,188,-,-
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),245,333,245,333,333,-,650,650,610,650,650,650,650,245,230,230,220,220,230,610,610
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.25,0.17,0.25,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.25,0.25,0.25,0.25,0.25,0.25,0.17,0.17
