セクション,項目,别克GL8新能源 2026款 陆尊 智享版,别克GL8新能源 2026款 陆尊 尊享版,别克GL8新能源 2026款 陆尊 奢享版,别克GL8新能源 2025款 陆尚 先享版 7座,别克GL8新能源 2025款 陆尚 智享版 7座,别克GL8新能源 2025款 陆尚 尊享版 7座,别克GL8新能源 2024款 陆尊 智享版 7座,别克GL8新能源 2024款 陆尊 尊享版 7座,别克GL8新能源 2024款 陆尊 奢享版 7座,别克GL8新能源 2024款 陆尊 奢享版 6座
,厂商指导价(元),33.99万 计算器,36.99万 计算器,39.99万 计算器,24.99万 计算器,26.99万 计算器,28.99万 计算器,35.99万 计算器,38.99万 计算器,41.99万 计算器,41.99万 计算器
,经销商报价,33.99万起 询底价,36.99万起 询底价,39.99万起 询底价,24.99万起 询底价,26.99万起 询底价,28.99万起 询底价,33.99万起 询底价,36.99万起 询底价,39.99万起 询底价,39.99万起 询底价
基本参数,厂商,上汽通用别克,上汽通用别克,上汽通用别克,上汽通用别克,上汽通用别克,上汽通用别克,上汽通用别克,上汽通用别克,上汽通用别克,上汽通用别克
基本参数,级别,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV
基本参数,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.08,2025.08,2025.08,2025.04,2025.04,2025.04,2024.04,2024.04,2024.04,2024.04
基本参数,WLTC纯电续航里程(km),150,150,150,111,111,111,-,-,-,-
基本参数,CLTC纯电续航里程(km),202,202,202,142,142,142,138,138,138,138
基本参数,最大功率(kW),292,292,292,292,292,292,292,292,292,292
基本参数,最大扭矩(N·m),580,580,580,580,580,580,580,580,580,580
基本参数,变速箱,2挡DHT,2挡DHT,2挡DHT,2挡DHT,2挡DHT,2挡DHT,2挡DHT,2挡DHT,2挡DHT,2挡DHT
基本参数,车身结构,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门6座MPV
基本参数,发动机,1.5T 180马力 L4,1.5T 180马力 L4,1.5T 180马力 L4,1.5T 180马力 L4,1.5T 180马力 L4,1.5T 180马力 L4,1.5T 180马力 L4,1.5T 180马力 L4,1.5T 180马力 L4,1.5T 180马力 L4
基本参数,电动机(Ps),218,218,218,218,218,218,218,218,218,218
基本参数,长*宽*高(mm),5219*1878*1807,5219*1878*1807,5219*1878*1807,5219*1878*1807,5219*1878*1807,5219*1878*1807,5219*1878*1807,5219*1878*1807,5219*1878*1807,5219*1878*1807
基本参数,官方0-100km/h加速(s),7.8,7.8,7.8,7.7,7.7,7.7,7.8,7.8,7.8,7.8
基本参数,最高车速(km/h),180,180,180,180,180,180,180,180,180,180
基本参数,WLTC综合油耗(L/100km),0.93,0.93,0.93,1.25,1.25,1.25,-,-,-,-
基本参数,最低荷电状态油耗(L/100km)WLTC,6.83,6.83,6.83,6.68,6.68,6.68,6.97,6.97,6.97,6.97
基本参数,油电综合燃料消耗量(L/100km),3.29,3.29,3.29,3.6,3.6,3.6,-,-,-,-
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),2345,2400,2400,2250,2250,2290,2345,2390,2390,2390
基本参数,最大满载质量(kg),2930,2980,2980,2825,2825,2860,2930,2980,2980,2980
车身,长度(mm),5219,5219,5219,5219,5219,5219,5219,5219,5219,5219
车身,宽度(mm),1878,1878,1878,1878,1878,1878,1878,1878,1878,1878
车身,高度(mm),1807,1807,1807,1807,1807,1807,1807,1807,1807,1807
车身,轴距(mm),3088,3088,3088,3088,3088,3088,3088,3088,3088,3088
车身,前轮距(mm),1612,1612,1612,1612,1612,1612,1612,1612,1612,1612
车身,后轮距(mm),1626,1626,1626,1626,1626,1626,1626,1626,1626,1626
车身,接近角(°),13,13,13,13,13,13,13,13,13,13
车身,离去角(°),14,14,14,14,14,14,14,14,14,14
车身,车身结构,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身,车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 6
车身,油箱容积(L),73,73,73,73,73,73,73,73,73,73
车身,后备厢容积(L),521-1650,521-1650,521-1650,521-1650,521-1650,521-1650,521-1650,521-1650,521-1650,514-851
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,LAX,LAX,LAX,LAX,LAX,LAX,LAX,LAX,LAX,LAX
发动机,排量(mL),1498,1498,1498,1498,1498,1498,1498,1498,1498,1498
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
