セクション,セクション_ja,項目,項目_ja,2026年モデル 増程 200尊享版 6人乗り,2026年モデル 増程 280レーザーレーダー版 6人乗り,2026年モデル 増程 280レーザーレーダー智尊版 6人乗り,2026年モデル 増程 280レーザーレーダー智尊版 5人乗り,2026年モデル 纯电 580尊享版 6人乗り,2026年モデル 纯电 630レーザーレーダー版 6人乗り,2026年モデル 纯电 630レーザーレーダー智尊版 6人乗り,2026年モデル 纯电 630レーザーレーダー智尊版 5人乗り,2024年モデル 増程 200智享版,2024年モデル 増程 200尊享版,2024年モデル 増程 200レーザーレーダー版,2024年モデル 纯电 520智享版,2024年モデル 纯电 520尊享版,2024年モデル 纯电 520レーザーレーダー版,2024年モデル 纯电 580尊享版,2024年モデル 纯电 580レーザーレーダー版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"15.18万元（日本円 約3,187,800円）","16.18万元（日本円 約3,397,800円）","17.18万元（日本円 約3,607,800円）","16.88万元（日本円 約3,544,800円）","16.18万元（日本円 約3,397,800円）","17.18万元（日本円 約3,607,800円）","18.18万元（日本円 約3,817,800円）","17.88万元（日本円 約3,754,800円）","15.58万元（日本円 約3,271,800円）","16.28万元（日本円 約3,418,800円）","17.98万元（日本円 約3,775,800円）","16.18万元（日本円 約3,397,800円）","16.88万元（日本円 約3,544,800円）","18.58万元（日本円 約3,901,800円）","17.28万元（日本円 約3,628,800円）","18.98万元（日本円 約3,985,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"14.78万元（日本円 約3,103,800円）","15.78万元（日本円 約3,313,800円）","16.78万元（日本円 約3,523,800円）","16.48万元（日本円 約3,460,800円）","15.78万元（日本円 約3,313,800円）","16.78万元（日本円 約3,523,800円）","17.78万元（日本円 約3,733,800円）","17.48万元（日本円 約3,670,800円）","13.88万元（日本円 約2,914,800円）","14.58万元（日本円 約3,061,800円）","16.28万元（日本円 約3,418,800円）","14.48万元（日本円 約3,040,800円）","15.18万元（日本円 約3,187,800円）","16.88万元（日本円 約3,544,800円）","15.58万元（日本円 約3,271,800円）","17.28万元（日本円 約3,628,800円）"
基本参数,基本仕様,厂商,メーカー,Leapmotor（リープモーター）,Leapmotor（リープモーター）,Leapmotor（リープモーター）,Leapmotor（リープモーター）,Leapmotor（リープモーター）,Leapmotor（リープモーター）,Leapmotor（リープモーター）,Leapmotor（リープモーター）,Leapmotor（リープモーター）,Leapmotor（リープモーター）,Leapmotor（リープモーター）,Leapmotor（リープモーター）,Leapmotor（リープモーター）,Leapmotor（リープモーター）,Leapmotor（リープモーター）,Leapmotor（リープモーター）
基本参数,基本仕様,级别,クラス,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
基本参数,基本仕様,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,純電動,純電動,純電動,純電動,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,純電動,純電動,純電動,純電動,純電動
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,-,-,-,-,国6排ガス規制,国6排ガス規制,国6排ガス規制,-,-,-,-,-
基本参数,基本仕様,上市时间,発売時期,2025.06,2025.06,2025.06,-,2025.06,2025.06,2025.06,2025.06,2024.06,2024.06,2024.06,2024.06,2024.06,2024.06,2025.01,2025.01
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),134,182,182,182,-,-,-,-,134,134,134,-,-,-,-,-
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),200,280,280,280,580,630,630,630,200,200,200,520,520,520,580,580
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.5,0.32,0.32,0.32,0.27,0.3,0.3,0.3,0.5,0.5,0.5,0.25,0.25,0.25,0.27,0.27
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),3,3.5,3.5,3.5,7,7.5,7.5,7.5,3,3,3,6,6,6,7,7
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電可能範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,基本仕様,电池慢充电量范围(%),バッテリー普通充電可能範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),170,170,170,170,215,220,220,220,170,170,170,215,215,215,215,215
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),320,320,320,320,360,360,360,360,320,320,320,360,360,360,360,360
基本参数,基本仕様,变速箱,トランスミッション,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機
基本参数,基本仕様,车身结构,ボディ構造,5ドア6人乗りSUV,5ドア6人乗りSUV,5ドア6人乗りSUV,5ドア5人乗りSUV,5ドア6人乗りSUV,5ドア6人乗りSUV,5ドア6人乗りSUV,5ドア5人乗りSUV,5ドア6人乗りSUV,5ドア6人乗りSUV,5ドア6人乗りSUV,5ドア6人乗りSUV,5ドア6人乗りSUV,5ドア6人乗りSUV,5ドア6人乗りSUV,5ドア6人乗りSUV
基本参数,基本仕様,发动机,エンジン,レンジエクステンダー 95馬力,レンジエクステンダー 95馬力,レンジエクステンダー 95馬力,レンジエクステンダー 95馬力,-,-,-,-,1.5L 95馬力 L4（直列4気筒）,1.5L 95馬力 L4（直列4気筒）,1.5L 95馬力 L4（直列4気筒）,-,-,-,-,-
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),231,231,231,231,292,299,299,299,231,231,231,292,292,292,292,292
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4915×1905×1770mm,4915×1905×1770mm,4915×1905×1770mm,4915×1905×1770mm,4915×1905×1770mm,4915×1905×1770mm,4915×1905×1770mm,4915×1905×1770mm,4915×1905×1770mm,4915×1905×1770mm,4915×1905×1770mm,4915×1905×1770mm,4915×1905×1770mm,4915×1905×1770mm,4915×1905×1770mm,4915×1905×1770mm
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),8.46,8.6,8.6,8.6,6.37,6.48,6.48,6.48,8.46,8.46,8.46,6.37,6.37,6.37,6.37,6.37
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),170,170,170,170,190,190,190,190,170,170,170,160,160,160,190,190
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),0.88,0.67,0.67,0.67,-,-,-,-,0.88,0.88,0.88,-,-,-,-,-
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低充電状態燃費(L/100km)WLTC,6.19,6.42,6.42,6.42,-,-,-,-,6.19,6.19,6.19,-,-,-,-,-
基本参数,基本仕様,最低荷电状态油耗(L/100km)CLTC,最低充電状態燃費(L/100km)CLTC,5.4,5.5,5.5,5.5,-,-,-,-,5.4,5.4,5.4,-,-,-,-,-
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),-,-,-,-,1.68,1.7,1.7,1.7,2.09,2.09,2.09,1.67,1.67,1.67,1.68,1.68
基本参数,基本仕様,油电综合燃料消耗量(L/100km),ハイブリッド総合燃料消費量(L/100km),3.03,3.02,3.02,3.02,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,整车质保,車両保証,● 4年または12万km保証,● 4年または12万km保証,● 4年または12万km保証,● 4年または12万km保証,● 4年または12万km保証,● 4年または12万km保証,● 4年または12万km保証,● 4年または12万km保証,● 4年または12万km保証,● 4年または12万km保証,● 4年または12万km保証,● 4年または12万km保証,● 4年または12万km保証,● 4年または12万km保証,● 4年または12万km保証,● 4年または12万km保証
