セクション,項目,马自达EZ-6 2026款 增程130 Air,马自达EZ-6 2026款 增程200 Air,马自达EZ-6 2026款 增程200 Pro,马自达EZ-6 2026款 增程200 Pro运动版,马自达EZ-6 2026款 增程200 Max,马自达EZ-6 2026款 增程200 Max运动版,马自达EZ-6 2026款 纯电480 Air+,马自达EZ-6 2026款 纯电600 Pro,马自达EZ-6 2026款 纯电600 Pro运动版,马自达EZ-6 2026款 纯电600 Max,马自达EZ-6 2026款 纯电600 Max运动版
,厂商指导价(元),11.98万 计算器,13.48万 计算器,14.48万 计算器,14.68万 计算器,15.48万 计算器,15.68万 计算器,13.98万 计算器,15.08万 计算器,15.28万 计算器,16.08万 计算器,16.28万 计算器
,经销商报价,11.98万起,13.48万起,14.48万起,14.68万起,15.48万起,15.68万起,13.98万起,15.08万起,15.28万起,16.08万起,16.28万起
基本参数,厂商,长安马自达,长安马自达,长安马自达,长安马自达,长安马自达,长安马自达,长安马自达,长安马自达,长安马自达,长安马自达,长安马自达
基本参数,级别,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车
基本参数,能源类型,增程式,增程式,增程式,增程式,增程式,增程式,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,-,-,-,-,-
基本参数,上市时间,2025.11,2025.11,2025.11,2025.11,2025.11,2025.11,2025.11,2025.11,2025.11,2025.11,2025.11
基本参数,WLTC纯电续航里程(km),105,160,160,160,160,160,-,-,-,-,-
基本参数,CLTC纯电续航里程(km),130,200,200,200,200,200,480,600,600,600,600
基本参数,电池快充时间(小时),0.33,0.33,0.33,0.33,0.33,0.33,0.25,0.25,0.25,0.25,0.25
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),160,160,160,160,160,160,190,190,190,190,190
基本参数,最大扭矩(N·m),320,320,320,320,320,320,320,320,320,320,320
基本参数,变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
基本参数,车身结构,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车
基本参数,发动机,增程器 95马力,增程器 95马力,增程器 95马力,增程器 95马力,增程器 95马力,增程器 95马力,-,-,-,-,-
基本参数,电动机(Ps),218,218,218,218,218,218,258,258,258,258,258
基本参数,长*宽*高(mm),4921*1890*1485,4921*1890*1485,4921*1890*1485,4921*1890*1485,4921*1890*1485,4921*1890*1485,4921*1890*1485,4921*1890*1485,4921*1890*1485,4921*1890*1485,4921*1890*1485
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),170,170,170,170,170,170,170,170,170,170,170
基本参数,WLTC综合油耗(L/100km),1.30,0.78,0.78,0.78,0.78,0.78,-,-,-,-,-
基本参数,最低荷电状态油耗(L/100km)WLTC,5.55,5.3,5.3,5.3,5.3,5.3,-,-,-,-,-
基本参数,电能当量燃料消耗量(L/100km),-,-,-,-,-,-,1.53,1.56,1.56,1.56,1.56
基本参数,油电综合燃料消耗量(L/100km),3,2.63,2.63,2.63,2.63,2.63,-,-,-,-,-
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1778,1820,1862,1862,1862,1862,1855,1962,1962,1962,1962
基本参数,最大满载质量(kg),2203,2286,2286,2286,2286,2286,2280,2387,2387,2387,2387
车身,长度(mm),4921,4921,4921,4921,4921,4921,4921,4921,4921,4921,4921
车身,宽度(mm),1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890
车身,高度(mm),1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485
车身,轴距(mm),2895,2895,2895,2895,2895,2895,2895,2895,2895,2895,2895
车身,前轮距(mm),1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620
车身,后轮距(mm),1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630
车身,接近角(°),13,13,13,13,13,13,13,13,13,13,13
车身,离去角(°),20,20,20,20,20,20,20,20,20,20,20
车身,车身结构,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),45,45,45,45,45,45,-,-,-,-,-
车身,前备厢容积(L),-,-,-,-,-,-,99,99,99,99,99
车身,后备厢容积(L),479-1174,479-1174,479-1174,479-1174,479-1174,479-1174,578-1273,578-1273,578-1273,578-1273,578-1273
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,JL473QJ,JL473QJ,JL473QJ,JL473QJ,JL473QJ,JL473QJ,-,-,-,-,-
发动机,排量(mL),1480,1480,1480,1480,1480,1480,-,-,-,-,-
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,1.5,-,-,-,-,-
发动机,进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,-,-,-,-,-
发动机,发动机布局,横置,横置,横置,横置,横置,横置,-,-,-,-,-
发动机,气缸排列形式,L,L,L,L,L,L,-,-,-,-,-
发动机,气缸数(个),4,4,4,4,4,4,-,-,-,-,-
发动机,每缸气门数(个),4,4,4,4,4,4,-,-,-,-,-
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,-,-,-,-,-
发动机,最大马力(Ps),95,95,95,95,95,95,-,-,-,-,-
发动机,最大功率(kW),70,70,70,70,70,70,-,-,-,-,-
发动机,最大功率转速(rpm),-,-,-,-,-,-,-,-,-,-,-
发动机,最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-
发动机,最大扭矩转速(rpm),-,-,-,-,-,-,-,-,-,-,-
发动机,最大净功率(kW),66,66,66,66,66,66,-,-,-,-,-
发动机,能源类型,增程式,增程式,增程式,增程式,增程式,增程式,纯电动,纯电动,纯电动,纯电动,纯电动
发动机,燃油标号,92号,92号,92号,92号,92号,92号,-,-,-,-,-
发动机,供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,-,-,-,-,-
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,-,-,-,-,-
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,-,-,-,-,-
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,-,-,-,-,-
电动机,后电动机品牌,-,-,-,-,-,-,长安马自达,长安马自达,长安马自达,长安马自达,长安马自达
电动机,后电动机型号,-,-,-,-,-,-,MSED04,MSED04,MSED04,MSED04,MSED04
