セクション,セクション_ja,項目,項目_ja,2024年モデル 2.0L CVT 2WD 都市版,2024年モデル 2.0L CVT 2WD ファッショナブル版,2024年モデル 2.0L CVT 2WD ファッショナブルPlus版,2024年モデル 2.0L CVT 4WD アドベンチャーPlus版,2024年モデル 2.0L CVT 4WD アドベンチャー旗艦版,2024年モデル ハイブリッド 2.5L E CVT 2WD エリートPlus版,2024年モデル ハイブリッド 2.5L E CVT 4WD エリートPlus版,2026年モデル 2.0L ベーシックタイプ,2026年モデル ハイブリッド 2.5L ベーシックタイプ
,nan,厂商指导价(元),メーカー希望小売価格(元),"16.98万元（日本円 約3,565,800円）","18.98万元（日本円 約3,985,800円）","19.98万元（日本円 約4,195,800円）","20.98万元（日本円 約4,405,800円）","22.98万元（日本円 約4,825,800円）","22.58万元（日本円 約4,741,800円）","23.88万元（日本円 約5,014,800円）",预售 暂无,预售 暂无
,nan,经销商报价,ディーラー販売価格（元）,"12.13万元（日本円 約2,547,300円）","14.13万元（日本円 約2,967,300円）","15.13万元（日本円 約3,177,300円）","16.13万元（日本円 約3,387,300円）","18.13万元（日本円 約3,807,300円）","17.73万元（日本円 約3,723,300円）","19.03万元（日本円 約3,996,300円）",暂无,暂无
基本参数,基本仕様,厂商,メーカー,一汽トヨタ,一汽トヨタ,一汽トヨタ,一汽トヨタ,一汽トヨタ,一汽トヨタ,一汽トヨタ,一汽トヨタ,一汽トヨタ
基本参数,基本仕様,级别,クラス,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ハイブリッド,ハイブリッド,ガソリン,ハイブリッド
基本参数,基本仕様,环保标准,環境基準,国6,国6,国6,国6,国6,国6,国6,国6,国6
基本参数,基本仕様,上市时间,発売時期,2024.09,2024.09,2024.09,2024.09,2024.09,2024.09,2024.09,-,-
基本参数,基本仕様,最大功率(kW),最大出力(kW),126,126,126,126,126,160,163,126,-
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),206,206,206,206,206,-,-,206,-
基本参数,基本仕様,变速箱,トランスミッション,CVT無段変速（擬似10速）,CVT無段変速（擬似10速）,CVT無段変速（擬似10速）,CVT無段変速（擬似10速）,CVT無段変速（擬似10速）,E-CVT無段変速,E-CVT無段変速,CVT無段変速（擬似10速）,E-CVT無段変速
