セクション,項目,汉兰达 2026款 2.5L智能电混双擎两驱精英版 5座,汉兰达 2026款 2.5L智能电混双擎两驱精英版 7座,汉兰达 2026款 2.5L智能电混双擎两驱豪华版 7座,汉兰达 2026款 2.5L智能电混双擎四驱精英版 7座,汉兰达 2026款 2.5L智能电混双擎四驱豪华版 7座,汉兰达 2026款 2.5L智能电混双擎四驱尊贵版 7座,汉兰达 2026款 2.5L智能电混双擎四驱至尊版 7座,汉兰达 2026款 380T 四驱豪华版 7座,汉兰达 2026款 380T 四驱尊贵版 7座,汉兰达 2024款 2.5L智能电混双擎两驱精英版 5座,汉兰达 2024款 2.5L智能电混双擎两驱精英版 7座,汉兰达 2024款 2.5L智能电混双擎两驱豪华版 7座,汉兰达 2024款 2.5L智能电混双擎两驱尊贵版 7座,汉兰达 2024款 2.5L智能电混双擎四驱精英版 7座,汉兰达 2024款 2.5L智能电混双擎四驱豪华版 7座,汉兰达 2024款 2.5L智能电混双擎四驱尊贵版 7座,汉兰达 2024款 2.5L智能电混双擎四驱至尊版 7座,汉兰达 2024款 380T 四驱豪华版 7座,汉兰达 2024款 380T 四驱尊贵版 7座,汉兰达 2024款 380T 四驱至尊型 7座
,厂商指导价(元),24.98万 计算器,25.78万 计算器,28.88万 计算器,26.88万 计算器,29.98万 计算器,30.98万 计算器,32.58万 计算器,28.48万 计算器,29.58万 计算器,24.98万 计算器,25.78万 计算器,28.88万 计算器,29.88万 计算器,26.88万 计算器,29.98万 计算器,30.98万 计算器,32.58万 计算器,28.48万 计算器,29.58万 计算器,31.18万 计算器
,经销商报价,21.38万起 询底价,22.18万起 询底价,25.28万起 询底价,23.28万起 询底价,26.38万起 询底价,27.38万起 询底价,28.98万起 询底价,23.78万起 询底价,25.98万起 询底价,20.28万起 询底价,21.08万起 询底价,24.18万起 询底价,25.18万起 询底价,22.18万起 询底价,25.28万起 询底价,26.28万起 询底价,27.88万起 询底价,23.78万起 询底价,24.88万起 询底价,26.48万起 询底价
基本参数,厂商,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田
基本参数,级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
基本参数,能源类型,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合,汽油,汽油,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2024.05,2024.05,2024.05,2024.05,2024.05,2024.05,2024.05,2024.05,2024.05,2024.05,2024.05
基本参数,最大功率(kW),181,181,181,181,181,181,181,182,182,181,181,181,181,181,181,181,181,182,182,182
基本参数,最大扭矩(N·m),-,-,-,-,-,-,-,380,380,-,-,-,-,-,-,-,-,380,380,380
基本参数,变速箱,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,8挡手自一体,8挡手自一体,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,8挡手自一体,8挡手自一体,8挡手自一体
基本参数,车身结构,5门5座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV
基本参数,发动机,2.5L 189马力 L4,2.5L 189马力 L4,2.5L 189马力 L4,2.5L 189马力 L4,2.5L 189马力 L4,2.5L 189马力 L4,2.5L 189马力 L4,2.0T 248马力 L4,2.0T 248马力 L4,2.5L 189马力 L4,2.5L 189马力 L4,2.5L 189马力 L4,2.5L 189马力 L4,2.5L 189马力 L4,2.5L 189马力 L4,2.5L 189马力 L4,2.5L 189马力 L4,2.0T 248马力 L4,2.0T 248马力 L4,2.0T 248马力 L4
基本参数,电动机(Ps),182,182,182,237,237,237,237,-,-,182,182,182,182,237,237,237,237,-,-,-
