セクション,セクション_ja,項目,項目_ja,2026年モデル 2.5L インテリジェントハイブリッド 双擎 2WD エリート 5人乗り,2026年モデル 2.5L インテリジェントハイブリッド 双擎 2WD エリート 7人乗り,2026年モデル 2.5L インテリジェントハイブリッド 双擎 2WD ラグジュアリー 7人乗り,2026年モデル 2.5L インテリジェントハイブリッド 双擎 4WD エリート 7人乗り,2026年モデル 2.5L インテリジェントハイブリッド 双擎 4WD ラグジュアリー 7人乗り,2026年モデル 2.5L インテリジェントハイブリッド 双擎 4WD プレミアム 7人乗り,2026年モデル 2.5L インテリジェントハイブリッド 双擎 4WD プレステージ 7人乗り,2026年モデル 380T 4WD ラグジュアリー 7人乗り,2026年モデル 380T 4WD プレミアム 7人乗り,2024年モデル 2.5L インテリジェントハイブリッド 双擎 2WD エリート 5人乗り,2024年モデル 2.5L インテリジェントハイブリッド 双擎 2WD エリート 7人乗り,2024年モデル 2.5L インテリジェントハイブリッド 双擎 2WD ラグジュアリー 7人乗り,2024年モデル 2.5L インテリジェントハイブリッド 双擎 2WD プレミアム 7人乗り,2024年モデル 2.5L インテリジェントハイブリッド 双擎 4WD エリート 7人乗り,2024年モデル 2.5L インテリジェントハイブリッド 双擎 4WD ラグジュアリー 7人乗り,2024年モデル 2.5L インテリジェントハイブリッド 双擎 4WD プレミアム 7人乗り,2024年モデル 2.5L インテリジェントハイブリッド 双擎 4WD プレステージ 7人乗り,2024年モデル 380T 4WD ラグジュアリー 7人乗り,2024年モデル 380T 4WD プレミアム 7人乗り,2024年モデル 380T 4WD プレステージ 7人乗り
,nan,厂商指导价(元),メーカー希望小売価格(元),"24.98万元（日本円 約5,245,800円）","25.78万元（日本円 約5,413,800円）","28.88万元（日本円 約6,064,800円）","26.88万元（日本円 約5,644,800円）","29.98万元（日本円 約6,295,800円）","30.98万元（日本円 約6,505,800円）","32.58万元（日本円 約6,841,800円）","28.48万元（日本円 約5,980,800円）","29.58万元（日本円 約6,211,800円）","24.98万元（日本円 約5,245,800円）","25.78万元（日本円 約5,413,800円）","28.88万元（日本円 約6,064,800円）","29.88万元（日本円 約6,274,800円）","26.88万元（日本円 約5,644,800円）","29.98万元（日本円 約6,295,800円）","30.98万元（日本円 約6,505,800円）","32.58万元（日本円 約6,841,800円）","28.48万元（日本円 約5,980,800円）","29.58万元（日本円 約6,211,800円）","31.18万元（日本円 約6,547,800円）"
,nan,经销商报价,ディーラー販売価格（元）,"21.38万元（日本円 約4,489,800円）","22.18万元（日本円 約4,657,800円）","25.28万元（日本円 約5,308,800円）","23.28万元（日本円 約4,888,800円）","26.38万元（日本円 約5,539,800円）","27.38万元（日本円 約5,749,800円）","28.98万元（日本円 約6,085,800円）","23.78万元（日本円 約4,993,800円）","25.98万元（日本円 約5,455,800円）","20.28万元（日本円 約4,258,800円）","21.08万元（日本円 約4,426,800円）","24.18万元（日本円 約5,077,800円）","25.18万元（日本円 約5,287,800円）","22.18万元（日本円 約4,657,800円）","25.28万元（日本円 約5,308,800円）","26.28万元（日本円 約5,518,800円）","27.88万元（日本円 約5,854,800円）","23.78万元（日本円 約4,993,800円）","24.88万元（日本円 約5,224,800円）","26.48万元（日本円 約5,560,800円）"
基本参数,基本仕様,厂商,メーカー,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ
基本参数,基本仕様,级别,クラス,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV
基本参数,基本仕様,能源类型,エネルギータイプ,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ガソリン,ガソリン,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2024.05,2024.05,2024.05,2024.05,2024.05,2024.05,2024.05,2024.05,2024.05,2024.05,2024.05
基本参数,基本仕様,最大功率(kW),最大出力(kW),181,181,181,181,181,181,181,182,182,181,181,181,181,181,181,181,181,182,182,182
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),-,-,-,-,-,-,-,380,380,-,-,-,-,-,-,-,-,380,380,380
基本参数,基本仕様,变速箱,トランスミッション,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,8速AT,8速AT,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,8速AT,8速AT,8速AT
