セクション,項目,铂智3X 2025款 430 Air,铂智3X 2025款 430 Air+,铂智3X 2025款 520 Pro,铂智3X 2025款 520 Pro 激光雷达版,铂智3X 2025款 520 Pro+,铂智3X 2025款 520 Pro+ 激光雷达版,铂智3X 2025款 610 Max
,厂商指导价(元),10.98万 计算器,11.98万 计算器,12.98万 计算器,14.98万 计算器,13.98万 计算器,15.98万 计算器,15.98万 计算器
,经销商报价,10.98万起 询底价,11.98万起 询底价,12.98万起 询底价,14.98万起 询底价,13.98万起 询底价,15.98万起 询底价,15.98万起 询底价
基本参数,厂商,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03
基本参数,CLTC纯电续航里程(km),430,430,520,520,520,520,610
基本参数,电池快充时间(小时),0.4,0.4,0.4,0.4,0.4,0.4,0.4
基本参数,电池慢充时间(小时),10,10,10,10,10,10,12
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,电池慢充电量范围(%),0-100,0-100,0-100,0-100,0-100,0-100,0-100
基本参数,最大功率(kW),150,150,150,150,150,150,165
基本参数,最大扭矩(N·m),200,200,200,200,200,200,210
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,电动机(Ps),204,204,204,204,204,204,224
基本参数,长*宽*高(mm),4600*1850*1660,4600*1850*1660,4600*1850*1660,4600*1875*1645,4600*1850*1645,4600*1875*1645,4600*1850*1645
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-
基本参数,官方0-50km/h加速(s),3.7,4,4,4,4,4,4
基本参数,最高车速(km/h),160,160,160,160,160,160,160
基本参数,电能当量燃料消耗量(L/100km),1.46,1.46,1.45,1.45,1.45,1.45,1.49
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1690,1690,1745,1745,1760,1760,1835
基本参数,最大满载质量(kg),2100,2100,2185,2185,2185,2185,2250
车身,长度(mm),4600,4600,4600,4600,4600,4600,4600
车身,宽度(mm),1850,1850,1850,1875,1850,1875,1850
车身,高度(mm),1660,1660,1660,1645,1645,1645,1645
车身,轴距(mm),2765,2765,2765,2765,2765,2765,2765
车身,前轮距(mm),1600,1600,1600,1600,1600,1600,1600
车身,后轮距(mm),1600,1600,1600,1600,1600,1600,1600
车身,接近角(°),18,18,18,18,18,18,18
车身,离去角(°),25,25,25,25,25,25,25
车身,最小转弯半径(m),5.6,5.6,5.6,5.6,5.6,5.6,5.6
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,后备厢容积(L),-,-,-,-,-,-,-
车身,风阻系数(Cd),0.27,0.27,0.27,0.27,0.27,0.27,0.27
电动机,前电动机品牌,尼得科,尼得科,尼得科,尼得科,尼得科,尼得科,苏州汇川
电动机,前电动机型号,TZ175XSAY501,TZ175XSAY501,TZ175XSAY501,TZ175XSAY501,TZ175XSAY501,TZ175XSAY501,TZ180XS135
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),150,150,150,150,150,150,165
电动机,电动机总马力(Ps),204,204,204,204,204,204,224
电动机,电动机总扭矩(N·m),200,200,200,200,200,200,210
电动机,前电动机最大功率(kW),150,150,150,150,150,150,165
电动机,前电动机最大扭矩(N·m),200,200,200,200,200,200,210
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,前置,前置,前置,前置,前置,前置,前置
电动机,三电系统质保,● 八年或15万公里,● 八年或15万公里,● 八年或15万公里,● 八年或15万公里,● 八年或15万公里,● 八年或15万公里,● 八年或15万公里
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 江苏正力,● 江苏正力,● 中创新航 江苏正力,● 中创新航 江苏正力,● 中创新航 江苏正力,● 中创新航 江苏正力,● 中创新航
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,CLTC纯电续航里程(km),430,430,520,520,520,520,610
电池/充电,电池能量(kWh),50.03,50.03,58.37,58.37,58.37,58.37,67.92
电池/充电,百公里耗电量(kWh/100km),12.6,12.6,12.5,12.5,12.5,12.5,12.8
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持
电池/充电,电池快充时间(小时),0.4,0.4,0.4,0.4,0.4,0.4,0.4
电池/充电,电池慢充时间(小时),10,10,10,10,10,10,12
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,电池慢充电量范围(%),0-100,0-100,0-100,0-100,0-100,0-100,0-100
电池/充电,慢充接口位置,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧
电池/充电,快充接口位置,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧
电池/充电,对外交流放电功率(kW),3.3,3.3,3.3,3.3,3.3,3.3,3.3
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 215/55 R18,● 215/55 R18,215/55 R18 225/45 R19 (3000元),● 215/55 R18,215/55 R18 225/45 R19 (3000元),● 215/55 R18,● 225/45 R19
车轮制动,后轮胎规格,● 215/55 R18,● 215/55 R18,215/55 R18 225/45 R19,● 215/55 R18,215/55 R18 225/45 R19,● 215/55 R18,● 225/45 R19
车轮制动,备胎规格,-,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-
被动安全,前/后排头部气囊(气帘),● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
被动安全,前排中间气囊,-,●,●,●,●,●,●
主动安全,ABS防抱死,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,●,●,●,●,●,●,●
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,-,●,●,●,●,●,●
主动安全,疲劳驾驶提示,-,-,-,-,●,●,●
主动安全,DOW开门预警,-,-,-,●,●,●,●
主动安全,前方碰撞预警,-,●,●,●,●,●,●
主动安全,后方碰撞预警,-,-,-,●,●,●,●
主动安全,低速行车警告,●,●,●,●,●,●,●
主动安全,防侧翻系统,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适
驾驶操控,能量回收系统,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●,●,●
