セクション,項目,丰田bZ5 2025款 550 JOY,丰田bZ5 2025款 550 PRO,丰田bZ5 2025款 550 PRO智行版,丰田bZ5 2025款 630 PRO,丰田bZ5 2025款 630 PRO智行版,丰田bZ5 2025款 630 MAX智行版
,厂商指导价(元),12.98万 计算器,13.98万 计算器,15.98万 计算器,15.98万 计算器,17.98万 计算器,19.98万 计算器
,经销商报价,12.98万起 询底价,13.98万起 询底价,15.98万起 询底价,15.98万起 询底价,17.98万起 询底价,19.98万起 询底价
基本参数,厂商,一汽丰田,一汽丰田,一汽丰田,一汽丰田,一汽丰田,一汽丰田
基本参数,级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2025.06,2025.06,2025.06,2025.06,2025.06,2025.06
基本参数,CLTC纯电续航里程(km),550,550,550,630,630,630
基本参数,电池快充时间(小时),0.45,0.45,0.45,0.48,0.48,0.48
基本参数,电池慢充时间(小时),9.5,9.5,9.5,11.5,11.5,11.5
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80
基本参数,电池慢充电量范围(%),0-100,0-100,0-100,0-100,0-100,0-100
基本参数,最大功率(kW),200,200,200,200,200,200
基本参数,最大扭矩(N·m),330,330,330,330,330,330
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,电动机(Ps),272,272,272,272,272,272
基本参数,长*宽*高(mm),4780*1866*1510,4780*1866*1510,4780*1866*1510,4780*1866*1510,4780*1866*1510,4780*1866*1510
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-
基本参数,官方0-50km/h加速(s),3.4,3.4,3.4,3.4,3.4,3.4
基本参数,最高车速(km/h),160,160,160,160,160,160
基本参数,电能当量燃料消耗量(L/100km),1.57,1.57,1.57,1.56,1.56,1.56
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1950,1950,1950,2010,2010,2010
基本参数,最大满载质量(kg),2365,2365,2365,2425,2425,2425
车身,长度(mm),4780,4780,4780,4780,4780,4780
车身,宽度(mm),1866,1866,1866,1866,1866,1866
车身,高度(mm),1510,1510,1510,1510,1510,1510
车身,轴距(mm),2880,2880,2880,2880,2880,2880
车身,前轮距(mm),1610,1610,1610,1610,1610,1610
车身,后轮距(mm),1608,1608,1608,1608,1608,1608
车身,接近角(°),16,16,16,16,16,16
车身,离去角(°),22,22,22,22,22,22
车身,最小转弯半径(m),5.6,5.6,5.6,5.6,5.6,5.6
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5
车身,后备厢容积(L),463,463,463,463,463,463
车身,风阻系数(Cd),0.24,0.24,0.24,0.24,0.24,0.24
