セクション,セクション_ja,項目,項目_ja,2025年モデル 550 JOY,2025年モデル 550 PRO,2025年モデル 550 PRO 智行版,2025年モデル 630 PRO,2025年モデル 630 PRO 智行版,2025年モデル 630 MAX 智行版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"12.98万元（日本円 約2,725,800円）","13.98万元（日本円 約2,935,800円）","15.98万元（日本円 約3,355,800円）","15.98万元（日本円 約3,355,800円）","17.98万元（日本円 約3,775,800円）","19.98万元（日本円 約4,195,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"12.98万元（日本円 約2,725,800円）","13.98万元（日本円 約2,935,800円）","15.98万元（日本円 約3,355,800円）","15.98万元（日本円 約3,355,800円）","17.98万元（日本円 約3,775,800円）","19.98万元（日本円 約4,195,800円）"
基本参数,基本仕様,厂商,メーカー,一汽トヨタ,一汽トヨタ,一汽トヨタ,一汽トヨタ,一汽トヨタ,一汽トヨタ
基本参数,基本仕様,级别,クラス,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2025.06,2025.06,2025.06,2025.06,2025.06,2025.06
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),550,550,550,630,630,630
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.45,0.45,0.45,0.48,0.48,0.48
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),9.5,9.5,9.5,11.5,11.5,11.5
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80,30-80
基本参数,基本仕様,电池慢充电量范围(%),バッテリー普通充電量範囲(%),0-100,0-100,0-100,0-100,0-100,0-100
基本参数,基本仕様,最大功率(kW),最大出力(kW),200,200,200,200,200,200
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),330,330,330,330,330,330
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),272,272,272,272,272,272
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4780×1866×1510,4780×1866×1510,4780×1866×1510,4780×1866×1510,4780×1866×1510,4780×1866×1510
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-
基本参数,基本仕様,官方0-50km/h加速(s),公式0-50km/h加速時間(s),3.4,3.4,3.4,3.4,3.4,3.4
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),160,160,160,160,160,160
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.57,1.57,1.57,1.56,1.56,1.56
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1950,1950,1950,2010,2010,2010
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2365,2365,2365,2425,2425,2425
车身,車体,长度(mm),全長(mm),4780,4780,4780,4780,4780,4780
车身,車体,宽度(mm),全幅(mm),1866,1866,1866,1866,1866,1866
车身,車体,高度(mm),全高(mm),1510,1510,1510,1510,1510,1510
车身,車体,轴距(mm),ホイールベース(mm),2880,2880,2880,2880,2880,2880
车身,車体,前轮距(mm),前トレッド(mm),1610,1610,1610,1610,1610,1610
车身,車体,后轮距(mm),後トレッド(mm),1608,1608,1608,1608,1608,1608
车身,車体,接近角(°),アプローチアングル(°),16,16,16,16,16,16
车身,車体,离去角(°),デパーチャーアングル(°),22,22,22,22,22,22
车身,車体,最小转弯半径(m),最小回転半径(m),5.6,5.6,5.6,5.6,5.6,5.6
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,后备厢容积(L),トランク容量(L),463,463,463,463,463,463
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),0.24,0.24,0.24,0.24,0.24,0.24
电动机,モーター,前电动机品牌,前モーターブランド,フォーディパワー,フォーディパワー,フォーディパワー,フォーディパワー,フォーディパワー,フォーディパワー
电动机,モーター,前电动机型号,前モーター型式,TZ200XS003,TZ200XS003,TZ200XS003,TZ200XS004,TZ200XS004,TZ200XS004
电动机,モーター,电机类型,モーター種類,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期
电动机,モーター,电动机总功率(kW),モーター総出力(kW),200,200,200,200,200,200
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),272,272,272,272,272,272
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),330,330,330,330,330,330
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),200,200,200,200,200,200
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),330,330,330,330,330,330
电动机,モーター,驱动电机数,駆動モーター数,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター
电动机,モーター,电机布局,モーター配置,フロント配置,フロント配置,フロント配置,フロント配置,フロント配置,フロント配置
