セクション,項目,智界R7 2026款 增程 Max,智界R7 2026款 增程 Max+,智界R7 2026款 增程 Ultra,智界R7 2026款 纯电 Max,智界R7 2026款 纯电 Max+,智界R7 2026款 纯电 UItra,智界R7 2025款 增程 251km Pro,智界R7 2025款 增程 251km Max,智界R7 2025款 增程 360km Max,智界R7 2025款 增程 331km Ultra,智界R7 2024款 纯电 667km Pro,智界R7 2024款 纯电 667km Max,智界R7 2024款 纯电 802km Max,智界R7 2024款 纯电 736km UItra
,厂商指导价(元),24.98万 计算器,26.98万 计算器,30.98万 计算器,24.98万 计算器,26.98万 计算器,30.98万 计算器,24.98万 计算器,28.98万 计算器,29.98万 计算器,31.98万 计算器,25.98万 计算器,29.98万 计算器,31.98万 计算器,33.98万 计算器
,经销商报价,24.98万起,26.98万起,30.98万起,24.98万起,26.98万起,30.98万起,24.98万起,28.98万起,29.98万起,31.98万起,25.98万起,29.98万起,31.98万起,33.98万起
基本参数,厂商,LUXEED 智界,LUXEED 智界,LUXEED 智界,LUXEED 智界,LUXEED 智界,LUXEED 智界,LUXEED 智界,LUXEED 智界,LUXEED 智界,LUXEED 智界,LUXEED 智界,LUXEED 智界,LUXEED 智界,LUXEED 智界
基本参数,级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
基本参数,能源类型,增程式,增程式,增程式,纯电动,纯电动,纯电动,增程式,增程式,增程式,增程式,纯电动,纯电动,纯电动,纯电动
基本参数,环保标准,国VI,国VI,国VI,-,-,-,国VI,国VI,国VI,国VI,-,-,-,-
基本参数,上市时间,2025.08,2025.08,2025.08,2025.08,2025.08,2025.08,2024.12,2024.12,2025.04,2025.04,2024.09,2024.09,2024.09,2024.09
基本参数,WLTC纯电续航里程(km),201,284,258,-,-,-,201,201,284,258,-,-,-,-
基本参数,CLTC纯电续航里程(km),251,360,331,667,802,736,251,251,360,331,667,667,802,736
基本参数,电池快充时间(小时),0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,20-80,20-80,20-80,20-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),227,227,382,215,215,365,227,227,227,382,215,215,215,365
基本参数,最大扭矩(N·m),320,320,550,396,396,673,320,320,320,-,-,-,-,-
基本参数,变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,增程器 156马力,增程器 156马力,增程器 156马力,-,-,-,增程器 156马力,增程器 156马力,增程器 156马力,增程器 156马力,-,-,-,-
基本参数,电动机(Ps),309,309,520,292,292,496,309,309,309,520,292,292,292,496
基本参数,长*宽*高(mm),4982*1981*1650,4982*1981*1650,4982*1981*1634,4982*1981*1650,4982*1981*1650,4982*1981*1634,4956*1981*1634,4956*1981*1634,4956*1981*1634,4956*1981*1634,4956*1981*1634,4956*1981*1634,4956*1981*1634,4956*1981*1634
基本参数,官方0-100km/h加速(s),7.4,7.4,4.9,5.9,5.9,3.9,7.4,7.4,7.4,4.9,5.9,5.9,5.9,3.9
基本参数,官方100-0km/h制动(m),-,-,-,-,-,-,-,-,-,-,-,-,-,34.7
基本参数,最高车速(km/h),200,200,200,200,200,200,200,200,200,200,200,200,200,200
基本参数,WLTC综合油耗(L/100km),0.46,0.24,0.32,-,-,-,0.46,0.46,0.24,0.32,-,-,-,-
基本参数,最低荷电状态油耗(L/100km)WLTC,5.68,5.75,6.15,-,-,-,5.68,5.68,5.75,6.15,-,-,-,-
基本参数,电能当量燃料消耗量(L/100km),-,-,-,1.52,1.53,1.67,-,-,-,-,1.52,1.52,1.53,1.67
基本参数,油电综合燃料消耗量(L/100km),2.61,2.41,2.68,-,-,-,2.61,2.61,2.41,2.68,-,-,-,-
基本参数,整车质保,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里
基本参数,整备质量(kg),2298,2308,2388,2148,2180,2320,2298,2298,2308,2388,2148,2148,2180,2320
基本参数,最大满载质量(kg),2735,2745,2817,2550,2575,2710,2735,2735,2745,2817,2550,2550,2575,2710
车身,长度(mm),4982,4982,4982,4982,4982,4982,4956,4956,4956,4956,4956,4956,4956,4956
车身,宽度(mm),1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981
车身,高度(mm),1650,1650,1634,1650,1650,1634,1634,1634,1634,1634,1634,1634,1634,1634
车身,轴距(mm),2950,2950,2950,2950,2950,2950,2950,2950,2950,2950,2950,2950,2950,2950
车身,前轮距(mm),1692,1692,1692,1692,1692,1692,1692,1692,1692,1692,1692,1692,1692,1692
车身,后轮距(mm),1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695
车身,接近角(°),16,16,15,16,16,16,16,16,16,15,16,16,16,16
车身,离去角(°),18,18,18,18,18,18,18,18,18,18,18,18,18,18
车身,最小转弯半径(m),5.75,5.75,5.75,5.67,5.67,5.67,-,-,-,-,-,-,-,-
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),67,67,67,-,-,-,67,67,67,67,-,-,-,-
车身,前备厢容积(L),-,-,-,52,52,52,-,-,-,-,52,52,52,52
车身,后备厢容积(L),796-2089,796-2089,796-2089,837-2130,837-2130,837-2130,796-2089,796-2089,796-2089,796-2089,837-2130,837-2130,837-2130,837-2130
车身,风阻系数(Cd),0.247,0.247,0.247,0.219,0.219,0.219,0.247,0.247,0.247,0.247,0.219,0.219,0.219,0.219
发动机,发动机型号,SQRH4J15,SQRH4J15,SQRH4J15,-,-,-,SQRH4J15,SQRH4J15,SQRH4J15,SQRH4J15,-,-,-,-
发动机,排量(mL),1499,1499,1499,-,-,-,1499,1499,1499,1499,-,-,-,-
发动机,排量(L),1.5,1.5,1.5,-,-,-,1.5,1.5,1.5,1.5,-,-,-,-
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,-,-,-,涡轮增压,涡轮增压,涡轮增压,涡轮增压,-,-,-,-
发动机,发动机布局,横置,横置,横置,-,-,-,-,-,-,-,-,-,-,-
发动机,气缸排列形式,L,L,L,-,-,-,L,L,L,L,-,-,-,-
发动机,气缸数(个),4,4,4,-,-,-,4,4,4,4,-,-,-,-
发动机,每缸气门数(个),4,4,4,-,-,-,4,4,4,4,-,-,-,-
发动机,配气机构,DOHC,DOHC,DOHC,-,-,-,DOHC,DOHC,DOHC,DOHC,-,-,-,-
发动机,最大马力(Ps),156,156,156,-,-,-,156,156,156,156,-,-,-,-
发动机,最大功率(kW),115,115,115,-,-,-,115,115,115,115,-,-,-,-
发动机,最大功率转速(rpm),5200,5200,5200,-,-,-,-,-,-,-,-,-,-,-
发动机,最大扭矩(N·m),220,220,220,-,-,-,220,220,220,220,-,-,-,-
发动机,最大扭矩转速(rpm),2500,2500,2500,-,-,-,-,-,-,-,-,-,-,-
发动机,最大净功率(kW),105,105,105,-,-,-,105,105,105,105,-,-,-,-
发动机,能源类型,增程式,增程式,增程式,纯电动,纯电动,纯电动,增程式,增程式,增程式,增程式,纯电动,纯电动,纯电动,纯电动
发动机,燃油标号,92号,92号,92号,-,-,-,92号,92号,92号,92号,-,-,-,-
发动机,供油方式,直喷,直喷,直喷,-,-,-,直喷,直喷,直喷,直喷,-,-,-,-
发动机,缸盖材料,铝合金,铝合金,铝合金,-,-,-,铝合金,铝合金,铝合金,铝合金,-,-,-,-
发动机,缸体材料,铝合金,铝合金,铝合金,-,-,-,铝合金,铝合金,铝合金,铝合金,-,-,-,-
发动机,环保标准,国VI,国VI,国VI,-,-,-,国VI,国VI,国VI,国VI,-,-,-,-
电动机,前电动机品牌,-,-,华为DriveONE,-,-,华为DriveONE,-,-,-,华为数字,-,-,-,华为数字
电动机,后电动机品牌,华为DriveONE,华为DriveONE,华为DriveONE,华为DriveONE,华为DriveONE,华为DriveONE,华为数字,华为数字,华为数字,华为数字,华为数字,华为数字,华为数字,华为数字
电动机,前电动机型号,-,-,YS210XYA52,-,-,YS210XYA01,-,-,-,YS210XYA52,-,-,-,YS210XYA01
电动机,后电动机型号,TZ210XYAP4,TZ210XYAP4,TZ210XYAP4,TZ210XYA02,TZ210XYA02,TZ210XYA02,TZ210XYAP4,TZ210XYAP4,TZ210XYAP4,TZ210XYAP4,TZ210XYA02,TZ210XYA02,TZ210XYA02,TZ210XYA02
电动机,电机类型,永磁/同步,永磁/同步,前感应/异步 后永磁/同步,永磁/同步,永磁/同步,前感应/异步 后永磁/同步,永磁/同步,永磁/同步,永磁/同步,前感应/异步 后永磁/同步,永磁/同步,永磁/同步,永磁/同步,前感应/异步 后永磁/同步
电动机,电动机总功率(kW),227,227,382,215,215,365,227,227,227,382,215,215,215,365
电动机,电动机总马力(Ps),309,309,520,292,292,496,309,309,309,520,292,292,292,496
电动机,电动机总扭矩(N·m),320,320,550,396,396,673,320,320,320,-,-,-,-,-
电动机,前电动机最大功率(kW),-,-,155,-,-,150,-,-,-,155,-,-,-,150
电动机,前电动机最大扭矩(N·m),-,-,230,-,-,277,-,-,-,-,-,-,-,-
电动机,后电动机最大功率(kW),227,227,227,215,215,215,227,227,227,227,215,215,215,215
电动机,后电动机最大扭矩(N·m),320,320,320,396,396,396,320,320,320,320,-,-,-,-
电动机,驱动电机数,单电机,单电机,双电机,单电机,单电机,双电机,单电机,单电机,单电机,双电机,单电机,单电机,单电机,双电机
电动机,电机布局,后置,后置,前置+后置,后置,后置,前置+后置,后置,后置,后置,前置+后置,后置,后置,后置,前置+后置
电动机,三电系统质保,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里
电池/充电,电池类型,● 磷酸铁锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂+磷酸铁锂电池,● 三元锂电池,● 三元锂电池
电池/充电,电芯品牌,● 宁德时代(四川时代),● 宁德时代(四川时代),● 宁德时代(四川时代),● 中创新航,● 宁德时代(江苏时代),● 宁德时代(江苏时代),● 宁德时代(四川时代),● 宁德时代(四川时代),● 宁德时代(四川时代),● 宁德时代(四川时代),● 中创新航,● 宁德时代(江苏时代),● 宁德时代(江苏时代),● 宁德时代(江苏时代)
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,WLTC纯电续航里程(km),201,284,258,-,-,-,201,201,284,258,-,-,-,-
电池/充电,CLTC纯电续航里程(km),251,360,331,667,802,736,251,251,360,331,667,667,802,736
电池/充电,WLTC综合续航(km),1380,1445,1345,-,-,-,1380,1380,1445,1345,-,-,-,-
电池/充电,CLTC综合续航(km),1570,1673,1551,-,-,-,1570,1570,1673,1551,-,-,-,-
电池/充电,电池能量(kWh),37,53.4,53.4,82,100,100,37,37,53.4,53.4,82,82,100,100
电池/充电,百公里耗电量(kWh/100km),18.5,18.7,20.3,13.1,13.2,14.4,18.5,18.5,18.7,20.3,13.1,13.1,13.2,14.4
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
电池/充电,高压快充,-,-,-,支持,支持,支持,-,-,-,-,支持,支持,支持,支持
电池/充电,高压平台（V）,400,400,400,800,800,800,400,400,400,400,800,800,800,800
电池/充电,电池快充时间(小时),0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,20-80,20-80,20-80,20-80,30-80,30-80,30-80,30-80
电池/充电,慢充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,快充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,对外交流放电功率(kW),6,6,6,6,6,6,6,6,6,6,6,6,6,6
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1,1,1,1,1,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 后置后驱,● 后置后驱,● 双电机四驱,● 后置后驱,● 后置后驱,● 双电机四驱,● 后置后驱,● 后置后驱,● 后置后驱,● 双电机四驱,● 后置后驱,● 后置后驱,● 后置后驱,● 双电机四驱
底盘转向,四驱形式,-,-,● 电动四驱,-,-,● 电动四驱,-,-,-,● 电动四驱,-,-,-,● 电动四驱
底盘转向,前悬架类型,● 双叉臂独立悬架,● 双叉臂独立悬架,● 双叉臂独立悬架,● 双叉臂独立悬架,● 双叉臂独立悬架,● 双叉臂独立悬架,● 双叉臂独立悬架,● 双叉臂独立悬架,● 双叉臂独立悬架,● 双叉臂独立悬架,● 双叉臂独立悬架,● 双叉臂独立悬架,● 双叉臂独立悬架,● 双叉臂独立悬架
底盘转向,后悬架类型,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架
