セクション,セクション_ja,項目,項目_ja,2026年モデル 増程 Max,2026年モデル 増程 Max+,2026年モデル 増程 Ultra,2026年モデル 純電 Max,2026年モデル 純電 Max+,2026年モデル 純電 Ultra,2025年モデル 増程 251km Pro,2025年モデル 増程 251km Max,2025年モデル 増程 360km Max,2025年モデル 増程 331km Ultra,2024年モデル 純電 667km Pro,2024年モデル 純電 667km Max,2024年モデル 純電 802km Max,2024年モデル 純電 736km Ultra
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"24.98万元（日本円 約5,245,800円）","26.98万元（日本円 約5,665,800円）","30.98万元（日本円 約6,505,800円）","24.98万元（日本円 約5,245,800円）","26.98万元（日本円 約5,665,800円）","30.98万元（日本円 約6,505,800円）","24.98万元（日本円 約5,245,800円）","28.98万元（日本円 約6,085,800円）","29.98万元（日本円 約6,295,800円）","31.98万元（日本円 約6,715,800円）","25.98万元（日本円 約5,455,800円）","29.98万元（日本円 約6,295,800円）","31.98万元（日本円 約6,715,800円）","33.98万元（日本円 約7,135,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"24.98万元（日本円 約5,245,800円）","26.98万元（日本円 約5,665,800円）","30.98万元（日本円 約6,505,800円）","24.98万元（日本円 約5,245,800円）","26.98万元（日本円 約5,665,800円）","30.98万元（日本円 約6,505,800円）","24.98万元（日本円 約5,245,800円）","28.98万元（日本円 約6,085,800円）","29.98万元（日本円 約6,295,800円）","31.98万元（日本円 約6,715,800円）","25.98万元（日本円 約5,455,800円）","29.98万元（日本円 約6,295,800円）","31.98万元（日本円 約6,715,800円）","33.98万元（日本円 約7,135,800円）"
基本参数,基本仕様,厂商,メーカー,LUXEED 智界,LUXEED 智界,LUXEED 智界,LUXEED 智界,LUXEED 智界,LUXEED 智界,LUXEED 智界,LUXEED 智界,LUXEED 智界,LUXEED 智界,LUXEED 智界,LUXEED 智界,LUXEED 智界,LUXEED 智界
基本参数,基本仕様,级别,クラス,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
基本参数,基本仕様,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,純電動,純電動,純電動,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,純電動,純電動,純電動,純電動
基本参数,基本仕様,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,-,-,-,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,-,-,-,-
基本参数,基本仕様,上市时间,発売時期,2025.08,2025.08,2025.08,2025.08,2025.08,2025.08,2024.12,2024.12,2025.04,2025.04,2024.09,2024.09,2024.09,2024.09
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),201,284,258,-,-,-,201,201,284,258,-,-,-,-
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),251,360,331,667,802,736,251,251,360,331,667,667,802,736
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,20-80,20-80,20-80,20-80,30-80,30-80,30-80,30-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),227,227,382,215,215,365,227,227,227,382,215,215,215,365
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),320,320,550,396,396,673,320,320,320,-,-,-,-,-
