セクション,項目,深蓝S05 2026款 215Max增程版,深蓝S05 2026款 520Lite纯电版,深蓝S05 2026款 520Plus纯电版,深蓝S05 2026款 520Max纯电版,深蓝S05 2026款 520Ultra纯电版,深蓝S05 2026款 620Plus纯电版,深蓝S05 2026款 620Max纯电版,深蓝S05 2026款 620Ultra纯电版,深蓝S05 2024款 200Max增程远航版,深蓝S05 2024款 200Ultra增程远航版,深蓝S05 2024款 510Plus纯电版,深蓝S05 2024款 510Max纯电版,深蓝S05 2024款 510Ultra纯电版
,厂商指导价(元),12.99万 计算器,11.69万 计算器,11.99万 计算器,12.99万 计算器,13.99万 计算器,12.99万 计算器,13.99万 计算器,14.99万 计算器,13.59万 计算器,14.59万 计算器,12.59万 计算器,13.59万 计算器,14.59万 计算器
,经销商报价,12.79万起 询底价,11.29万起 询底价,11.59万起 询底价,12.59万起 询底价,13.59万起 询底价,12.59万起 询底价,13.59万起 询底价,14.59万起 询底价,12.59万起 询底价,13.59万起 询底价,11.59万起 询底价,12.59万起 询底价,13.59万起 询底价
基本参数,厂商,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,增程式,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,增程式,增程式,纯电动,纯电动,纯电动
基本参数,环保标准,国VI,-,-,-,-,-,-,-,国VI,国VI,-,-,-
基本参数,上市时间,2025.09,2025.10,2025.08,2025.08,2025.08,2025.08,2025.08,2025.08,2024.10,2024.10,2024.10,2024.10,2024.10
基本参数,WLTC纯电续航里程(km),165,-,-,-,-,-,-,-,155,155,-,-,-
基本参数,CLTC纯电续航里程(km),215,520,520,520,520,620,620,620,200,200,510,510,510
基本参数,电池快充时间(小时),0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.33,0.33,0.25,0.25,0.25
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),175,200,200,200,200,200,200,200,160,160,175,175,175
基本参数,最大扭矩(N·m),-,-,-,-,-,-,-,-,320,320,320,320,320
基本参数,变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,1.5L 98马力 L4,-,-,-,-,-,-,-,1.5L 98马力 L4,1.5L 98马力 L4,-,-,-
基本参数,电动机(Ps),238,272,272,272,272,272,272,272,218,218,238,238,238
基本参数,长*宽*高(mm),4620*1900*1600,4620*1900*1600,4620*1900*1600,4620*1900*1600,4620*1900*1600,4620*1900*1600,4620*1900*1600,4620*1900*1600,4620*1900*1600,4620*1900*1600,4620*1900*1600,4620*1900*1600,4620*1900*1600
基本参数,官方0-100km/h加速(s),7.5,6.28,6.28,6.28,6.28,6.48,6.48,6.48,7.9,7.9,7.3,7.3,7.3
基本参数,最高车速(km/h),180,185,185,185,185,185,185,185,175,175,180,180,180
基本参数,WLTC综合油耗(L/100km),0.70,-,-,-,-,-,-,-,0.81,0.81,-,-,-
基本参数,最低荷电状态油耗(L/100km)WLTC,4.81,-,-,-,-,-,-,-,5.05,5.05,-,-,-
基本参数,最低荷电状态油耗(L/100km)NEDC,3.9,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,最低荷电状态油耗(L/100km)CLTC,-,-,-,-,-,-,-,-,4.35,4.35,-,-,-
基本参数,电能当量燃料消耗量(L/100km),-,1.43,1.43,1.43,1.43,1.47,1.47,1.47,-,-,1.45,1.45,1.45
基本参数,油电综合燃料消耗量(L/100km),2.56,-,-,-,-,-,-,-,2.74,2.74,-,-,-
基本参数,整车质保,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里
基本参数,整备质量(kg),1830,1770,1770,1770,1770,1856,1856,1856,1835,1835,1770,1770,1770
基本参数,最大满载质量(kg),2240,2150,2150,2150,2150,2250,2250,2250,2210,2210,2150,2150,2150
车身,长度(mm),4620,4620,4620,4620,4620,4620,4620,4620,4620,4620,4620,4620,4620
车身,宽度(mm),1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
车身,高度(mm),1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
车身,轴距(mm),2880,2880,2880,2880,2880,2880,2880,2880,2880,2880,2880,2880,2880
车身,前轮距(mm),1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625
车身,后轮距(mm),1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640
车身,接近角(°),18,18,18,18,18,18,18,18,18,18,18,18,18
车身,离去角(°),24,24,24,24,24,24,24,24,24,24,24,24,24
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),45,-,-,-,-,-,-,-,45,45,-,-,-
车身,前备厢容积(L),-,159,159,159,159,159,159,159,-,-,159,159,159
车身,后备厢容积(L),464,492,492,492,492,492,492,492,464,464,492,492,492
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,JL469Q1,-,-,-,-,-,-,-,JL469Q1,JL469Q1,-,-,-
发动机,排量(mL),1497,-,-,-,-,-,-,-,1497,1497,-,-,-
发动机,排量(L),1.5,-,-,-,-,-,-,-,1.5,1.5,-,-,-
发动机,进气形式,自然吸气,-,-,-,-,-,-,-,自然吸气,自然吸气,-,-,-
发动机,发动机布局,横置,-,-,-,-,-,-,-,横置,横置,-,-,-
发动机,气缸排列形式,L,-,-,-,-,-,-,-,L,L,-,-,-
发动机,气缸数(个),4,-,-,-,-,-,-,-,4,4,-,-,-
发动机,每缸气门数(个),4,-,-,-,-,-,-,-,4,4,-,-,-
发动机,配气机构,DOHC,-,-,-,-,-,-,-,DOHC,DOHC,-,-,-
发动机,最大马力(Ps),98,-,-,-,-,-,-,-,98,98,-,-,-
发动机,最大功率(kW),72,-,-,-,-,-,-,-,72,72,-,-,-
发动机,最大功率转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,最大扭矩转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,最大净功率(kW),70,-,-,-,-,-,-,-,70,70,-,-,-
发动机,能源类型,增程式,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,增程式,增程式,纯电动,纯电动,纯电动
发动机,燃油标号,92号,-,-,-,-,-,-,-,92号,92号,-,-,-
发动机,供油方式,多点电喷,-,-,-,-,-,-,-,多点电喷,多点电喷,-,-,-
发动机,缸盖材料,铝合金,-,-,-,-,-,-,-,铝合金,铝合金,-,-,-
