セクション,セクション_ja,項目,項目_ja,2026年モデル 215Max 増程版,2026年モデル 520Lite 純電動版,2026年モデル 520Plus 純電動版,2026年モデル 520Max 純電動版,2026年モデル 520Ultra 純電動版,2026年モデル 620Plus 純電動版,2026年モデル 620Max 純電動版,2026年モデル 620Ultra 純電動版,2024年モデル 200Max 増程遠航版,2024年モデル 200Ultra 増程遠航版,2024年モデル 510Plus 純電動版,2024年モデル 510Max 純電動版,2024年モデル 510Ultra 純電動版
,nan,厂商指导价(元),メーカー希望小売価格(元),"12.99万元（日本円 約2,727,900円）","11.69万元（日本円 約2,454,900円）","11.99万元（日本円 約2,517,900円）","12.99万元（日本円 約2,727,900円）","13.99万元（日本円 約2,937,900円）","12.99万元（日本円 約2,727,900円）","13.99万元（日本円 約2,937,900円）","14.99万元（日本円 約3,147,900円）","13.59万元（日本円 約2,853,900円）","14.59万元（日本円 約3,063,900円）","12.59万元（日本円 約2,643,900円）","13.59万元（日本円 約2,853,900円）","14.59万元（日本円 約3,063,900円）"
,nan,经销商报价,ディーラー販売価格（元）,"12.79万元（日本円 約2,685,900円）","11.29万元（日本円 約2,370,900円）","11.59万元（日本円 約2,433,900円）","12.59万元（日本円 約2,643,900円）","13.59万元（日本円 約2,853,900円）","12.59万元（日本円 約2,643,900円）","13.59万元（日本円 約2,853,900円）","14.59万元（日本円 約3,063,900円）","12.59万元（日本円 約2,643,900円）","13.59万元（日本円 約2,853,900円）","11.59万元（日本円 約2,433,900円）","12.59万元（日本円 約2,643,900円）","13.59万元（日本円 約2,853,900円）"
基本参数,基本仕様,厂商,メーカー,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車
基本参数,基本仕様,级别,クラス,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV
基本参数,基本仕様,能源类型,エネルギータイプ,レンジエクステンダー式,純電動,純電動,純電動,純電動,純電動,純電動,純電動,レンジエクステンダー式,レンジエクステンダー式,純電動,純電動,純電動
基本参数,基本仕様,环保标准,環境基準,国VI排ガス基準,-,-,-,-,-,-,-,国VI排ガス基準,国VI排ガス基準,-,-,-
基本参数,基本仕様,上市时间,発売時期,2025.09,2025.10,2025.08,2025.08,2025.08,2025.08,2025.08,2025.08,2024.10,2024.10,2024.10,2024.10,2024.10
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),165,-,-,-,-,-,-,-,155,155,-,-,-
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),215,520,520,520,520,620,620,620,200,200,510,510,510
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.33,0.33,0.25,0.25,0.25
