セクション,項目,小米YU7 2025款 超长续航后驱版,小米YU7 2025款 超长续航四驱Pro版,小米YU7 2025款 超长续航高性能四驱Max版
,厂商指导价(元),25.35万 计算器,27.99万 计算器,32.99万 计算器
,经销商报价,暂无报价 询底价,暂无报价 询底价,暂无报价 询底价
基本参数,厂商,小米汽车,小米汽车,小米汽车
基本参数,级别,中大型SUV,中大型SUV,中大型SUV
基本参数,能源类型,纯电动,纯电动,纯电动
基本参数,上市时间,2025.06,2025.06,2025.06
基本参数,CLTC纯电续航里程(km),835,770,760
基本参数,电池快充时间(小时),0.35,0.35,0.2
基本参数,电池快充电量范围(%),10-80,10-80,10-80
基本参数,最大功率(kW),235,365,508
基本参数,最大扭矩(N·m),528,690,866
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,电动机(Ps),320,496,690
基本参数,长*宽*高(mm),4999*1996*1608,4999*1996*1600,4999*1996*1600
基本参数,官方0-100km/h加速(s),5.88,4.27,3.23
基本参数,官方100-0km/h制动(m),-,-,33.9
基本参数,最高车速(km/h),240,240,253
基本参数,电能当量燃料消耗量(L/100km),1.54,1.67,1.72
基本参数,整车质保,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里
基本参数,整备质量(kg),2315,2425,2405
基本参数,最大满载质量(kg),2765,2875,2855
车身,长度(mm),4999,4999,4999
车身,宽度(mm),1996,1996,1996
车身,高度(mm),1608,1600,1600
车身,轴距(mm),3000,3000,3000
车身,前轮距(mm),1694,1694,1694
车身,后轮距(mm),1700,1700,1700
车身,接近角(°),17,16,16
车身,离去角(°),19,19,19
车身,车身结构,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5
车身,前备厢容积(L),141,141,141
车身,后备厢容积(L),678-1758,678-1758,678-1758
车身,风阻系数(Cd),0.245,0.245,0.245
电动机,前电动机品牌,-,苏州汇川,苏州汇川
电动机,后电动机品牌,苏州汇川,联合汽车,苏州汇川
电动机,前电动机型号,-,YS190XY106,YS210XY103
电动机,后电动机型号,TZ220XY110,TZ220XYMX1,TZ220XY109
电动机,电机类型,永磁/同步,前感应/异步 后永磁/同步,前感应/异步 后永磁/同步
电动机,电动机总功率(kW),235,365,508
电动机,电动机总马力(Ps),320,496,690
电动机,电动机总扭矩(N·m),528,690,866
电动机,前电动机最大功率(kW),-,130,220
电动机,前电动机最大扭矩(N·m),-,185,338
电动机,后电动机最大功率(kW),235,235,288
电动机,后电动机最大扭矩(N·m),528,505,528
电动机,驱动电机数,单电机,双电机,双电机
电动机,电机布局,后置,前置+后置,前置+后置
电动机,三电系统质保,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 三元锂电池
电池/充电,电芯品牌,● 宁德时代 弗迪,● 宁德时代 弗迪,● 宁德时代(江苏时代)
电池/充电,电池特有技术,刀片电池/神行电池,刀片电池/神行电池,麒麟电池
电池/充电,电池冷却方式,液冷,液冷,液冷
电池/充电,CLTC纯电续航里程(km),835,770,760
电池/充电,电池能量(kWh),96.3,96.3,101.7
电池/充电,百公里耗电量(kWh/100km),13.3,14.4,14.8
电池/充电,快充功能,支持,支持,支持
电池/充电,高压快充,支持,支持,支持
电池/充电,高压平台（V）,800,800,800
电池/充电,电池快充时间(小时),0.35,0.35,0.2
电池/充电,电池快充电量范围(%),10-80,10-80,10-80
电池/充电,慢充接口位置,车左后侧,车左后侧,车左后侧
电池/充电,快充接口位置,车左后侧,车左后侧,车左后侧
电池/充电,对外交流放电功率(kW),6.6,6.6,6.6
电池/充电,对外直流放电功率(kW),6.6,6.6,6.6
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 后置后驱,● 双电机四驱,● 双电机四驱
底盘转向,四驱形式,-,● 电动四驱,● 电动四驱
底盘转向,前悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架
