セクション,セクション_ja,項目,項目_ja,2025年モデル 超長距離後輪駆動版,2025年モデル 超長距離4WD Pro版,2025年モデル 超長距離高性能4WD Max版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"25.35万元（日本円 約5,323,500円）","27.99万元（日本円 約5,877,900円）","32.99万元（日本円 約6,927,900円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,暂无,暂无,暂无
基本参数,基本仕様,厂商,メーカー,Xiaomi自動車,Xiaomi自動車,Xiaomi自動車
基本参数,基本仕様,级别,クラス,中大型SUV,中大型SUV,中大型SUV
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2025.06,2025.06,2025.06
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),835,770,760
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.35,0.35,0.2
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電範囲(%),10-80,10-80,10-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),235,365,508
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),528,690,866
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),320,496,690
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4999×1996×1608mm,4999×1996×1600mm,4999×1996×1600mm
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),5.88,4.27,3.23
基本参数,基本仕様,官方100-0km/h制动(m),公式0-100km/h制動距離(m),-,-,33.9
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),240,240,253
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.54,1.67,1.72
基本参数,基本仕様,整车质保,車両保証,● 5年または10万km保証,● 5年または10万km保証,● 5年または10万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),2315,2425,2405
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2765,2875,2855
车身,車体,长度(mm),全長(mm),4999,4999,4999
车身,車体,宽度(mm),全幅(mm),1996,1996,1996
车身,車体,高度(mm),全高(mm),1608,1600,1600
车身,車体,轴距(mm),ホイールベース(mm),3000,3000,3000
车身,車体,前轮距(mm),前トレッド(mm),1694,1694,1694
车身,車体,后轮距(mm),後トレッド(mm),1700,1700,1700
车身,車体,接近角(°),アプローチアングル(°),17,16,16
车身,車体,离去角(°),デパーチャーアングル(°),19,19,19
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開きドア,開きドア,開きドア
车身,車体,车门数(个),ドア数(枚),● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,座位数(个),乗車定員(名),● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,前备厢容积(L),フロントトランク容量(L),141,141,141
车身,車体,后备厢容积(L),リアトランク容量(L),678-1758,678-1758,678-1758
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),0.245,0.245,0.245
电动机,モーター,前电动机品牌,前モーターブランド,-,蘇州インバーター,蘇州インバーター
电动机,モーター,后电动机品牌,後モーターブランド,蘇州インバーター,ユナイテッドオートモーティブ,蘇州インバーター
电动机,モーター,前电动机型号,前モーター型式,-,YS190XY106,YS210XY103
电动机,モーター,后电动机型号,後モーター型式,TZ220XY110,TZ220XYMX1,TZ220XY109
电动机,モーター,电机类型,モーター種類,永久磁石同期モーター,前誘導/非同期、後永久磁石同期モーター,前誘導/非同期、後永久磁石同期モーター
电动机,モーター,电动机总功率(kW),モーター総出力(kW),235,365,508
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),320,496,690
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),528,690,866
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),-,130,220
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),-,185,338
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),235,235,288
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),528,505,528
电动机,モーター,驱动电机数,駆動モーター数,単一モーター,デュアルモーター,デュアルモーター
电动机,モーター,电机布局,モーター配置,後置,前後配置,前後配置
电动机,モーター,三电系统质保,三電システム保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● 三元系リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,"● CATL
● Fudi","● CATL
● Fudi",● CATL（江蘇CATL）
电池/充电,バッテリー/充電,电池特有技术,バッテリー独自技術,ブレードバッテリー／シェンシンバッテリー,ブレードバッテリー／シェンシンバッテリー,麒麟バッテリー
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),835,770,760
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),96.3,96.3,101.7
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり消費電力(kWh/100km),13.3,14.4,14.8
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応
电池/充电,バッテリー/充電,高压快充,高圧急速充電,対応,対応,対応
电池/充电,バッテリー/充電,高压平台（V）,高圧プラットフォーム（V）,800,800,800
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.35,0.35,0.2
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電範囲(%),10-80,10-80,10-80
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクター位置,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクター位置,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),6.6,6.6,6.6
电池/充电,バッテリー/充電,对外直流放电功率(kW),外部直流放電出力(kW),6.6,6.6,6.6
变速箱,トランスミッション,简称,略称,電動車用単速トランスミッション,電動車用単速トランスミッション,電動車用単速トランスミッション
变速箱,トランスミッション,挡位个数,段数,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比トランスミッション,固定ギア比トランスミッション,固定ギア比トランスミッション
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 後置後輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,● 電動四輪駆動,● 電動四輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,"● 245/55 R19
○ 245/45 R21（12,000元）
○ 245/50 R20（6,000元）","● 245/55 R19
○ 245/45 R21（12,000元）
○ 245/50 R20（6,000元）","● 245/55 R19
○ 245/45 R21（12,000元）
○ 245/50 R20（6,000元）"
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,"● 245/55 R19
○ 245/50 R20
○ 275/40 R21","● 245/55 R19
○ 245/50 R20
○ 275/40 R21","● 245/55 R19
○ 245/50 R20
○ 275/40 R21"
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● なし,● なし,● なし
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前 ● / 後なし,前 ● / 後なし,前 ● / 後なし
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●
被动安全,衝突安全,前排中间气囊,フロントセンターエアバッグ,●,●,●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車,● 全車,● 全車
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,●,●
主动安全,アクティブセーフティ,哨兵模式/千里眼,セントリーモード/千里眼機能,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準／快適
● 雪道","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道"
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,● サスペンション硬さ調整,"● サスペンション硬さ調整
● サスペンション高さ調整","● サスペンション硬さ調整
● サスペンション高さ調整"
驾驶操控,ドライビングコントロール,空气悬架,エアサスペンション,-,●,●
驾驶操控,ドライビングコントロール,魔毯智能悬架,マジックカーペットインテリジェントサスペンション,●,●,●
驾驶操控,ドライビングコントロール,可变转向比,可変ステアレシオ,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,"● 360度全方位カメラ
● 車側死角カメラ","● 360度全方位カメラ
● 車側死角カメラ","● 360度全方位カメラ
● 車側死角カメラ"
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●
驾驶硬件,運転ハードウェア,辅助驾驶芯片,運転支援チップ,● NVIDIA Drive AGX Thor,● NVIDIA Drive AGX Thor,● NVIDIA Drive AGX Thor
驾驶硬件,運転ハードウェア,芯片总算力,チップ総演算能力,● 700 TOPS,● 700 TOPS,● 700 TOPS
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ台数,● 11個,● 11個,● 11個
驾驶硬件,運転ハードウェア,前方感知摄像头像素,前方検知カメラ画素数,● 800万,● 800万,● 800万
驾驶硬件,運転ハードウェア,环境感知摄像头像素,環境検知カメラ画素数,● 300万,● 300万,● 300万
驾驶硬件,運転ハードウェア,环视摄像头像素,全周囲カメラ画素数,● 300万,● 300万,● 300万
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ台数,● 1個,● 1個,● 1個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー台数,● 12個,● 12個,● 12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー台数,● 1個,● 1個,● 1個
