セクション,セクション_ja,項目,項目_ja,2025年モデル スポーツシリーズ 260TURBO 快適版,2025年モデル スポーツシリーズ 260TURBO 豪華版,2025年モデル スポーツシリーズ 260TURBO 上級版,2025年モデル 260TURBO フラッグシップ版
,nan,厂商指导价(元),メーカー希望小売価格(元),"17.98万元（日本円 約3,775,800円）","19.78万元（日本円 約4,153,800円）","21.48万元（日本円 約4,510,800円）","23.88万元（日本円 約5,014,800円）"
,nan,经销商报价,ディーラー販売価格（元）,"11.18万元（日本円 約2,347,800円）","12.98万元（日本円 約2,725,800円）","14.68万元（日本円 約3,082,800円）","17.08万元（日本円 約3,586,800円）"
基本参数,基本仕様,厂商,メーカー,広汽ホンダ,広汽ホンダ,広汽ホンダ,広汽ホンダ
基本参数,基本仕様,级别,クラス,ミドルクラス車,ミドルクラス車,ミドルクラス車,ミドルクラス車
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2025.03,2025.03,2025.03,2024.09
基本参数,基本仕様,最大功率(kW),最大出力(kW),141,141,141,141
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),260,260,260,260
基本参数,基本仕様,变速箱,トランスミッション,CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン
基本参数,基本仕様,发动机,エンジン,1.5T 192馬力 L4,1.5T 192馬力 L4,1.5T 192馬力 L4,1.5T 192馬力 L4
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4990×1862×1449,4990×1862×1449,4990×1862×1449,4980×1862×1449
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),186,186,186,186
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),6.60,6.60,6.71,6.80
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1497,1515,1552,1571
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2030,2030,2030,2030
车身,車体,长度(mm),全長(mm),4990,4990,4990,4980
车身,車体,宽度(mm),全幅(mm),1862,1862,1862,1862
车身,車体,高度(mm),全高(mm),1449,1449,1449,1449
车身,車体,轴距(mm),ホイールベース(mm),2830,2830,2830,2830
车身,車体,前轮距(mm),前トレッド(mm),1600,1600,1591,1591
车身,車体,后轮距(mm),後トレッド(mm),1620,1620,1613,1613
车身,車体,接近角(°),アプローチアングル(°),14,14,14,14
车身,車体,离去角(°),デパーチャーアングル(°),18,18,18,18
车身,車体,最小转弯半径(m),最小回転半径(m),5.7,5.7,5.7,5.7
车身,車体,车身结构,ボディ構造,セダン,セダン,セダン,セダン
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 4,● 4,● 4,● 4
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5
车身,車体,油箱容积(L),燃料タンク容量(L),56,56,56,56
车身,車体,后备厢容积(L),トランク容量(L),575,575,575,575
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,L15CH/L15CJ,L15CH/L15CJ,L15CH/L15CJ,L15CH/L15CJ
发动机,エンジン,排量(mL),排気量(mL),1498,1498,1498,1498
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,1.5
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,横置エンジン,横置エンジン,横置エンジン,横置エンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4
发动机,エンジン,压缩比,圧縮比,10.6,10.6,10.6,10.6
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),192,192,192,192
发动机,エンジン,最大功率(kW),最大出力(kW),141,141,141,141
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),6000,6000,6000,6000
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),260,260,260,260
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),1700-5000,1700-5000,1700-5000,1700-5000
发动机,エンジン,最大净功率(kW),最大出力(kW),141,141,141,141
发动机,エンジン,发动机特有技术,エンジン独自技術,VTEC,VTEC,VTEC,VTEC
发动机,エンジン,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
变速箱,トランスミッション,简称,略称,CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速
变速箱,トランスミッション,挡位个数,段数,無段変速,無段変速,無段変速,無段変速
变速箱,トランスミッション,变速箱类型,トランスミッション形式,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 225/50 R17,● 225/50 R17,● 235/45 R18,● 235/40 R19
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 225/50 R17,● 225/50 R17,● 235/45 R18,● 235/40 R19
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない
车轮制动,ホイール・ブレーキ,备胎放置方式,スペアタイヤ設置方法,● トランク内,● トランク内,● トランク内,● トランク内
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席
