セクション,項目,星愿 2026款 310km 青春版,星愿 2026款 310km 梦想版,星愿 2026款 410km 自在版,星愿 2026款 410km 自由版,星愿 2026款 410km 探索版,星愿 2026款 STAR 限定版,星愿 2025款 310km 青春版,星愿 2025款 310km 梦想版,星愿 2025款 410km 自由版,星愿 2025款 UP 410km 探索版,星愿 2025款 UP 410km 探索+版
,厂商指导价(元),6.88万 计算器,7.68万 计算器,7.68万 计算器,8.18万 计算器,8.78万 计算器,9.88万 计算器,6.88万 计算器,7.68万 计算器,8.18万 计算器,8.78万 计算器,9.78万 计算器
,经销商报价,6.58万起 询底价,7.38万起 询底价,7.38万起 询底价,7.88万起 询底价,8.48万起 询底价,9.58万起 询底价,6.58万起 询底价,7.38万起 询底价,7.88万起 询底价,8.48万起 询底价,9.48万起 询底价
基本参数,厂商,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车
基本参数,级别,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2025.10,2025.10,2025.10,2025.10,2025.10,2025.10,2024.10,2024.10,2024.10,2024.10,2024.10
基本参数,CLTC纯电续航里程(km),310,310,410,410,410,401,310,310,410,410,410
基本参数,电池快充时间(小时),0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),58,58,85,85,85,85,58,58,85,85,85
基本参数,最大扭矩(N·m),130,130,150,150,150,150,130,130,150,150,150
基本参数,车身结构,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车
基本参数,电动机(Ps),79,79,116,116,116,116,79,79,116,116,116
基本参数,长*宽*高(mm),4135*1805*1570,4135*1805*1570,4135*1805*1570,4135*1805*1570,4135*1805*1570,4155*1805*1570,4135*1805*1570,4135*1805*1570,4135*1805*1570,4135*1805*1570,4135*1805*1570
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-
基本参数,官方0-50km/h加速(s),-,-,3.9,3.9,3.9,3.9,-,-,-,-,-
基本参数,最高车速(km/h),125,125,135,135,135,135,125,125,135,135,135
基本参数,电能当量燃料消耗量(L/100km),1.24,1.24,1.24,1.24,1.24,-,1.27,1.27,1.24,1.24,1.24
基本参数,整车质保,-,-,-,-,-,-,-,-,-,-,-
基本参数,首任车主质保政策,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里
基本参数,整备质量(kg),1215,1215,1285,1285,1285,-,1215,1215,1285,1285,1285
基本参数,最大满载质量(kg),1590,1590,1660,1660,1660,-,1590,1590,1660,1660,1660
车身,长度(mm),4135,4135,4135,4135,4135,4155,4135,4135,4135,4135,4135
车身,宽度(mm),1805,1805,1805,1805,1805,1805,1805,1805,1805,1805,1805
车身,高度(mm),1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570
车身,轴距(mm),2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650
车身,前轮距(mm),1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555
车身,后轮距(mm),1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575
车身,接近角(°),19,19,19,19,19,19,19,19,19,19,19
车身,离去角(°),19,19,19,19,19,19,19,19,19,19,19
车身,最小转弯半径(m),4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95
车身,车身结构,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,前备厢容积(L),70,70,70,70,70,70,70,70,70,70,70
车身,后备厢容积(L),375-1320,375-1320,375-1320,375-1320,375-1320,375-1320,375-1320,375-1320,375-1320,375-1320,375-1320
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-
电动机,后电动机品牌,格雷博智能动力,格雷博智能动力,格雷博智能动力,格雷博智能动力,格雷博智能动力,格雷博智能动力,格雷博智能动力,格雷博智能动力,格雷博智能动力,格雷博智能动力,格雷博智能动力
电动机,后电动机型号,TZ160XS001,TZ160XS001,TZ160XS002,TZ160XS002,TZ160XS002,TZ160XS002,TZ160XS001,TZ160XS001,TZ160XS002,TZ160XS002,TZ160XS002
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),58,58,85,85,85,85,58,58,85,85,85
电动机,电动机总马力(Ps),79,79,116,116,116,116,79,79,116,116,116
电动机,电动机总扭矩(N·m),130,130,150,150,150,150,130,130,150,150,150
电动机,后电动机最大功率(kW),58,58,85,85,85,85,58,58,85,85,85
电动机,后电动机最大扭矩(N·m),130,130,150,150,150,150,130,130,150,150,150
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代
电池/充电,电池特有技术,神盾电池,神盾电池,神盾电池,神盾电池,神盾电池,神盾电池,-,-,-,-,-
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,CLTC纯电续航里程(km),310,310,410,410,410,401,310,310,410,410,410
电池/充电,电池能量(kWh),30.12,30.12,40.16,40.16,40.16,40.16,30.12,30.12,40.16,40.16,40.16
电池/充电,百公里耗电量(kWh/100km),10.7,10.7,10.7,10.7,10.7,-,10.9,10.9,10.7,10.7,10.7
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
电池/充电,电池快充时间(小时),0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,慢充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,快充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,对外交流放电功率(kW),3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1,1,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 205/60 R16,205/65 R15 205/60 R16 (1000元),● 205/60 R16,205/65 R15 205/60 R16 (1000元),● 205/60 R16,● 205/60 R16
车轮制动,后轮胎规格,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 205/60 R16,205/65 R15 205/60 R16,● 205/60 R16,205/65 R15 205/60 R16,● 205/60 R16,● 205/60 R16
车轮制动,备胎规格,-,-,-,-,-,-,-,-,-,-,-
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-
