セクション,セクション_ja,項目,項目_ja,2026年モデル 310km ヤングエディション,2026年モデル 310km ドリームエディション,2026年モデル 410km フリースタイルエディション,2026年モデル 410km フリーエディション,2026年モデル 410km エクスプローラーエディション,2026年モデル STAR 限定版,2025年モデル 310km ヤングエディション,2025年モデル 310km ドリームエディション,2025年モデル 410km フリーエディション,2025年モデル UP 410km エクスプローラーエディション,2025年モデル UP 410km エクスプローラー+エディション
,nan,厂商指导价(元),メーカー希望小売価格(円),"6.88万元（日本円1,444,800円）","7.68万元（日本円1,612,800円）","7.68万元（日本円1,612,800円）","8.18万元（日本円1,717,800円）","8.78万元（日本円1,843,800円）","9.88万元（日本円2,074,800円）","6.88万元（日本円1,444,800円）","7.68万元（日本円1,612,800円）","8.18万元（日本円1,717,800円）","8.78万元（日本円1,843,800円）","9.78万元（日本円2,053,800円）"
,nan,经销商报价,ディーラー販売価格（元）,6.58万元,7.38万元,7.38万元,7.88万元,8.48万元,9.58万元,6.58万元,7.38万元,7.88万元,8.48万元,9.48万元
基本参数,基本パラメータ,厂商,メーカー,ジーリー自動車,ジーリー自動車,ジーリー自動車,ジーリー自動車,ジーリー自動車,ジーリー自動車,ジーリー自動車,ジーリー自動車,ジーリー自動車,ジーリー自動車,ジーリー自動車
基本参数,基本パラメータ,级别,クラス,小型車,小型車,小型車,小型車,小型車,小型車,小型車,小型車,小型車,小型車,小型車
基本参数,基本パラメータ,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動
基本参数,基本パラメータ,上市时间,発売時期,2025.10,2025.10,2025.10,2025.10,2025.10,2025.10,2024.10,2024.10,2024.10,2024.10,2024.10
基本参数,基本パラメータ,CLTC纯电续航里程(km),CLTC純電動航続距離(km),310,310,410,410,410,401,310,310,410,410,410
基本参数,基本パラメータ,电池快充时间(小时),バッテリー急速充電時間(時間),0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
基本参数,基本パラメータ,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,基本パラメータ,最大功率(kW),最大出力(kW),58,58,85,85,85,85,58,58,85,85,85
基本参数,基本パラメータ,最大扭矩(N·m),最大トルク(N·m),130,130,150,150,150,150,130,130,150,150,150
