セクション,項目,银河星舰7 2025款 55km 启航版,银河星舰7 2025款 55km 探索版,银河星舰7 2025款 120km 启航+版,银河星舰7 2025款 120km 探索+版,银河星舰7 2025款 120km 领航版,银河星舰7 2026款 纯电 基本型,银河星舰7 2026款 甲醇插电式混合动力
,厂商指导价(元),9.78万 计算器,10.78万 计算器,11.08万 计算器,12.08万 计算器,13.08万 计算器,预售 暂无报价 计算器,预售 暂无报价 计算器
,经销商报价,8.78万起 询底价,9.78万起 询底价,10.08万起 询底价,11.08万起 询底价,12.08万起 询底价,暂无报价 询底价,暂无报价 询底价
基本参数,厂商,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,纯电动,插电式混合动力
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,-,-
基本参数,上市时间,2024.12,2024.12,2024.12,2024.12,2024.12,-,-
基本参数,WLTC纯电续航里程(km),45,45,101,101,101,-,-
基本参数,CLTC纯电续航里程(km),55,55,120,120,120,-,-
基本参数,电池快充时间(小时),-,-,0.33,0.33,0.33,-,-
基本参数,电池快充电量范围(%),-,-,30-80,30-80,30-80,-,-
基本参数,最大功率(kW),-,-,-,-,-,160,-
基本参数,最大扭矩(N·m),-,-,-,-,-,-,-
基本参数,变速箱,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,电动车单速变速箱,-
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4,纯电动,-
基本参数,电动机(Ps),218,218,218,218,218,218,-
基本参数,长*宽*高(mm),4740*1905*1685,4740*1905*1685,4740*1905*1685,4740*1905*1685,4740*1905*1685,4750 *1905 *1680,4740*1905*1675
基本参数,官方0-100km/h加速(s),7.5,7.5,7.5,7.5,7.5,-,-
基本参数,最高车速(km/h),180,180,180,180,180,175,180
基本参数,WLTC综合油耗(L/100km),2.1,2.1,0.99,0.99,0.99,-,-
基本参数,最低荷电状态油耗(L/100km)CLTC,3.75,3.75,3.75,3.75,3.75,-,-
