セクション,項目,零跑B10 2025款 510舒享版,零跑B10 2025款 510悦享版,零跑B10 2025款 510激光雷达版,零跑B10 2025款 600悦享版,零跑B10 2025款 600激光雷达版,零跑B10 2025款 510行政版
,厂商指导价(元),9.98万 计算器,10.98万 计算器,11.98万 计算器,11.98万 计算器,12.98万 计算器,14.98万 计算器
,经销商报价,9.58万起 询底价,10.58万起 询底价,11.58万起 询底价,11.58万起 询底价,12.58万起 询底价,14.58万起 询底价
基本参数,厂商,零跑汽车,零跑汽车,零跑汽车,零跑汽车,零跑汽车,零跑汽车
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2025.04,2025.04,2025.04,2025.04,2025.04,2025.06
基本参数,CLTC纯电续航里程(km),510,510,510,600,600,510
基本参数,电池快充时间(小时),0.32,0.32,0.32,0.33,0.33,0.32
基本参数,电池慢充时间(小时),4.2,4.2,4.2,5.6,5.6,4.2
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80
基本参数,电池慢充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),132,160,160,160,160,132
基本参数,最大扭矩(N·m),175,240,240,240,240,175
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,电动机(Ps),180,218,218,218,218,180
基本参数,长*宽*高(mm),4515*1885*1655,4515*1885*1655,4515*1885*1655,4515*1885*1655,4515*1885*1655,4515*1885*1655
基本参数,官方0-100km/h加速(s),9.3,6.8,6.8,6.8,6.8,9.3
基本参数,最高车速(km/h),160,170,170,170,170,160
基本参数,电能当量燃料消耗量(L/100km),1.43,1.43,1.43,1.44,1.44,1.43
基本参数,整车质保,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,-
基本参数,首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,-
基本参数,整备质量(kg),1670,1705,1705,1756,1756,1670
基本参数,最大满载质量(kg),2045,2080,2080,2131,2131,2045
车身,长度(mm),4515,4515,4515,4515,4515,4515
车身,宽度(mm),1885,1885,1885,1885,1885,1885
车身,高度(mm),1655,1655,1655,1655,1655,1655
车身,轴距(mm),2735,2735,2735,2735,2735,2735
车身,前轮距(mm),1615,1615,1615,1615,1615,1615
车身,后轮距(mm),1605,1605,1605,1605,1605,1605
车身,空载最小离地间隙(mm),170,170,170,170,170,170
车身,接近角(°),19,19,19,19,19,19
车身,离去角(°),24,24,24,24,24,24
车身,最小转弯半径(m),5.25,5.25,5.25,5.25,5.25,5.25
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5
车身,后备厢容积(L),420-1415,420-1415,420-1415,420-1415,420-1415,420-1415
车身,风阻系数(Cd),-,-,-,-,-,-
电动机,后电动机型号,TZ180XS101,TZ180XY005,TZ180XY005,TZ180XY005,TZ180XY005,TZ180XS101
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),132,160,160,160,160,132
电动机,电动机总马力(Ps),180,218,218,218,218,180
电动机,电动机总扭矩(N·m),175,240,240,240,240,175
电动机,后电动机最大功率(kW),132,160,160,160,160,132
电动机,后电动机最大扭矩(N·m),175,240,240,240,240,175
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,后置,后置,后置,后置,后置,后置
电动机,三电系统质保,● 八年或15万公里,● 八年或15万公里,● 八年或15万公里,● 八年或15万公里,● 八年或15万公里,-
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,-
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 欣旺达 正力新能,● 欣旺达 正力新能,● 欣旺达 正力新能,● 国轩高科 中航锂电,● 中创新航 国轩高科,● 欣旺达 正力新能
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,CLTC纯电续航里程(km),510,510,510,600,600,510
电池/充电,电池能量(kWh),56.2,56.2,56.2,67.1,67.1,56.2
电池/充电,百公里耗电量(kWh/100km),12.3,12.3,12.3,12.4,12.4,12.3
电池/充电,快充功能,支持,支持,支持,支持,支持,支持
电池/充电,电池快充时间(小时),0.32,0.32,0.32,0.33,0.33,0.32
电池/充电,电池慢充时间(小时),4.2,4.2,4.2,5.6,5.6,4.2
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,电池慢充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,慢充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,快充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 225/50 R18,● 225/50 R18,● 225/50 R18,● 225/50 R18,● 225/50 R18,● 225/50 R18
车轮制动,后轮胎规格,● 235/50 R18,● 235/50 R18,● 235/50 R18,● 235/50 R18,● 235/50 R18,● 235/50 R18
车轮制动,备胎规格,-,-,-,-,-,-
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-
被动安全,前/后排头部气囊(气帘),-,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,-
主动安全,ABS防抱死,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●
主动安全,疲劳驾驶提示,-,-,-,-,-,-
主动安全,DOW开门预警,-,-,●,-,●,-
主动安全,前方碰撞预警,●,●,●,●,●,●
主动安全,后方碰撞预警,-,-,●,-,●,-
主动安全,哨兵模式/千里眼,-,-,●,-,●,-
主动安全,低速行车警告,●,●,●,●,●,●
主动安全,内置行车记录仪,●,●,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●,●,●
主动安全,防侧翻系统,●,●,●,●,●,●
驾驶操控,驾驶模式切换,● 运动 标准/舒适,● 运动 标准/舒适,● 运动 标准/舒适,● 运动 标准/舒适,● 运动 标准/舒适,● 运动 标准/舒适
驾驶操控,能量回收系统,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像 车侧盲区影像,● 360度全景影像,● 360度全景影像 车侧盲区影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,●,●,●,●,●,●
驾驶硬件,辅助驾驶芯片,-,-,● 高通骁龙8650,-,● 高通骁龙8650,-
驾驶硬件,前方感知摄像头,● 单目,● 单目,● 双目,● 单目,● 双目,● 单目
驾驶硬件,摄像头数量,● 5个,● 5个,● 11个,● 5个,● 11个,● 5个
