セクション,項目,奥迪E5 Sportback 2026款 先锋型,奥迪E5 Sportback 2026款 先锋quattro型,奥迪E5 Sportback 2026款 先锋Plus型,奥迪E5 Sportback 2026款 旗舰quattro型
,厂商指导价(元),23.59万 计算器,26.99万 计算器,26.99万 计算器,31.99万 计算器
,经销商报价,23.59万起,26.99万起,26.99万起,31.99万起
基本参数,厂商,上汽奥迪,上汽奥迪,上汽奥迪,上汽奥迪
基本参数,级别,中型车,中型车,中型车,中型车
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2025.09,2025.09,2025.09,2025.09
基本参数,CLTC纯电续航里程(km),618,623,773,647
基本参数,电池快充时间(小时),0.22,0.58,0.28,0.28
基本参数,电池快充电量范围(%),10-80,10-80,10-80,10-80
基本参数,最大功率(kW),220,386,300,579
基本参数,最大扭矩(N·m),420,725,500,800
基本参数,车身结构,5门5座旅行车,5门5座旅行车,5门5座旅行车,5门5座旅行车
基本参数,电动机(Ps),299,525,408,787
基本参数,长*宽*高(mm),4881*1960*1479,4881*1960*1479,4881*1960*1479,4881*1960*1479
基本参数,官方0-100km/h加速(s),6.1,3.9,5,3.4
基本参数,最高车速(km/h),205,205,205,230
基本参数,电能当量燃料消耗量(L/100km),1.63,1.76,1.64,1.95
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),2225,2234,2240,2343
基本参数,最大满载质量(kg),2661,2670,2676,2779
车身,长度(mm),4881,4881,4881,4881
车身,宽度(mm),1960,1960,1960,1960
车身,高度(mm),1479,1479,1479,1479
车身,轴距(mm),2950,2950,2950,2950
车身,前轮距(mm),1681,1681,1681,1677
车身,后轮距(mm),1678,1678,1678,1672
车身,满载最小离地间隙(mm),119,119,119,141
车身,接近角(°),14,14,14,14
车身,离去角(°),17,17,17,17
车身,最小转弯半径(m),5.75,5.25,5.25,5.25
车身,车身结构,旅行车,旅行车,旅行车,旅行车
