セクション,項目,日产N7 2025款 510 Air,日产N7 2025款 510 Pro,日产N7 2025款 510 Max,日产N7 2025款 625 Pro,日产N7 2025款 625 Max
,厂商指导价(元),11.99万 计算器,12.99万 计算器,13.99万 计算器,13.99万 计算器,14.99万 计算器
,经销商报价,11.99万起,12.99万起,13.99万起,13.99万起,14.99万起
基本参数,厂商,东风日产,东风日产,东风日产,东风日产,东风日产
基本参数,级别,中大型车,中大型车,中大型车,中大型车,中大型车
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2025.04,2025.04,2025.04,2025.04,2025.04
基本参数,CLTC纯电续航里程(km),540,525,510,635,625
基本参数,电池快充时间(小时),0.23,0.23,0.23,0.23,0.23
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),160,160,160,200,200
基本参数,最大扭矩(N·m),305,305,305,305,305
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,电动机(Ps),218,218,218,272,272
基本参数,长*宽*高(mm),4930*1895*1484,4930*1895*1487,4930*1895*1487,4930*1895*1487,4930*1895*1487
基本参数,官方0-100km/h加速(s),-,-,-,-,-
基本参数,最高车速(km/h),160,160,160,160,160
基本参数,电能当量燃料消耗量(L/100km),1.44,1.47,1.51,1.53,1.56
基本参数,整车质保,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里
基本参数,整备质量(kg),1837,1863,1875,1949,1962
基本参数,最大满载质量(kg),2260,2295,2305,2380,2395
车身,长度(mm),4930,4930,4930,4930,4930
车身,宽度(mm),1895,1895,1895,1895,1895
车身,高度(mm),1484,1487,1487,1487,1487
车身,轴距(mm),2915,2915,2915,2915,2915
车身,前轮距(mm),1634,1634,1634,1634,1634
车身,后轮距(mm),1643,1643,1643,1643,1643
车身,接近角(°),12,13,13,13,13
车身,离去角(°),18,18,18,18,18
车身,最小转弯半径(m),5.8,5.8,5.8,5.8,5.8
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车
