セクション,セクション_ja,項目,項目_ja,2025年モデル 510 Air,2025年モデル 510 Pro,2025年モデル 510 Max,2025年モデル 625 Pro,2025年モデル 625 Max
,nan,厂商指导价(元),メーカー希望小売価格(元),"11.99万元（日本円 約2,517,900円）","12.99万元（日本円 約2,727,900円）","13.99万元（日本円 約2,937,900円）","13.99万元（日本円 約2,937,900円）","14.99万元（日本円 約3,147,900円）"
,nan,经销商报价,ディーラー販売価格（元）,"11.99万元（日本円 約2,517,900円）","12.99万元（日本円 約2,727,900円）","13.99万元（日本円 約2,937,900円）","13.99万元（日本円 約2,937,900円）","14.99万元（日本円 約3,147,900円）"
基本参数,基本仕様,厂商,メーカー,東風日産,東風日産,東風日産,東風日産,東風日産
基本参数,基本仕様,级别,クラス,中大型車,中大型車,中大型車,中大型車,中大型車
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2025.04,2025.04,2025.04,2025.04,2025.04
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),540,525,510,635,625
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.23,0.23,0.23,0.23,0.23
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),160,160,160,200,200
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),305,305,305,305,305
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),218,218,218,272,272
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4930*1895*1484,4930*1895*1487,4930*1895*1487,4930*1895*1487,4930*1895*1487
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),160,160,160,160,160
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.44,1.47,1.51,1.53,1.56
基本参数,基本仕様,整车质保,車両保証,● 4年または12万km,● 4年または12万km,● 4年または12万km,● 4年または12万km,● 4年または12万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1837,1863,1875,1949,1962
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2260,2295,2305,2380,2395
车身,車体,长度(mm),全長(mm),4930,4930,4930,4930,4930
车身,車体,宽度(mm),全幅(mm),1895,1895,1895,1895,1895
车身,車体,高度(mm),全高(mm),1484,1487,1487,1487,1487
车身,車体,轴距(mm),ホイールベース(mm),2915,2915,2915,2915,2915
车身,車体,前轮距(mm),前トレッド(mm),1634,1634,1634,1634,1634
车身,車体,后轮距(mm),後トレッド(mm),1643,1643,1643,1643,1643
车身,車体,接近角(°),アプローチアングル(°),12,13,13,13,13
车身,車体,离去角(°),デパーチャーアングル(°),18,18,18,18,18
车身,車体,最小转弯半径(m),最小回転半径(m),5.8,5.8,5.8,5.8,5.8
车身,車体,车身结构,ボディ構造,セダン,セダン,セダン,セダン,セダン
车身,車体,车门开启方式,ドア開閉方式,開きドア,開きドア,開きドア,開きドア,開きドア
车身,車体,车门数(个),ドア数(枚),● 4,● 4,● 4,● 4,● 4
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5,● 5
车身,車体,后备厢容积(L),トランク容量(L),504,484,484,484,484
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),0.208,0.208,0.208,0.208,0.208
电动机,モーター,前电动机品牌,前モーターブランド,東風汽車,東風汽車,東風汽車,東風汽車,東風汽車
电动机,モーター,前电动机型号,前モーター型式,TZ200XS2JD,TZ200XS2JD,TZ200XS2JD,TZ200XS3JD,TZ200XS3JD
电动机,モーター,电机类型,モーター種類,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型
电动机,モーター,电动机总功率(kW),モーター総出力(kW),160,160,160,200,200
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),218,218,218,272,272
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),305,305,305,305,305
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),160,160,160,200,200
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),305,305,305,305,305
电动机,モーター,驱动电机数,駆動モーター数,単モーター,単モーター,単モーター,単モーター,単モーター
电动机,モーター,电机布局,モーター配置,前置,前置,前置,前置,前置
电动机,モーター,三电首任车主质保政策,三電初回オーナー保証方針,● 生涯保証/非営業用（免責条項は公式基準による）,● 生涯保証/非営業用（免責条項は公式基準による）,● 生涯保証/非営業用（免責条項は公式基準による）,● 生涯保証/非営業用（免責条項は公式基準による）,● 生涯保証/非営業用（免責条項は公式基準による）
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● シンワンダ,● シンワンダ,● シンワンダ,● シンワンダ,● シンワンダ
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式,液冷式,液冷式
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),540,525,510,635,625
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),58,58,58,73,73
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり電力消費量(kWh/100km),12.4,12.7,13.0,13.2,13.4
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応
