セクション,項目,长安启源Q07 2025款 145尊耀型,长安启源Q07 2025款 145尊荣型,长安启源Q07 2025款 215尊贵型,长安启源Q07 2025款 215尊荣型,长安启源Q07 2025款 215激光尊荣型,长安启源Q07 2025款 215旗舰型,长安启源Q07 2025款 215激光旗舰型,长安启源Q07 2025款 215旗舰PLUS,长安启源Q07 2025款 215激光旗舰PLUS
,厂商指导价(元),12.98万 计算器,13.98万 计算器,14.58万 计算器,15.18万 计算器,15.68万 计算器,16.18万 计算器,16.68万 计算器,17.18万 计算器,17.68万 计算器
,经销商报价,12.98万起,13.98万起,14.58万起,15.18万起,15.68万起,16.18万起,16.68万起,17.18万起,17.68万起
基本参数,厂商,长安启源,长安启源,长安启源,长安启源,长安启源,长安启源,长安启源,长安启源,长安启源
基本参数,级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
基本参数,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.04,2025.04,2025.04,2025.04,2025.10,2025.04,2025.10,2025.04,2025.10
基本参数,WLTC纯电续航里程(km),111,111,166,166,166,163,163,163,163
基本参数,CLTC纯电续航里程(km),145,145,215,215,215,215,215,215,215
基本参数,电池快充时间(小时),0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
基本参数,电池慢充时间(小时),2.98,2.98,4.5,4.5,4.5,4.5,4.5,4.5,4.5
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),237,237,237,237,237,275,275,275,275
基本参数,最大扭矩(N·m),455,455,455,455,455,550,550,550,550
基本参数,变速箱,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,1.5L 98马力 L4,1.5L 98马力 L4,1.5L 98马力 L4,1.5L 98马力 L4,1.5L 98马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4
基本参数,电动机(Ps),224,224,224,224,224,224,224,224,224
基本参数,长*宽*高(mm),4837*1920*1690,4837*1920*1690,4837*1920*1690,4837*1920*1690,4837*1920*1690,4837*1920*1690,4837*1920*1690,4837*1920*1690,4837*1920*1690
