セクション,セクション_ja,項目,項目_ja,2025年モデル 1.5T Halo,2025年モデル 1.5T Ultra,2025年モデル 2.0T Ultra,2025年モデル 2.0T エクスプローラー
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"30.99万元（日本円 約6,507,900円）","33.69万元（日本円 約7,074,900円）","36.69万元（日本円 約7,704,900円）","41.69万元（日本円 約8,754,900円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"28.99万元（日本円 約6,087,900円）","31.69万元（日本円 約6,654,900円）","34.69万元（日本円 約7,284,900円）","39.69万元（日本円 約8,334,900円）"
基本参数,基本仕様,厂商,メーカー,リンク,リンク,リンク,リンク
基本参数,基本仕様,级别,クラス,大型SUV,大型SUV,大型SUV,大型SUV
基本参数,基本仕様,能源类型,エネルギータイプ,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド
基本参数,基本仕様,环保标准,環境基準,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制
基本参数,基本仕様,上市时间,発売時期,2025.04,2025.04,2025.04,2025.04
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),185,185,220,210
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),220,220,280,268
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.43,0.43,0.28,0.28
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),20-80,20-80,20-80,20-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),530,530,540,650
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),1000,1000,1038,1248
基本参数,基本仕様,变速箱,トランスミッション,3速DHT,3速DHT,3速DHT,3速DHT
基本参数,基本仕様,车身结构,ボディ構造,5ドア6人乗りSUV,5ドア6人乗りSUV,5ドア6人乗りSUV,5ドア6人乗りSUV
基本参数,基本仕様,发动机,エンジン,1.5T 190馬力 L4,1.5T 190馬力 L4,2.0T 254馬力 L4,2.0T 254馬力 L4
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),530,530,480,630
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),5240×1999×1800（mm）,5240×1999×1810（mm）,5240×1999×1810（mm）,5240×1999×1810（mm）
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),4.8,4.8,4.6,4.3
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),210,210,240,240
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),0.69,0.69,0.65,0.65
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低荷電状態燃費(L/100km)WLTC,6.95,6.95,7.29,7.29
基本参数,基本仕様,油电综合燃料消耗量(L/100km),ハイブリッド総合燃料消費量(L/100km),3.23,3.23,3.31,-
基本参数,基本仕様,整车质保,車両保証,● 5年または10万km保証,● 5年または10万km保証,● 5年または10万km保証,● 5年または10万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),2660,2760,2810,2820
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),3195,3295,3345,-
基本参数,基本仕様,准拖挂车总质量(kg),準牽引車総質量(kg),-,-,2000,2000
车身,車体,长度(mm),全長(mm),5240,5240,5240,5240
车身,車体,宽度(mm),全幅(mm),1999,1999,1999,1999
车身,車体,高度(mm),全高(mm),1800,1810,1810,1810
车身,車体,轴距(mm),ホイールベース(mm),3160,3160,3160,3160
车身,車体,前轮距(mm),前トレッド(mm),1722,1722,1722,1722
车身,車体,后轮距(mm),後トレッド(mm),1724,1724,1724,1724
车身,車体,最小离地间隙(mm),最低地上高(mm),194,194,194,194
车身,車体,接近角(°),アプローチアングル(°),20,20,20,20
车身,車体,离去角(°),デパーチャーアングル(°),20,20,20,20
车身,車体,最小转弯半径(m),最小回転半径(m),6.15,6.15,6.15,4.98
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,観音開きドア,観音開きドア,観音開きドア,観音開きドア
车身,車体,车门数(个),ドア数(枚),● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）
车身,車体,座位数(个),乗車定員(名),● 6（人乗り）,● 6（人乗り）,● 6（人乗り）,● 6（人乗り）
车身,車体,油箱容积(L),燃料タンク容量(L),60,60,60,65
车身,車体,后备厢容积(L),トランク容量(L),300-1070,300-1070,300-1070,281-1050
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,JLM-4G15TD,JLM-4G15TD,JLH-4G20TDC,JLH-4G20TDC
发动机,エンジン,排量(mL),排気量(mL),1499,1499,1969,1969
发动机,エンジン,排量(L),排気量(L),1.5,1.5,2.0,2.0
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,横置エンジン,横置エンジン,横置エンジン,横置エンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC
