セクション,項目,银河星耀8 2025款 60km EM-i 豪享版,银河星耀8 2025款 60km EM-i 豪华版,银河星耀8 2025款 130km EM-i 尊享版,银河星耀8 2025款 130km EM-i 尊贵版,银河星耀8 2025款 130km EM-i 旗舰版,银河星耀8 2025款 130km EM-P 探索版,银河星耀8 2025款 130km EM-P 星舰版
,厂商指导价(元),12.58万 计算器,13.18万 计算器,13.58万 计算器,14.18万 计算器,15.18万 计算器,15.48万 计算器,16.58万 计算器
,经销商报价,11.58万起,12.18万起,12.58万起,13.18万起,14.18万起,14.48万起,15.58万起
基本参数,厂商,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车
基本参数,级别,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车
基本参数,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.05,2025.05,2025.05,2025.05,2025.05,2025.05,2025.05
基本参数,WLTC纯电续航里程(km),-,-,-,-,-,104,104
基本参数,CLTC纯电续航里程(km),60,60,130,130,130,130,130
基本参数,电池快充时间(小时),-,-,0.33,0.33,0.33,0.33,0.33
基本参数,电池快充电量范围(%),-,-,30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),257,257,257,257,257,280,280
基本参数,最大扭矩(N·m),398,398,398,398,398,605,605
基本参数,变速箱,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,3挡DHT,3挡DHT
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,发动机,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4,1.5T 163马力 L4,1.5T 163马力 L4
基本参数,电动机(Ps),238,238,238,238,238,218,218
基本参数,长*宽*高(mm),5018*1918*1480,5018*1918*1480,5018*1918*1480,5018*1918*1480,5018*1918*1480,5018*1918*1480,5018*1918*1480
基本参数,官方0-100km/h加速(s),8.4,8.4,7.9,7.9,7.9,6.49,6.49
基本参数,最高车速(km/h),190,190,190,190,190,200,200
基本参数,WLTC综合油耗(L/100km),-,-,-,-,-,0.9,0.9
基本参数,最低荷电状态油耗(L/100km)WLTC,4.18,4.18,4.28,4.28,4.28,4.58,4.58
基本参数,最低荷电状态油耗(L/100km)CLTC,3.36,3.36,3.43,3.43,3.43,3.67,3.67
基本参数,油电综合燃料消耗量(L/100km),-,-,-,-,-,2.61,2.61
基本参数,整车质保,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里
基本参数,整备质量(kg),1760,1760,1860,1860,1860,1908,1908
基本参数,最大满载质量(kg),2184,2184,2274,2274,2274,2324,2324
车身,长度(mm),5018,5018,5018,5018,5018,5018,5018
车身,宽度(mm),1918,1918,1918,1918,1918,1918,1918
车身,高度(mm),1480,1480,1480,1480,1480,1480,1480
车身,轴距(mm),2928,2928,2928,2928,2928,2928,2928
车身,前轮距(mm),1642,1642,1642,1642,1642,1642,1642
车身,后轮距(mm),1650,1650,1650,1650,1650,1650,1650
车身,接近角(°),13,13,13,13,13,13,13
车身,离去角(°),15,15,15,15,15,15,15
车身,最小转弯半径(m),5.8,5.8,5.8,5.8,5.8,5.8,5.8
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),55,55,55,55,55,55,55
车身,后备厢容积(L),405,405,405,405,405,405,405
车身,风阻系数(Cd),0.25,0.25,0.25,0.25,0.25,0.25,0.25
发动机,发动机型号,BHE15-BFN,BHE15-BFN,BHE15-BFN,BHE15-BFN,BHE15-BFN,BHE15-BFZ,BHE15-BFZ
发动机,排量(mL),1499,1499,1499,1499,1499,1499,1499
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5
发动机,进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),112,112,112,112,112,163,163
发动机,最大功率(kW),82,82,82,82,82,120,120
发动机,最大功率转速(rpm),6000,6000,6000,6000,6000,5500,5500
发动机,最大扭矩(N·m),136,136,136,136,136,255,255
发动机,最大扭矩转速(rpm),4000-5000,4000-5000,4000-5000,4000-5000,4000-5000,2500-4000,2500-4000
发动机,最大净功率(kW),79,79,79,79,79,115,115
发动机,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),175,175,175,175,175,160,160
电动机,电动机总马力(Ps),238,238,238,238,238,218,218
电动机,电动机总扭矩(N·m),262,262,262,262,262,350,350
电动机,前电动机最大功率(kW),175,175,175,175,175,160,160
电动机,前电动机最大扭矩(N·m),262,262,262,262,262,350,350
电动机,系统综合功率(kW),257,257,257,257,257,280,280
电动机,系统综合功率(Ps),350,350,350,350,350,381,381
电动机,系统综合扭矩(N·m),398,398,398,398,398,605,605
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,前置,前置,前置,前置,前置,前置,前置
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 中创新航,● 中创新航,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代
电池/充电,电池特有技术,神盾电池,神盾电池,神盾电池,神盾电池,神盾电池,神盾电池,神盾电池
电池/充电,电池冷却方式,直冷,直冷,直冷,直冷,直冷,直冷,直冷
电池/充电,WLTC纯电续航里程(km),-,-,-,-,-,104,104
电池/充电,CLTC纯电续航里程(km),60,60,130,130,130,130,130
电池/充电,CLTC综合续航(km),1500,1500,1600,1600,1600,1500,1500
电池/充电,电池能量(kWh),8.5,8.5,18.4,18.4,18.4,18.4,18.4
电池/充电,百公里耗电量(kWh/100km),-,-,-,-,-,14.7,14.7
电池/充电,快充功能,不支持,不支持,支持,支持,支持,支持,支持
电池/充电,电池快充时间(小时),-,-,0.33,0.33,0.33,0.33,0.33
电池/充电,电池快充电量范围(%),-,-,30-80,30-80,30-80,30-80,30-80
电池/充电,慢充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,快充接口位置,-,-,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,对外交流放电功率(kW),3,3,6,6,6,6,6
变速箱,简称,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,3挡DHT,3挡DHT
变速箱,挡位个数,1,1,1,1,1,3,3
变速箱,变速箱类型,混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 235/50 R18,● 235/50 R18,● 235/50 R18,● 235/50 R18,● 245/45 R19,● 245/45 R19,● 245/45 R19
车轮制动,后轮胎规格,● 235/50 R18,● 235/50 R18,● 235/50 R18,● 235/50 R18,● 245/45 R19,● 245/45 R19,● 245/45 R19
车轮制动,备胎规格,-,-,-,-,-,-,-
被动安全,主/副驾驶座安全气囊,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
被动安全,前/后排侧气囊,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-
被动安全,前/后排头部气囊(气帘),前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
主动安全,ABS防抱死,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●
主动安全,疲劳驾驶提示,-,●,-,●,●,●,●
主动安全,DOW开门预警,●,●,●,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●,●,●,●
主动安全,后方碰撞预警,●,●,●,●,●,●,●
主动安全,低速行车警告,●,●,●,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●,●,●,●
主动安全,防侧翻系统,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,● 运动,● 运动,● 运动,● 运动,● 运动,● 运动,● 运动
驾驶操控,能量回收系统,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●
驾驶操控,可变悬架功能,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节
驾驶硬件,前/后驻车雷达,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,●,●,●,●,●,●,●
驾驶硬件,前方感知摄像头,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目
驾驶硬件,摄像头数量,● 5个,● 10个,● 5个,● 10个,● 10个,● 10个,● 10个
驾驶硬件,车内摄像头数量,-,● 1个,-,● 1个,● 1个,● 1个,● 1个
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,● 2个,● 5个,● 2个,● 5个,● 5个,● 5个,● 5个
驾驶硬件,激光雷达数量,-,-,-,-,-,-,● 1个
