セクション,セクション_ja,項目,項目_ja,2025年モデル 60km EM i 豪華版,2025年モデル 60km EM i 豪華版,2025年モデル 130km EM i 尊享版,2025年モデル 130km EM i 尊貴版,2025年モデル 130km EM i フラッグシップ版,2025年モデル 130km EM P 探索版,2025年モデル 130km EM P 星艦版
,nan,厂商指导价(元),メーカー希望小売価格(元),"12.58万元（日本円 約2,641,800円）","13.18万元（日本円 約2,767,800円）","13.58万元（日本円 約2,851,800円）","14.18万元（日本円 約2,977,800円）","15.18万元（日本円 約3,187,800円）","15.48万元（日本円 約3,250,800円）","16.58万元（日本円 約3,481,800円）"
,nan,经销商报价,ディーラー販売価格（元）,"11.58万元（日本円 約2,431,800円）","12.18万元（日本円 約2,557,800円）","12.58万元（日本円 約2,641,800円）","13.18万元（日本円 約2,767,800円）","14.18万元（日本円 約2,977,800円）","14.48万元（日本円 約3,040,800円）","15.58万元（日本円 約3,271,800円）"
基本参数,基本仕様,厂商,メーカー,ジーリー自動車,ジーリー自動車,ジーリー自動車,ジーリー自動車,ジーリー自動車,ジーリー自動車,ジーリー自動車
基本参数,基本仕様,级别,クラス,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車
基本参数,基本仕様,能源类型,エネルギータイプ,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド
基本参数,基本仕様,环保标准,環境基準,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）
基本参数,基本仕様,上市时间,発売時期,2025.05,2025.05,2025.05,2025.05,2025.05,2025.05,2025.05
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),-,-,-,-,-,104,104
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),60,60,130,130,130,130,130
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),-,-,0.33,0.33,0.33,0.33,0.33
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),-,-,30-80,30-80,30-80,30-80,30-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),257,257,257,257,257,280,280
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),398,398,398,398,398,605,605
基本参数,基本仕様,变速箱,トランスミッション,1速DHT,1速DHT,1速DHT,1速DHT,1速DHT,3速DHT,3速DHT
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン
基本参数,基本仕様,发动机,エンジン,1.5L 112馬力 L4,1.5L 112馬力 L4,1.5L 112馬力 L4,1.5L 112馬力 L4,1.5L 112馬力 L4,1.5T 163馬力 L4,1.5T 163馬力 L4
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),238,238,238,238,238,218,218
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),5018×1918×1480,5018×1918×1480,5018×1918×1480,5018×1918×1480,5018×1918×1480,5018×1918×1480,5018×1918×1480
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),8.4,8.4,7.9,7.9,7.9,6.49,6.49
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),190,190,190,190,190,200,200
