セクション,項目,乐道L90 2025款 Pro 六座版,乐道L90 2025款 Max 六座版,乐道L90 2025款 Ultra 六座版,乐道L90 2025款 Pro 七座版,乐道L90 2025款 Max 七座版,乐道L90 2025款 Ultra 七座版
,厂商指导价(元),26.58万 计算器,27.98万 计算器,29.98万 计算器,27.18万 计算器,28.58万 计算器,29.98万 计算器
,经销商报价,26.58万起 询底价,27.98万起 询底价,29.98万起 询底价,27.18万起 询底价,28.58万起 询底价,29.98万起 询底价
基本参数,厂商,蔚来,蔚来,蔚来,蔚来,蔚来,蔚来
基本参数,级别,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2025.07,2025.07,2025.07,2025.07,2025.07,2025.07
基本参数,CLTC纯电续航里程(km),605,600,570,600,600,570
基本参数,电池快充时间(小时),0.42,0.42,0.42,0.42,0.42,0.42
基本参数,电池快充电量范围(%),10-80,10-80,10-80,10-80,10-80,10-80
基本参数,最大功率(kW),340,340,440,340,340,440
基本参数,最大扭矩(N·m),400,400,535,400,400,535
基本参数,车身结构,5门6座SUV,5门6座SUV,5门6座SUV,5门7座SUV,5门7座SUV,5门7座SUV
基本参数,电动机(Ps),462,462,599,462,462,599
基本参数,长*宽*高(mm),5145*1998*1786,5145*1998*1766,5145*1998*1766,5145*1998*1786,5145*1998*1766,5145*1998*1766
基本参数,官方0-100km/h加速(s),5.9,5.9,4.7,5.9,5.9,4.7
基本参数,官方100-0km/h制动(m),35.5,35.5,35.5,35.5,35.5,35.5
基本参数,最高车速(km/h),200,200,200,200,200,200
基本参数,电能当量燃料消耗量(L/100km),1.68,1.70,1.79,1.70,1.70,1.79
基本参数,整车质保,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里
基本参数,整备质量(kg),2250,2300,2360,2270,2320,2400
基本参数,最大满载质量(kg),2800,2800,2900,2800,2920,2990
车身,长度(mm),5145,5145,5145,5145,5145,5145
车身,宽度(mm),1998,1998,1998,1998,1998,1998
车身,高度(mm),1786,1766,1766,1786,1766,1766
车身,轴距(mm),3110,3110,3110,3110,3110,3110
车身,前轮距(mm),1720,1720,1720,1720,1720,1720
车身,后轮距(mm),1717,1717,1717,1717,1717,1717
车身,接近角(°),18,18,18,18,18,18
车身,离去角(°),20,20,20,20,20,20
车身,最小转弯半径(m),5.7,5.7,5.7,5.7,5.7,5.7
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 6,● 6,● 6,● 7,● 7,● 7
车身,前备厢容积(L),240,240,240,240,240,240
车身,后备厢容积(L),430-1214,430-1214,430-1214,430-2276,430-2276,430-2276
车身,风阻系数(Cd),0.25,0.25,0.25,0.25,0.25,0.25
电动机,前电动机品牌,-,-,蔚来动力,-,-,蔚来动力
电动机,后电动机品牌,蔚来动力,蔚来动力,蔚来动力,蔚来动力,蔚来动力,蔚来动力
电动机,前电动机型号,-,-,YS198S001,-,-,YS198S001
