セクション,セクション_ja,項目,項目_ja,2025年モデル Pro 6人乗り,2025年モデル Max 6人乗り,2025年モデル Ultra 6人乗り,2025年モデル Pro 7人乗り,2025年モデル Max 7人乗り,2025年モデル Ultra 7人乗り
,nan,厂商指导价(元),メーカー希望小売価格(元),"26.58万元（日本円 約5,581,800円）","27.98万元（日本円 約5,875,800円）","29.98万元（日本円 約6,295,800円）","27.18万元（日本円 約5,707,800円）","28.58万元（日本円 約6,001,800円）","29.98万元（日本円 約6,295,800円）"
,nan,经销商报价,ディーラー販売価格（元）,"26.58万元（日本円 約5,581,800円）","27.98万元（日本円 約5,875,800円）","29.98万元（日本円 約6,295,800円）","27.18万元（日本円 約5,707,800円）","28.58万元（日本円 約6,001,800円）","29.98万元（日本円 約6,295,800円）"
基本参数,基本仕様,厂商,メーカー,蔚来,蔚来,蔚来,蔚来,蔚来,蔚来
基本参数,基本仕様,级别,クラス,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2025.07,2025.07,2025.07,2025.07,2025.07,2025.07
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),605,600,570,600,600,570
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.42,0.42,0.42,0.42,0.42,0.42
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),10-80,10-80,10-80,10-80,10-80,10-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),340,340,440,340,340,440
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),400,400,535,400,400,535
基本参数,基本仕様,车身结构,ボディ構造,5ドア6人乗りSUV,5ドア6人乗りSUV,5ドア6人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),462,462,599,462,462,599
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),5145×1998×1786,5145×1998×1766,5145×1998×1766,5145×1998×1786,5145×1998×1766,5145×1998×1766
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),5.9,5.9,4.7,5.9,5.9,4.7
基本参数,基本仕様,官方100-0km/h制动(m),公式0-100km/h制動距離(m),35.5,35.5,35.5,35.5,35.5,35.5
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),200,200,200,200,200,200
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.68,1.70,1.79,1.70,1.70,1.79
基本参数,基本仕様,整车质保,車両保証,● 4年または10万km,● 4年または10万km,● 4年または10万km,● 4年または10万km,● 4年または10万km,● 4年または10万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),2250,2300,2360,2270,2320,2400
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2800,2800,2900,2800,2920,2990
车身,車体,长度(mm),全長(mm),5145,5145,5145,5145,5145,5145
车身,車体,宽度(mm),全幅(mm),1998,1998,1998,1998,1998,1998
车身,車体,高度(mm),全高(mm),1786,1766,1766,1786,1766,1766
车身,車体,轴距(mm),ホイールベース(mm),3110,3110,3110,3110,3110,3110
车身,車体,前轮距(mm),前トレッド(mm),1720,1720,1720,1720,1720,1720
车身,車体,后轮距(mm),後トレッド(mm),1717,1717,1717,1717,1717,1717
车身,車体,接近角(°),アプローチアングル(°),18,18,18,18,18,18
车身,車体,离去角(°),デパーチャーアングル(°),20,20,20,20,20,20
车身,車体,最小转弯半径(m),最小回転半径(m),5.7,5.7,5.7,5.7,5.7,5.7
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,観音開きドア,観音開きドア,観音開きドア,観音開きドア,観音開きドア,観音開きドア
车身,車体,车门数(个),ドア数(枚),● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,座位数(个),乗車定員(名),● 6,● 6,● 6,● 7,● 7,● 7
车身,車体,前备厢容积(L),フロントトランク容量(L),240,240,240,240,240,240
