セクション,項目,极狐T1 2025款 320 PRO,极狐T1 2025款 320 PLUS,极狐T1 2025款 425 PRO,极狐T1 2025款 425 PLUS,极狐T1 2025款 425 MAX
,厂商指导价(元),6.28万 计算器,6.58万 计算器,6.98万 计算器,7.78万 计算器,8.78万 计算器
,经销商报价,6.28万起,6.58万起,6.98万起,7.78万起,8.78万起
基本参数,厂商,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源
基本参数,级别,小型车,小型车,小型车,小型车,小型车
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2025.09,2025.09,2025.09,2025.09,2025.09
基本参数,CLTC纯电续航里程(km),320,320,425,425,425
基本参数,电池快充时间(小时),0.28,0.28,0.28,0.28,0.28
基本参数,电池慢充时间(小时),11,11,7.5,7.5,7.5
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80
基本参数,电池慢充电量范围(%),0-100,0-100,0-100,0-100,0-100
基本参数,最大功率(kW),95,95,70,70,70
基本参数,最大扭矩(N·m),176,176,176,176,176
基本参数,车身结构,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车
基本参数,电动机(Ps),129,129,95,95,95
基本参数,长*宽*高(mm),4337*1860*1572,4337*1860*1572,4337*1860*1572,4337*1860*1572,4337*1860*1572
基本参数,官方0-100km/h加速(s),-,-,-,-,-
基本参数,官方0-50km/h加速(s),3.9,3.9,4.2,4.2,4.2
基本参数,最高车速(km/h),150,150,140,140,140
基本参数,电能当量燃料消耗量(L/100km),1.3,1.3,1.3,1.3,1.3
基本参数,整车质保,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里
基本参数,整备质量(kg),1415,1415,1420,1420,1420
基本参数,最大满载质量(kg),1825,1825,1825,1825,1825
车身,长度(mm),4337,4337,4337,4337,4337
车身,宽度(mm),1860,1860,1860,1860,1860
车身,高度(mm),1572,1572,1572,1572,1572
车身,轴距(mm),2770,2770,2770,2770,2770
车身,前轮距(mm),1600,1600,1600,1600,1600
车身,后轮距(mm),1610,1610,1610,1610,1610
车身,最小离地间隙(mm),153,153,153,181,181
车身,接近角(°),19,19,19,19,19
车身,离去角(°),23,23,23,23,23
车身,最小转弯半径(m),5.2,5.2,5.2,5.2,5.2
车身,车身结构,两厢车,两厢车,两厢车,两厢车,两厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5
车身,后备厢容积(L),459-1352,459-1352,459-1352,459-1352,459-1352
车身,风阻系数(Cd),-,-,-,-,-
电动机,前电动机品牌,中车时代,中车时代,中车时代,中车时代,中车时代
电动机,前电动机型号,TZ180XS344,TZ180XS344,TZ180XS344,TZ180XS344,TZ180XS344
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),95,95,70,70,70
电动机,电动机总马力(Ps),129,129,95,95,95
电动机,电动机总扭矩(N·m),176,176,176,176,176
电动机,前电动机最大功率(kW),95,95,70,70,70
电动机,前电动机最大扭矩(N·m),176,176,176,176,176
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,前置,前置,前置,前置,前置
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,"● 中创新航
● 巨湾因湃","● 中创新航
● 巨湾因湃","● 中创新航
● 巨湾因湃","● 中创新航
● 巨湾因湃","● 中创新航
● 巨湾因湃"
电池/充电,电池特有技术,极光电池,极光电池,极光电池,极光电池,极光电池
电池/充电,电池冷却方式,直冷,直冷,直冷,直冷,直冷
电池/充电,CLTC纯电续航里程(km),320,320,425,425,425
电池/充电,电池能量(kWh),33.4,33.4,42.3,42.3,42.3
电池/充电,电池能量密度(Wh/kg),125,125,135,135,135
电池/充电,百公里耗电量(kWh/100km),11.2,11.2,11.2,11.2,11.2
电池/充电,电池组质保,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,快充功能,支持,支持,支持,支持,支持
电池/充电,电池快充时间(小时),0.28,0.28,0.28,0.28,0.28
电池/充电,电池慢充时间(小时),11,11,7.5,7.5,7.5
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80
电池/充电,电池慢充电量范围(%),0-100,0-100,0-100,0-100,0-100
电池/充电,慢充接口位置,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧
电池/充电,快充接口位置,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧
电池/充电,对外交流放电功率(kW),3.3,3.3,3.3,3.3,3.3
电池/充电,对外直流放电功率(kW),3.3,3.3,6,6,6
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 215/55 R17,● 215/55 R17,● 215/55 R17,● 215/55 R18,● 215/55 R18
车轮制动,后轮胎规格,● 215/55 R17,● 215/55 R17,● 215/55 R17,● 215/55 R18,● 215/55 R18
车轮制动,备胎规格,● 无,● 无,● 无,● 无,● 无
被动安全,主/副驾驶座安全气囊,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
被动安全,前/后排侧气囊,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-
