セクション,項目,福瑞迪 2019款 1.6L 手动舒适版 国V,福瑞迪 2019款 1.6L 自动风尚版 国V,福瑞迪 2019款 1.6L 手动智享天窗版 国V,福瑞迪 2019款 1.6L 自动智享互联版 国V,福瑞迪 2019款 1.6L 手动舒适版 国VI,福瑞迪 2019款 1.6L 自动风尚版 国VI,福瑞迪 2019款 1.6L 手动智享天窗版 国VI,福瑞迪 2019款 1.6L 自动智享互联版 国VI,福瑞迪 2018款 1.6L 手动舒适版Smart,福瑞迪 2018款 1.6L 手动智享天窗版Value,福瑞迪 2018款 1.6L 自动Smart,福瑞迪 2018款 1.6L 自动智享互联版Value-Connect,福瑞迪 2018款 1.6L 自动智享豪华版Value-Comfort,福瑞迪 2016款 1.6L MT GL,福瑞迪 2016款 1.6L AT GL,福瑞迪 2016款 1.6L MT GLS,福瑞迪 2016款 1.6L AT GLS,福瑞迪 2014款 1.6L MT GL,福瑞迪 2014款 1.6L AT GL,福瑞迪 2014款 1.6L MT GLS,福瑞迪 2014款 1.6L AT GLS,福瑞迪 2014款 1.6L AT Premium,福瑞迪 2014款 1.6L MT Premium Special,福瑞迪 2014款 1.6L AT Premium Special,福瑞迪 2012款 1.6L MT GL 纪念版,福瑞迪 2012款 1.6L AT GL 纪念版,福瑞迪 2012款 1.6L MT GLS 纪念版,福瑞迪 2012款 1.6L AT GLS 纪念版,福瑞迪 2012款 1.6L AT Premium 纪念版,福瑞迪 2011款 1.6L MT GL,福瑞迪 2011款 1.6L AT GL,福瑞迪 2011款 1.6L MT GLS,福瑞迪 2011款 1.6L AT GLS,福瑞迪 2011款 1.6L AT Premium,福瑞迪 2011款 2.0L AT TOP,福瑞迪 2009款 1.6L MT GL,福瑞迪 2009款 1.6L AT GL,福瑞迪 2009款 1.6L MT GLS,福瑞迪 2009款 1.6L AT GLS,福瑞迪 2009款 1.6L AT Premium,福瑞迪 2009款 2.0L AT TOP
,厂商指导价(元),7.88万 计算器,8.48万 计算器,9.08万 计算器,10.28万 计算器,8.08万 计算器,8.68万 计算器,9.28万 计算器,10.48万 计算器,7.88万 计算器,9.08万 计算器,9.08万 计算器,10.28万 计算器,10.98万 计算器,9.88万 计算器,10.88万 计算器,10.98万 计算器,11.98万 计算器,9.88万 计算器,10.88万 计算器,10.98万 计算器,11.98万 计算器,12.48万 计算器,12.48万 计算器,13.48万 计算器,9.88万 计算器,10.88万 计算器,10.98万 计算器,11.98万 计算器,12.28万 计算器,9.88万 计算器,10.88万 计算器,10.98万 计算器,11.98万 计算器,12.28万 计算器,13.98万 计算器,9.88万 计算器,10.88万 计算器,10.98万 计算器,11.98万 计算器,12.28万 计算器,13.98万 计算器
,经销商报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价
基本参数,厂商,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚,起亚
基本参数,级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国V,国V,国V,国V,国VI,国VI,国VI,国VI,国V,国V,国V,国V,国V,国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV,国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV
基本参数,上市时间,2019.04,2019.04,2019.04,2019.04,2019.09,2019.09,2019.09,2019.09,2017.11,2017.11,2018.05,2017.11,2017.11,2016.02,2016.02,2016.02,2016.02,2013.11,2013.11,2013.11,2013.11,2013.11,2013.11,2013.11,2012.06,2012.06,2012.06,2012.06,2012.06,2010.10,2010.10,2010.10,2010.10,2010.10,2010.10,2009.06,2009.06,2009.06,2009.06,2009.06,2009.06
基本参数,最大功率(kW),90.2,90.2,90.2,90.2,90.2,90.2,90.2,90.2,90.2,90.2,90.2,90.2,90.2,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,115,90,90,90,90,90,115
基本参数,最大扭矩(N·m),150.7,150.7,150.7,150.7,150.7,150.7,150.7,150.7,150.7,150.7,150.7,150.7,150.7,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,194,155,155,155,155,155,194
基本参数,变速箱,6挡手动,6挡手自一体,6挡手动,6挡手自一体,6挡手动,6挡手自一体,6挡手动,6挡手自一体,6挡手动,6挡手动,6挡手自一体,6挡手自一体,6挡手自一体,5挡手动,4挡手自一体,5挡手动,4挡手自一体,5挡手动,4挡手自一体,5挡手动,4挡手自一体,4挡手自一体,5挡手动,4挡手自一体,5挡手动,4挡手自一体,5挡手动,4挡手自一体,4挡手自一体,5挡手动,4挡手自一体,5挡手动,4挡手自一体,4挡手自一体,4挡手自一体,5挡手动,4挡手自一体,5挡手动,4挡手自一体,4挡手自一体,4挡手自一体
