セクション,セクション_ja,項目,項目_ja,2019年モデル 1.6L MT 快適版 国V,2019年モデル 1.6L AT ファッショナブル版 国V,2019年モデル 1.6L MT スマートサンルーフ版 国V,2019年モデル 1.6L AT スマートコネクト版 国V,2019年モデル 1.6L MT 快適版 国VI,2019年モデル 1.6L AT ファッショナブル版 国VI,2019年モデル 1.6L MT スマートサンルーフ版 国VI,2019年モデル 1.6L AT スマートコネクト版 国VI,2018年モデル 1.6L MT 快適版 Smart,2018年モデル 1.6L MT スマートサンルーフ版 Value,2018年モデル 1.6L AT Smart,2018年モデル 1.6L AT スマートコネクト版 Value Connect,2018年モデル 1.6L AT スマートラグジュアリー版 Value Comfort,2016年モデル 1.6L MT GL,2016年モデル 1.6L AT GL,2016年モデル 1.6L MT GLS,2016年モデル 1.6L AT GLS,2014年モデル 1.6L MT GL,2014年モデル 1.6L AT GL,2014年モデル 1.6L MT GLS,2014年モデル 1.6L AT GLS,2014年モデル 1.6L AT プレミアム,2014年モデル 1.6L MT プレミアムスペシャル,2014年モデル 1.6L AT プレミアムスペシャル,2012年モデル 1.6L MT GL 記念版,2012年モデル 1.6L AT GL 記念版,2012年モデル 1.6L MT GLS 記念版,2012年モデル 1.6L AT GLS 記念版,2012年モデル 1.6L AT プレミアム 記念版,2011年モデル 1.6L MT GL,2011年モデル 1.6L AT GL,2011年モデル 1.6L MT GLS,2011年モデル 1.6L AT GLS,2011年モデル 1.6L AT プレミアム,2011年モデル 2.0L AT TOP,2009年モデル 1.6L MT GL,2009年モデル 1.6L AT GL,2009年モデル 1.6L MT GLS,2009年モデル 1.6L AT GLS,2009年モデル 1.6L AT プレミアム,2009年モデル 2.0L AT TOP
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"7.88万元（日本円 約1,654,800円）","8.48万元（日本円 約1,780,800円）","9.08万元（日本円 約1,906,800円）","10.28万元（日本円 約2,158,800円）","8.08万元（日本円 約1,696,800円）","8.68万元（日本円 約1,822,800円）","9.28万元（日本円 約1,948,800円）","10.48万元（日本円 約2,200,800円）","7.88万元（日本円 約1,654,800円）","9.08万元（日本円 約1,906,800円）","9.08万元（日本円 約1,906,800円）","10.28万元（日本円 約2,158,800円）","10.98万元（日本円 約2,305,800円）","9.88万元（日本円 約2,074,800円）","10.88万元（日本円 約2,284,800円）","10.98万元（日本円 約2,305,800円）","11.98万元（日本円 約2,515,800円）","9.88万元（日本円 約2,074,800円）","10.88万元（日本円 約2,284,800円）","10.98万元（日本円 約2,305,800円）","11.98万元（日本円 約2,515,800円）","12.48万元（日本円 約2,620,800円）","12.48万元（日本円 約2,620,800円）","13.48万元（日本円 約2,830,800円）","9.88万元（日本円 約2,074,800円）","10.88万元（日本円 約2,284,800円）","10.98万元（日本円 約2,305,800円）","11.98万元（日本円 約2,515,800円）","12.28万元（日本円 約2,578,800円）","9.88万元（日本円 約2,074,800円）","10.88万元（日本円 約2,284,800円）","10.98万元（日本円 約2,305,800円）","11.98万元（日本円 約2,515,800円）","12.28万元（日本円 約2,578,800円）","13.98万元（日本円 約2,935,800円）","9.88万元（日本円 約2,074,800円）","10.88万元（日本円 約2,284,800円）","10.98万元（日本円 約2,305,800円）","11.98万元（日本円 約2,515,800円）","12.28万元（日本円 約2,578,800円）","13.98万元（日本円 約2,935,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无
基本参数,基本仕様,厂商,メーカー,サブ,サブ,サブ,サブ,サブ,サブ,サブ,サブ,サブ,サブ,サブ,サブ,サブ,サブ,サブ,サブ,サブ,サブ,サブ,サブ,サブ,サブ,サブ,サブ,サブ,サブ,サブ,サブ,サブ,サブ,サブ,サブ,サブ,サブ,サブ,サブ,サブ,サブ,サブ,サブ,サブ
基本参数,基本仕様,级别,クラス,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国V排ガス基準,国V排ガス基準,国V排ガス基準,国V排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国V排ガス基準,国V排ガス基準,国V排ガス基準,国V排ガス基準,国V排ガス基準,国IV（国V）排ガス基準,国IV（国V）排ガス基準,国IV（国V）排ガス基準,国IV（国V）排ガス基準,国IV（国V）排ガス基準,国IV（国V）排ガス基準,国IV（国V）排ガス基準,国IV（国V）排ガス基準,国IV（国V）排ガス基準,国IV（国V）排ガス基準,国IV（国V）排ガス基準,国IV（国V）排ガス基準,国IV（国V）排ガス基準,国IV（国V）排ガス基準,国IV（国V）排ガス基準,国IV（国V）排ガス基準,国IV（国V）排ガス基準,国IV（国V）排ガス基準,国IV（国V）排ガス基準,国IV（国V）排ガス基準,国IV（国V）排ガス基準,国IV排ガス基準,国IV（国V）排ガス基準,国IV（国V）排ガス基準,国IV（国V）排ガス基準,国IV（国V）排ガス基準,国IV（国V）排ガス基準,国IV排ガス基準
基本参数,基本仕様,上市时间,発売時期,2019.04,2019.04,2019.04,2019.04,2019.09,2019.09,2019.09,2019.09,2017.11,2017.11,2018.05,2017.11,2017.11,2016.02,2016.02,2016.02,2016.02,2013.11,2013.11,2013.11,2013.11,2013.11,2013.11,2013.11,2012.06,2012.06,2012.06,2012.06,2012.06,2010.10,2010.10,2010.10,2010.10,2010.10,2010.10,2009.06,2009.06,2009.06,2009.06,2009.06,2009.06
基本参数,基本仕様,最大功率(kW),最大出力(kW),90.2,90.2,90.2,90.2,90.2,90.2,90.2,90.2,90.2,90.2,90.2,90.2,90.2,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,115,90,90,90,90,90,115
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),150.7,150.7,150.7,150.7,150.7,150.7,150.7,150.7,150.7,150.7,150.7,150.7,150.7,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,194,155,155,155,155,155,194
基本参数,基本仕様,变速箱,トランスミッション,6速マニュアル,6速マニュアルモード付AT,6速マニュアル,6速マニュアルモード付AT,6速マニュアル,6速マニュアルモード付AT,6速マニュアル,6速マニュアルモード付AT,6速マニュアル,6速マニュアル,6速マニュアルモード付AT,6速マニュアルモード付AT,6速マニュアルモード付AT,5速マニュアル,4速マニュアルモード付AT,5速マニュアル,4速マニュアルモード付AT,5速マニュアル,4速マニュアルモード付AT,5速マニュアル,4速マニュアルモード付AT,4速マニュアルモード付AT,5速マニュアル,4速マニュアルモード付AT,5速マニュアル,4速マニュアルモード付AT,5速マニュアル,4速マニュアルモード付AT,4速マニュアルモード付AT,5速マニュアル,4速マニュアルモード付AT,5速マニュアル,4速マニュアルモード付AT,4速マニュアルモード付AT,4速マニュアルモード付AT,5速マニュアル,4速マニュアルモード付AT,5速マニュアル,4速マニュアルモード付AT,4速マニュアルモード付AT,4速マニュアルモード付AT
