セクション,項目,沃尔沃XC70插电式混动 2026款 两驱长续航Core,沃尔沃XC70插电式混动 2026款 四驱超长续航Core,沃尔沃XC70插电式混动 2026款 四驱超长续航Plus,沃尔沃XC70插电式混动 2026款 四驱超长续航Ultra
,厂商指导价(元),41.69万 计算器,44.69万 计算器,46.69万 计算器,49.69万 计算器
,经销商报价,26.99万起,29.99万起,31.99万起,34.99万起
基本参数,厂商,沃尔沃亚太,沃尔沃亚太,沃尔沃亚太,沃尔沃亚太
基本参数,级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV
基本参数,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
基本参数,环保标准,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.09,2025.09,2025.09,2025.09
基本参数,WLTC纯电续航里程(km),100,180,180,180
基本参数,CLTC纯电续航里程(km),116,212,212,212
基本参数,电池快充时间(小时),0.65,0.38,0.38,0.38
基本参数,电池慢充时间(小时),4,7,7,7
基本参数,电池快充电量范围(%),0-80,0-80,0-80,0-80
基本参数,电池慢充电量范围(%),0-100,0-100,0-100,0-100
基本参数,最大功率(kW),234,340,340,340
基本参数,最大扭矩(N·m),535,710,710,710
基本参数,变速箱,3挡DHT,3挡DHT,3挡DHT,3挡DHT
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4
基本参数,电动机(Ps),145,357,357,357
基本参数,长*宽*高(mm),4815*1890*1650,4815*1890*1650,4815*1890*1650,4815*1890*1650
基本参数,官方0-100km/h加速(s),8,5.3,5.3,5.3
基本参数,最高车速(km/h),180,180,180,180
基本参数,WLTC综合油耗(L/100km),1.27,0.98,0.98,0.98
基本参数,最低荷电状态油耗(L/100km)WLTC,5.85,6.55,6.55,6.55
基本参数,油电综合燃料消耗量(L/100km),3.28,3.53,3.53,3.53
基本参数,整车质保,● 三年不限公里,● 三年不限公里,● 三年不限公里,● 三年不限公里
基本参数,整备质量(kg),2110,2275,2275,2275
基本参数,最大满载质量(kg),2540,2705,2705,2705
车身,长度(mm),4815,4815,4815,4815
车身,宽度(mm),1890,1890,1890,1890
车身,高度(mm),1650,1650,1650,1650
车身,轴距(mm),2895,2895,2895,2895
车身,前轮距(mm),1623,1623,1623,1623
车身,后轮距(mm),1623,1623,1623,1623
车身,接近角(°),18,18,18,18
车身,离去角(°),21,21,21,21
车身,车身结构,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5
车身,油箱容积(L),60,60,60,60
车身,后备厢容积(L),408-1456,408-1456,408-1456,408-1456
车身,风阻系数(Cd),-,-,-,-
发动机,发动机型号,BHE15-BFZ,BHE15-BFZ,BHE15-BFZ,BHE15-BFZ
发动机,排量(mL),1499,1499,1499,1499
发动机,排量(L),1.5,1.5,1.5,1.5
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L
发动机,气缸数(个),4,4,4,4
发动机,每缸气门数(个),4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),156,156,156,156
发动机,最大功率(kW),115,115,115,115
发动机,最大功率转速(rpm),5500,5500,5500,5500
发动机,最大扭矩(N·m),255,255,255,255
发动机,最大扭矩转速(rpm),2500-4000,2500-4000,2500-4000,2500-4000
发动机,最大净功率(kW),115,115,115,115
发动机,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
发动机,燃油标号,95号,95号,95号,95号
发动机,供油方式,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI
电动机,前电动机型号,TZ270QY000,TZ270QY000,TZ270QY000,TZ270QY000
电动机,后电动机型号,-,TZ184QY102,TZ184QY102,TZ184QY102
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),107,263,263,263
电动机,电动机总马力(Ps),145,357,357,357
电动机,前电动机最大功率(kW),107,107,107,107
电动机,后电动机最大功率(kW),-,156,156,156
电动机,系统综合功率(kW),234,340,340,340
电动机,系统综合功率(Ps),318,462,462,462
电动机,系统综合扭矩(N·m),535,710,710,710
电动机,驱动电机数,单电机,双电机,双电机,双电机
电动机,电机布局,前置,前置+后置,前置+后置,前置+后置
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,"● 三元锂电池
● 磷酸铁锂电池",● 三元锂电池,● 三元锂电池,● 三元锂电池
电池/充电,电芯品牌,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷
电池/充电,WLTC纯电续航里程(km),100,180,180,180
电池/充电,CLTC纯电续航里程(km),116,212,212,212
电池/充电,CLTC综合续航(km),1203,1201,1201,1201
电池/充电,电池能量(kWh),21.2,39.6,39.6,39.6
电池/充电,百公里耗电量(kWh/100km),17.3,22,22,22
电池/充电,快充功能,支持,支持,支持,支持
电池/充电,电池快充时间(小时),0.65,0.38,0.38,0.38
电池/充电,电池慢充时间(小时),4,7,7,7
电池/充电,电池快充电量范围(%),0-80,0-80,0-80,0-80
电池/充电,电池慢充电量范围(%),0-100,0-100,0-100,0-100
电池/充电,慢充接口位置,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,快充接口位置,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,对外交流放电功率(kW),6,6,6,6
变速箱,简称,3挡DHT,3挡DHT,3挡DHT,3挡DHT
变速箱,挡位个数,3,3,3,3
变速箱,变速箱类型,混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT)
底盘转向,驱动方式,● 前置前驱,● 前置四驱,● 前置四驱,● 前置四驱
底盘转向,四驱形式,-,● 电动四驱,● 电动四驱,● 电动四驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,"● 235/50 R19
○ 255/45 R20 (8000元)","● 235/55 R19
○ 255/45 R20 (8000元)","● 255/45 R20
○ 255/40 R21 (8000元)",● 255/40 R21
车轮制动,后轮胎规格,"● 235/50 R19
○ 255/45 R20","● 235/55 R19
○ 255/45 R20","● 255/45 R20
○ 255/40 R21",● 255/40 R21
车轮制动,备胎规格,-,-,-,-
被动安全,主/副驾驶座安全气囊,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
被动安全,前/后排侧气囊,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-
被动安全,前/后排头部气囊(气帘),前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
被动安全,前排中间气囊,●,●,●,●
主动安全,ABS防抱死,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●
主动安全,疲劳驾驶提示,●,●,●,●
主动安全,DOW开门预警,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●
主动安全,后方碰撞预警,●,●,●,●
主动安全,低速行车警告,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●
驾驶操控,驾驶模式切换,● 运动,"● 运动
● 越野","● 运动
● 越野","● 运动
● 越野"
驾驶操控,能量回收系统,●,●,●,●
驾驶操控,自动驻车,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●
驾驶硬件,前/后驻车雷达,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,前方感知摄像头,● 单目,● 单目,● 单目,● 单目
驾驶硬件,摄像头数量,● 5个,● 6个,● 6个,● 6个
驾驶硬件,前方感知摄像头像素,● 800万,● 800万,● 800万,● 800万
驾驶硬件,环视摄像头像素,● 300万,● 300万,● 300万,● 300万
驾驶硬件,车内摄像头数量,● 1个,● 1个,● 1个,● 1个
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,● 5个,● 5个,● 5个,● 5个
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,● Pilot Assist,● Pilot Assist,● Pilot Assist,● Pilot Assist
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,●,●,●,●
驾驶功能,卫星导航系统,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德
驾驶功能,并线辅助,●,●,●,●
驾驶功能,车道保持辅助系统,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●
驾驶功能,辅助泊车入位,●,●,●,●
驾驶功能,遥控泊车,●,●,●,●
驾驶功能,辅助变道,●,●,●,●
驾驶功能,辅助匝道自动驶出(入),-,○,○,○
驾驶功能,辅助驾驶路段,-,○ 高速路段 (2.00万元),○ 高速路段 (2.00万元),○ 高速路段 (2.00万元)
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,无框设计车门,●,●,●,●
外观/防盗,电动后备厢,●,●,●,●
外观/防盗,电动后备厢位置记忆,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●
外观/防盗,钥匙类型,"● 蓝牙钥匙
● NFC/RFID钥匙
● UWB数字钥匙","● 蓝牙钥匙
● NFC/RFID钥匙
● UWB数字钥匙","● 蓝牙钥匙
● NFC/RFID钥匙
● UWB数字钥匙","● 蓝牙钥匙
● NFC/RFID钥匙
● UWB数字钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●
外观/防盗,无钥匙进入功能,● 前排,● 前排,● 前排,● 前排
外观/防盗,隐藏电动门把手,●,●,●,●
外观/防盗,远程启动功能,●,●,●,●
外观/防盗,电池预加热,●,●,●,●
外观/防盗,对外放电,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●
车外灯光,自适应远近光,●,●,●,●
车外灯光,自动头灯,●,●,●,●
车外灯光,转向头灯,●,●,●,●
车外灯光,车前雾灯,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●
天窗/玻璃,天窗类型,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗
天窗/玻璃,前/后电动车窗,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●
天窗/玻璃,后排侧隐私玻璃,-,-,●,●
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,●,●,●,●
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目"
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 15.4英寸,● 15.4英寸,● 15.4英寸,● 15.4英寸
屏幕/系统,蓝牙/车载电话,-,-,-,-
屏幕/系统,手机互联/映射,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay
屏幕/系统,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调"
屏幕/系统,语音分区域唤醒识别,● 四区域,● 四区域,● 四区域,● 四区域
屏幕/系统,语音连续识别,●,●,●,●
屏幕/系统,可见即可说,●,●,●,●
智能化配置,车联网,●,●,●,●
智能化配置,4G/5G网络,● 5G,● 5G,● 5G,● 5G
智能化配置,OTA升级,●,●,●,●
智能化配置,手机APP远程功能,●,●,●,●
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●
方向盘/内后视镜,方向盘加热,○,○,○,●
方向盘/内后视镜,方向盘记忆,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸
方向盘/内后视镜,AR-HUD增强现实抬头显示,-,-,○ (7000元),●
方向盘/内后视镜,HUD抬头尺寸,-,-,○ 92英寸,● 92英寸
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 自动防眩目
车内充电,多媒体/充电接口,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个
车内充电,USB/Type-C最大充电功率,● 60W,● 60W,● 60W,● 60W
车内充电,手机无线充电功能,● 前排,● 前排,● 前排,● 前排
车内充电,手机无线充电功率,● 50W,● 50W,● 50W,● 50W
车内充电,行李厢12V电源接口,●,●,●,●
座椅配置,座椅材质,● 仿皮,● 仿皮,"○ 真皮
● 仿皮",● 真皮
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)"
座椅配置,主/副驾驶座电动调节,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
座椅配置,前排座椅功能,○ 加热,○ 加热,"● 加热
● 通风
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 头枕扬声器(仅驾驶位)"
座椅配置,电动座椅记忆功能,"● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位"
座椅配置,副驾驶位后排可调节按钮,-,-,●,●
座椅配置,第二排座椅调节,-,-,-,-
座椅配置,第二排座椅功能,○ 加热,○ 加热,○ 加热,● 加热
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
座椅配置,后排杯架,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,● Harman/Kardon哈曼卡顿,● Harman/Kardon哈曼卡顿
音响/车内灯光,扬声器数量,● 8喇叭,● 8喇叭,● 23喇叭,● 23喇叭
音响/车内灯光,触摸式阅读灯,●,●,●,●
