セクション,項目,银河A7 2025款 EM-i 70km 豪享版,银河A7 2025款 EM-i 150km 尊享版,银河A7 2025款 EM-i 70km 启航版,银河A7 2025款 EM-i 70km 探索版,银河A7 2025款 EM-i 150km 远航版,银河A7 2025款 EM-i 150km 探索+版,银河A7 2025款 EM-i 150km 星舰版
,厂商指导价(元),8.98万 计算器,10.58万 计算器,9.58万 计算器,10.58万 计算器,11.18万 计算器,11.78万 计算器,12.58万 计算器
,经销商报价,8.18万起 询底价,9.78万起 询底价,8.78万起 询底价,9.78万起 询底价,10.38万起 询底价,10.98万起 询底价,11.78万起 询底价
基本参数,厂商,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车
基本参数,级别,中型车,中型车,中型车,中型车,中型车,中型车,中型车
基本参数,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.08,2025.08,2025.08,2025.08,2025.08,2025.08,2025.08
基本参数,WLTC纯电续航里程(km),55,120,55,55,120,120,120
基本参数,CLTC纯电续航里程(km),70,150,70,70,150,150,150
基本参数,电池快充时间(小时),-,0.3,-,-,0.3,0.3,0.3
基本参数,电池快充电量范围(%),-,30-80,-,-,30-80,30-80,30-80
基本参数,最大功率(kW),-,-,-,-,-,-,-
基本参数,最大扭矩(N·m),-,-,-,-,-,-,-
基本参数,变速箱,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,发动机,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4
基本参数,电动机(Ps),238,238,238,238,238,238,238
基本参数,长*宽*高(mm),4918*1905*1495,4918*1905*1495,4918*1905*1495,4918*1905*1495,4918*1905*1495,4918*1905*1495,4918*1905*1495
基本参数,官方0-100km/h加速(s),7.1,7.1,7.1,7.1,7.1,7.1,7.1
基本参数,最高车速(km/h),190,190,190,190,190,190,190
基本参数,WLTC综合油耗(L/100km),1.31,0.9,1.31,1.31,0.9,0.9,0.9
基本参数,最低荷电状态油耗(L/100km)WLTC,-,3.75,-,-,3.75,3.75,3.75
基本参数,最低荷电状态油耗(L/100km)CLTC,2.67,2.8,2.67,2.67,2.8,2.8,2.8
基本参数,油电综合燃料消耗量(L/100km),-,2.29,-,-,2.29,2.29,2.29
基本参数,整车质保,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里
基本参数,整备质量(kg),1599,1735,1599,1599,1735,1735,1735
基本参数,最大满载质量(kg),1994,2130,1994,1994,2130,2130,2130
车身,长度(mm),4918,4918,4918,4918,4918,4918,4918
车身,宽度(mm),1905,1905,1905,1905,1905,1905,1905
车身,高度(mm),1495,1495,1495,1495,1495,1495,1495
车身,轴距(mm),2845,2845,2845,2845,2845,2845,2845
车身,前轮距(mm),1640,1640,1640,1640,1640,1640,1640
车身,后轮距(mm),1640,1640,1640,1640,1640,1640,1640
车身,满载最小离地间隙(mm),120,120,120,120,120,120,120
车身,空载最小离地间隙(mm),145,145,145,145,145,145,145
车身,接近角(°),14,14,14,14,14,14,14
车身,离去角(°),16,16,16,16,16,16,16
车身,最小转弯半径(m),5.3,5.3,5.3,5.3,5.3,5.3,5.3
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5
