セクション,セクション_ja,項目,項目_ja,2025年モデル 135KM 2WD Pro版,2025年モデル 200KM 2WD Max版,2025年モデル 190KM 4WD Max版,2025年モデル 190KM 4WD Ultra版
,nan,厂商指导价(元),メーカー希望小売価格(元),"17.98万元（日本円 約3,775,800円）","18.98万元（日本円 約3,985,800円）","20.68万元（日本円 約4,342,800円）","21.98万元（日本円 約4,615,800円）"
,nan,经销商报价,ディーラー販売価格（元）,"17.98万元（日本円 約3,775,800円）","18.98万元（日本円 約3,985,800円）","20.68万元（日本円 約4,342,800円）","21.98万元（日本円 約4,615,800円）"
基本参数,基本仕様,厂商,メーカー,ファンチェンパオ,ファンチェンパオ,ファンチェンパオ,ファンチェンパオ
基本参数,基本仕様,级别,クラス,中大型SUV,中大型SUV,中大型SUV,中大型SUV
基本参数,基本仕様,能源类型,エネルギータイプ,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド
基本参数,基本仕様,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
基本参数,基本仕様,上市时间,発売時期,2025.09,2025.09,2025.09,2025.09
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),105,-,130,130
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),135,200,190,190
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.29,0.29,0.29,0.29
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),-,-,-,-
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),-,-,-,-
基本参数,基本仕様,变速箱,トランスミッション,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),272,272,490,490
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4999×1995×1865（mm）,4999×1995×1865（mm）,4999×1995×1865（mm）,4999×1995×1865（mm）
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),7.9,7.5,4.5,4.5
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),190,190,190,190
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),1.36,-,1.1,1.1
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低荷電状態燃費(L/100km)WLTC,5.9,5.95,6.4,6.4
