セクション,項目,缤果S 2025款 325km 尊享款,缤果S 2025款 325km 旗舰款,缤果S 2025款 430km 尊享款,缤果S 2025款 430km 旗舰款
,厂商指导价(元),6.68万 计算器,7.28万 计算器,7.28万 计算器,7.98万 计算器
,经销商报价,6.38万起,6.98万起,6.98万起,7.68万起
基本参数,厂商,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱
基本参数,级别,小型车,小型车,小型车,小型车
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2025.09,2025.09,2025.09,2025.09
基本参数,CLTC纯电续航里程(km),325,325,430,430
基本参数,电池快充时间(小时),0.58,0.58,0.58,0.58
基本参数,电池慢充时间(小时),9.5,9.5,6.5,6.5
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80
基本参数,电池慢充电量范围(%),20-100,20-100,20-100,20-100
基本参数,最大功率(kW),75,75,75,75
基本参数,最大扭矩(N·m),180,180,180,180
基本参数,车身结构,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车
基本参数,电动机(Ps),102,102,102,102
基本参数,长*宽*高(mm),4265*1785*1600,4265*1785*1600,4265*1785*1600,4265*1785*1600
基本参数,官方0-100km/h加速(s),-,-,-,-
基本参数,最高车速(km/h),150,150,150,150
基本参数,电能当量燃料消耗量(L/100km),1.21,1.21,1.25,1.25
基本参数,整车质保,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里
基本参数,整备质量(kg),1250,1250,1325,1325
基本参数,最大满载质量(kg),1680,1680,1755,1755
车身,长度(mm),4265,4265,4265,4265
车身,宽度(mm),1785,1785,1785,1785
车身,高度(mm),1600,1600,1600,1600
车身,轴距(mm),2610,2610,2610,2610
车身,前轮距(mm),1510,1510,1510,1510
车身,后轮距(mm),1520,1520,1520,1520
车身,接近角(°),19,19,19,19
车身,离去角(°),28,28,28,28
车身,车身结构,两厢车,两厢车,两厢车,两厢车
车身,车门开启方式,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5
车身,后备厢容积(L),1450,1450,1450,1450
车身,风阻系数(Cd),-,-,-,-
电动机,前电动机品牌,柳州赛克,柳州赛克,柳州赛克,柳州赛克
电动机,前电动机型号,TZ180XS275,TZ180XS275,TZ180XS275,TZ180XS275
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),75,75,75,75
电动机,电动机总马力(Ps),102,102,102,102
电动机,电动机总扭矩(N·m),180,180,180,180
电动机,前电动机最大功率(kW),75,75,75,75
电动机,前电动机最大扭矩(N·m),180,180,180,180
电动机,驱动电机数,单电机,单电机,单电机,单电机
电动机,电机布局,前置,前置,前置,前置
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 国轩高科,● 国轩高科,● 瑞浦赛克,● 瑞浦赛克
电池/充电,电池特有技术,神炼电池,神炼电池,神炼电池,神炼电池
电池/充电,电池冷却方式,风冷,风冷,风冷,风冷
电池/充电,CLTC纯电续航里程(km),325,325,430,430
电池/充电,电池能量(kWh),31.9,31.9,41.9,41.9
电池/充电,百公里耗电量(kWh/100km),10.4,10.4,10.8,10.8
电池/充电,快充功能,支持,支持,支持,支持
电池/充电,电池快充时间(小时),0.58,0.58,0.58,0.58
电池/充电,电池慢充时间(小时),9.5,9.5,6.5,6.5
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80
电池/充电,电池慢充电量范围(%),20-100,20-100,20-100,20-100
电池/充电,慢充接口位置,车左前侧,车左前侧,车左前侧,车左前侧
电池/充电,快充接口位置,车左前侧,车左前侧,车左前侧,车左前侧
电池/充电,对外交流放电功率(kW),-,3.3,3.3,3.3
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 205/60 R16
车轮制动,后轮胎规格,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 205/60 R16
车轮制动,备胎规格,-,-,-,-
被动安全,主/副驾驶座安全气囊,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
被动安全,前/后排侧气囊,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-
被动安全,前/后排头部气囊(气帘),-,-,-,-
主动安全,ABS防抱死,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●
主动安全,胎压监测功能,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警
主动安全,安全带未系提醒,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位
主动安全,ISOFIX儿童座椅接口,●,●,●,●
主动安全,车道偏离预警系统,-,-,-,-
主动安全,主动刹车/主动安全系统,-,-,-,-
主动安全,疲劳驾驶提示,-,-,-,-
主动安全,低速行车警告,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化"
驾驶操控,能量回收系统,●,●,●,●
驾驶操控,自动驻车,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●
驾驶硬件,前/后驻车雷达,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●
驾驶硬件,驾驶辅助影像,● 倒车影像,● 360度全景影像,● 倒车影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,-,●,-,●
驾驶硬件,摄像头数量,● 1个,● 4个,● 1个,● 4个
驾驶硬件,超声波雷达数量,● 2个,● 2个,● 2个,● 2个
驾驶功能,巡航系统,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航
驾驶功能,卫星导航系统,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德
驾驶功能,并线辅助,-,-,-,-
驾驶功能,车道保持辅助系统,-,-,-,-
驾驶功能,辅助泊车入位,-,-,-,-
外观/防盗,轮圈材质,● 钢,● 铝合金,● 钢,● 铝合金
外观/防盗,车内中控锁,●,●,●,●
外观/防盗,钥匙类型,"● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●
外观/防盗,无钥匙进入功能,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位
外观/防盗,远程启动功能,●,●,●,●
外观/防盗,电池预加热,●,●,●,●
外观/防盗,对外放电,-,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●
车外灯光,自适应远近光,-,-,-,-
