セクション,セクション_ja,項目,項目_ja,2025年モデル 325km プレミアム,2025年モデル 325km フラッグシップ,2025年モデル 430km プレミアム,2025年モデル 430km フラッグシップ
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"6.68万元（日本円 約1,402,800円）","7.28万元（日本円 約1,528,800円）","7.28万元（日本円 約1,528,800円）","7.98万元（日本円 約1,675,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"6.38万元（日本円 約1,339,800円）","6.98万元（日本円 約1,465,800円）","6.98万元（日本円 約1,465,800円）","7.68万元（日本円 約1,612,800円）"
基本参数,基本仕様,厂商,メーカー,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱
基本参数,基本仕様,级别,クラス,小型車,小型車,小型車,小型車
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2025.09,2025.09,2025.09,2025.09
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),325,325,430,430
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.58,0.58,0.58,0.58
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),9.5,9.5,6.5,6.5
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電可能範囲(%),30-80,30-80,30-80,30-80
基本参数,基本仕様,电池慢充电量范围(%),バッテリー普通充電可能範囲(%),20-100,20-100,20-100,20-100
基本参数,基本仕様,最大功率(kW),最大出力(kW),75,75,75,75
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),180,180,180,180
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),102,102,102,102
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4265×1785×1600,4265×1785×1600,4265×1785×1600,4265×1785×1600
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),150,150,150,150
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.21,1.21,1.25,1.25
基本参数,基本仕様,整车质保,車両保証,● 4年または15万km,● 4年または15万km,● 4年または15万km,● 4年または15万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1250,1250,1325,1325
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),1680,1680,1755,1755
车身,車体,长度(mm),全長(mm),4265,4265,4265,4265
车身,車体,宽度(mm),全幅(mm),1785,1785,1785,1785
车身,車体,高度(mm),全高(mm),1600,1600,1600,1600
车身,車体,轴距(mm),ホイールベース(mm),2610,2610,2610,2610
车身,車体,前轮距(mm),前トレッド(mm),1510,1510,1510,1510
车身,車体,后轮距(mm),後トレッド(mm),1520,1520,1520,1520
车身,車体,接近角(°),アプローチアングル(°),19,19,19,19
车身,車体,离去角(°),デパーチャーアングル(°),28,28,28,28
车身,車体,车身结构,ボディ構造,ハッチバック,ハッチバック,ハッチバック,ハッチバック
车身,車体,车门开启方式,ドア開閉方式,開きドア,開きドア,開きドア,開きドア
