セクション,項目,高尔夫 2026款 300TSI,高尔夫 2026款 300TSI Pro,高尔夫 2026款 300TSI R-Line,高尔夫 2025款 300TSI,高尔夫 2025款 300TSI Pro,高尔夫 2025款 改款 300TSI,高尔夫 2025款 改款 300TSI R-Line,高尔夫 2025款 改款 300TSI Pro,高尔夫 2025款 改款二 300TSI R-Line
,厂商指导价(元),12.99万 计算器,13.99万 计算器,15.89万 计算器,12.99万 计算器,13.99万 计算器,12.99万 计算器,15.69万 计算器,13.99万 计算器,15.69万 计算器
,经销商报价,12.39万起 询底价,13.39万起 询底价,15.29万起 询底价,12.39万起 询底价,13.39万起 询底价,12.39万起 询底价,15.09万起 询底价,13.39万起 询底价,15.09万起 询底价
基本参数,厂商,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众
基本参数,级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.09,2025.09,2025.09,2024.11,2024.11,2025.06,2025.04,2025.06,2025.06
基本参数,最大功率(kW),118,118,118,118,118,118,118,118,118
基本参数,最大扭矩(N·m),250,250,250,250,250,250,250,250,250
基本参数,变速箱,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合
基本参数,车身结构,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车
基本参数,发动机,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4
基本参数,长*宽*高(mm),4282*1788*1479,4282*1788*1479,4289*1788*1479,4282*1788*1479,4282*1788*1479,4282*1788*1479,4289*1788*1479,4282*1788*1479,4289*1788*1479
基本参数,官方0-100km/h加速(s),8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5
基本参数,最高车速(km/h),200,200,200,200,200,200,200,200,200
基本参数,WLTC综合油耗(L/100km),5.56,5.56,5.56,5.56,5.56,5.56,5.52,5.56,5.52
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1327,1368,1368,1327,1368,1327,1368,1368,1368
基本参数,最大满载质量(kg),1820,1820,1820,1820,1820,1820,1820,1820,1820
车身,长度(mm),4282,4282,4289,4282,4282,4282,4289,4282,4289
车身,宽度(mm),1788,1788,1788,1788,1788,1788,1788,1788,1788
车身,高度(mm),1479,1479,1479,1479,1479,1479,1479,1479,1479
车身,轴距(mm),2631,2631,2631,2631,2631,2631,2631,2631,2631
车身,前轮距(mm),1539,1539,1539,1539,1539,1539,1539,1539,1539
车身,后轮距(mm),1512,1512,1512,1512,1512,1512,1512,1512,1512
车身,接近角(°),14,14,14,14,14,14,14,14,14
车身,离去角(°),17,17,17,17,17,17,17,17,17
车身,最小转弯半径(m),5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35
车身,车身结构,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),51,51,51,51,51,51,51,51,51
车身,后备厢容积(L),368,368,368,368,368,368,368,368,368
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-
发动机,发动机型号,DSV,DSV,DSV,DSV,DSV,DSV,DYZ,DSV,DYZ
发动机,排量(mL),1498,1498,1498,1498,1498,1498,1498,1498,1498
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),160,160,160,160,160,160,160,160,160
发动机,最大功率(kW),118,118,118,118,118,118,118,118,118
发动机,最大功率转速(rpm),5500,5500,5500,5500,5500,5500,5500,5500,5500
发动机,最大扭矩(N·m),250,250,250,250,250,250,250,250,250
发动机,最大扭矩转速(rpm),1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000
发动机,最大净功率(kW),118,118,118,118,118,118,118,118,118
发动机,发动机特有技术,米勒循环,米勒循环,米勒循环,米勒循环,米勒循环,米勒循环,米勒循环,米勒循环,米勒循环
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,95号,95号,95号,95号,95号,95号,95号,95号,95号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
